"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Information & Employee Svcs","Operation Services","Mechanic","72820.1999999999","847","0afc56e3045479b2783f2baa4d30e2f436bb2eba"
"Information & Employee Svcs","Operation Services","Mechanic","72744.4199999998","848","190304308636c0447ce667f86efd5f4efa6522b8"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","72742.82","849","2e6e28cc5d51dcd50de9b70abfb7119cce2fc341"
"Planning, Dev & Transportation","Engineering","Sr Inspector, Construction","72726.17","850","919e8194c69c3954ccab92a22b00cea067735304"
"Police Services","Police Information Services","Emergency Commun Dispatcher","72594.4699999999","851","a2603967f18ec7a18190ca50246e57cade132c56"
"Sustainability Services","Environmental Services","Sr Specialist, Enviro Sustain","72467.81","852","965b868f752a13d886bc426ca60218006699621a"
"Information & Employee Svcs","Operation Services","Sr Specialist, Real Estate","72459.27","853","14945dde8b265c0c38578b9a237f528d39b0f9ae"
"Police Services","Patrol","Police Officer","72452.6","854","286136094b4b36d484f728636ff566b4f3b0d7fa"
"Police Services","Police Administration","Crime Analyst","72355.36","855","caca9372ea6e27a25b988365342c4321334c1346"
"Planning, Dev & Transportation","Streets","Sr Inspector, Construction","72348.07","856","2a3dd4bbe6d6302751159e731eaf94c85d246bb6"
"Downtown Development Authority","Downtown Development Authority","Finance Coordinator/DDA","72310.2999999999","857","2b5b12857f115c3d5aef251e084b0a6899405306"
"Library District","Library District","Systems Administrator","72255.56","858","9aab027ce93622e90f8d7e345f79739ce740d966"
"Information & Employee Svcs","Comm. & Public Involvement","Lead Tech, Graphic Design","72215.1100000001","859","8106e0e17e68342c9d543733bbc418bc99a34fe9"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Planner, City","72194.2800000003","860","d09a0c96252a0d7019e77fcd870c244f7dd03b8c"
"Utility Services","Ut Water Quality Services Div","Chemist","72141.24","861","d4132236b18b38650a0c6fe2bdbb5fa70e264c5f"
"Utility Services","Utilities Customer Connections","Sr Specialist, Cust Support","71967.74","862","4ada3995492caec71412e143eea1a46a5954231e"
"Utility Services","Ut Water Production Div","Plant Operator","71921.9","863","51057fd183a0c67b22d6804d1bb4ad9ade5d67c8"
"Legal Services","City Attorney's Office","Assistant City Attorney II","71916.83","864","1db23792b0f4ee5c70b1d797e9f13fa81d88ccf3"
"Utility Services","Ut Distribution System Div","Analyst I, GIS","71886.7399999995","865","46a4088c988ed791389f9c7120dc0146f596f21e"
"Library District","Library District","Librarian -Non Profit Services","71878.2600000001","866","9eb3df635879dfc612e73d809556caea835a81a1"
"Community Services","Recreation","Sr Supervisor, Recreation","71872.67","867","bc3e1f8b6f8f8bc2d077bdcd3c2c0bd3953b837f"
"Information & Employee Svcs","Information Technology","Analyst I, GIS","71857.7","868","4ef9578242b71ef46fbed30e597d0aac60c9cfcd"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Planner, City","71835.3000000004","869","65354ec336d354a00c3a814080f960af7c36d58c"
"Judicial Services","Municipal Court","Municipal Court Administrator","71829.3499999999","870","33af64fa5dd5214089ddb72d1d604a5e9e97a7d0"
"Planning, Dev & Transportation","Transfort / Parking Services","Planner, Transit","71771.6799999999","871","c08a9d823684fb48607a578c8cde9bef745e2e04"
"Utility Services","Ut Water UTL Engineering Div","Sr Inspector, Construction","71771.0199999999","872","8ff33aeea75bbef67241bd87bf59d0a1c9d3b90f"
"Financial Services","Sales Tax","Auditor II, Sales Tax","71714.2000000003","873","c4085f6261a5a398c5aaf2227c3bcbc1f960b68b"
"Police Services","Police Information Services","Emergency Commun Dispatcher","71591.9699999999","874","e63e4bf6a710fd58e2e4b946b3d76f68c9381101"
"Legal Services","City Attorney's Office","Assistant City Attorney II","71553.48","875","a4da0a3c795e97e8d541640e7e674a7852653d7b"
"Information & Employee Svcs","Information Technology","Sr Technician, Client Services","71549.4100000001","876","9db1faecf076db100ece615903875041e7d4f3bc"
"Community Services","Parks","Asst Superintendent, Parks","71427.2900000001","877","44e3be57340c00143c43738a0c0bb3d7398f96e2"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Supervisor, Plant Operations","71345.8599999999","878","ca514ee9d855afaba41d9761168a6567d495903a"
"Poudre Fire Authority","Poudre Fire Authority","Code Inspector","71323.2","879","2714b1c99a77efb2dfbc64fc22354d2878b88f51"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Supervisor, Neighbrhood Svc","71200.36","880","8ba1c3e166c360407ed0739152b8c1f93cf85ca5"
"Police Services","Police Information Services","Emergency Commun Dispatcher","71132.74","881","54c070ca6b475414f1b271bd443288478302b96d"
"Police Services","Patrol","Police Sergeant","71123.74","882","f49256e2b0f9795f634a11498a922c2afb69ce18"
"Planning, Dev & Transportation","Transfort / Parking Services","Analyst I, Apps Software","71060.42","884","3d5b0c2043ea21e6cc32ee7e057cd17c6a562850"
"Police Services","Patrol","Police Officer","71060.3","885","38bcd81bd9b8f2787509f593a4f7c94f6b653998"
"Police Services","Special Operations","Crime Analyst","70940.6000000001","886","85ecdc8995d7eb6bce8f1d0b3393148224da5d6a"
"Utility Services","Ut Distribution System Div","Crew Chief, Water Field Ops","70880.22","887","44d4386a8c46337bf3f6777507719f22cab683ef"
"Legal Services","City Attorney's Office","Executive Admin Assistant","70873.71","888","f6906666492b744e199bbcd13d20c27b034c9713"
"Financial Services","Accounting and Treasury","Sr Coordinator, Payroll","70856.34","889","3dfd70fbda870cc854a9d79f204969c284a51b50"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Lead Technician, Sciences","70824.4000000001","890","c2e281dbd0e96d3566eef1a23dfafafe3e288003"
"Police Services","Police Information Services","Emergency Commun Dispatcher","70806.39","891","5a1af4c3bfac68602e453132dff9de8541f36b88"
"Sustainability Services","Environmental Services","Manager, Env Sustainability","70567.56","892","8c7a0ba40223bc4faa7dd565580a7e44e56eab7f"
"Community Services","Cultural Services","Sr Supervisor, Cultural Svcs","70525.76","893","c227efc545a21d050efaea208a8703dbaf7c7580"
"Police Services","Police Information Services","Emergency Commun Dispatcher","70469.39","894","1721fafa303355fc08f8ebb654fa9d7200f24f8c"
"Information & Employee Svcs","Operation Services","Sr Technician, Facilities","70382.6800000004","895","2a6007615e9ed9cd70c4f6a9357b7ad07ab6810a"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","70365.44","896","8e6240eba5532cf7b7f4739911b0f070ab421f61"
"Utility Services","Utilities Management","Supervisor, Administration","70331.3699999999","897","4d2f97357dbaa5819c8e29ad22e88fde2c942b7a"
"Utility Services","Utilities Customer Connections","Project Manager","70305.0","898","545286a5777a526072bfa520386396cbf648080c"
"Community Services","Natural Areas","Crew Chief, Natural Areas","70260.8899999999","899","dc790d934b008ad7797de309e8c96c354624dd3e"
"Community Services","Natural Areas","Planner, Environmental","70234.1999999999","900","e75ab7956f217f4c5eff8efc9ab700887036ab56"
"Utility Services","L&P Electrical Engineering","Sr Supervisor, Plant Ops","70209.9600000003","901","b37458bdefe5d85670053a8264478fb3cf995d9a"
"Information & Employee Svcs","Information Technology","Sr Technician, Client Services","70106.4400000002","902","8726ca062e7f4c05699bb474c8693d2e795eddd4"
"Utility Services","Ut Water Production Div","Technician II, Wtr Field Util","70091.97","903","b23eee29e7aba9827067095d50734d4d3c7137cc"
"Planning, Dev & Transportation","Transfort / Parking Services","Sr Supervisor, Administration","70059.5000000005","904","05970ad2b68c9c375654e8b6237dbfcacba12ff6"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Sr Technician, Maintenance","69919.9700000002","905","1c0fe2c97ed46996febb5c40f0637b5832178c51"
"Community Services","Parks","Sr Supervisor, Parks","69906.3600000001","906","0f0e6d9dad250f811c8509321f7d9afd270519d1"
"Police Services","Police Information Services","Emergency Commun Dispatcher","69900.44","907","9a8ea89cc0cbd448f41ba3e011be1c937ee41a3c"
"Financial Services","Accounting and Treasury","Accountant II","69860.5200000001","908","f9f9e2f367110053f943ab6503ffbb35b7e84530"
"Utility Services","Ut Water Meters Div","Crew Chief, Water Field Ops","69799.5399999999","909","18305110122b9515eaa9fc81d5f7462834ba8a39"
"Police Services","Police Information Services","Emergency Commun Dispatcher","69718.55","910","8eba3fd9a8ccbc8b6ffbafb719fd9f64d58fd7a5"
"Planning, Dev & Transportation","Engineering","Sr Inspector, Construction","69698.4900000001","911","98bbdbda5be8682c2bfae759a99ae04f8fe2220c"
"Utility Services","Broadband","Engineer I, Network","69592.66","912","9745c07bbc362d912bf2fc6f22cf955fde4507b0"
"Police Services","Police Information Services","Rep II, Police Records","69508.08","913","40dd4c791a8ca73e89fc371c93b00a7c9a813471"
"Planning, Dev & Transportation","Traffic","Sr Supervisor, Transportn Ops","69497.26","914","280abbca71bd541fe75e92b4be588d314bc7968d"
"Utility Services","Utilities Customer Connections","Sr Specialist, Public Engage","69494.36","915","d7cb11529d009b983db020a1546abb59cdbbc065"
"Planning, Dev & Transportation","Engineering","Civil Engineer I","69471.2800000002","916","a679961f727f904ced421d7b2f21792f259d20e3"
"Utility Services","Ut Distribution System Div","Water Utility Maint Operator","69448.01","917","c77eebf65a6f0c5df4df3565f76c2260ad50eecc"
"Planning, Dev & Transportation","PDT Administration","Analyst I, Finance","69331.18","918","144b24ed5970d4740cde7498f9a78d6cbed81464"
"Financial Services","Finance Administration","Analyst II, Finance","69316.0000000002","919","6601139790ad4ea028c44e310dc76ec941df4849"
"Sustainability Services","Environmental Services","Sr Specialist, Enviro Sustain","69276.57","920","4426e0e1d4efb9fe15220017ba3df6b4cc54f47b"
"Information & Employee Svcs","Information Technology","Project Manager","69262.1200000001","921","c21bd28541ec236af6a285f2618112ad842d8c35"
"Police Services","Police Information Services","Technician II, Police Records","69240.2700000001","922","9affa3e892ae1d020c99db9fb678e2424a24aee3"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","69239.69","923","14774df4a915b5d55f4b0b60d1f7b2fbb5f3447a"
"Planning, Dev & Transportation","Streets","Operator I, Transportation Ops","69225.1100000002","924","051f3fc3d65201344a78052033ae97b7c26ccf1c"
"Community Services","Parks","Crew Chief, Parks","69159.8899999996","925","df6aebfaf8b8711d5707d78e85a3f51d13a5d388"
"Community Services","Cultural Services","Sr Supervisor, Public Engage","69128.1200000001","926","862b501fe1d88cb76607d597516a008e9156d0b6"
"Planning, Dev & Transportation","Engineering","Supervisor, Civil Engineering","69032.9300000002","927","f9166534a582b8cd38e897eece99d719264deac5"
"Community Services","Parks","Crew Chief, Parks","68940.3199999998","928","90c02cc0c3bc5d01413b3be91c251219951fe3b4"
"Information & Employee Svcs","Information Technology","Sr Analyst, IT Security","68895.01","929","394fb0372e8e65fec9d21c66cdd9109a0dabaec6"
"Utility Services","Ut Water Production Div","Plant Operator","68776.4799999999","930","ef49a6c1a943308ada7d5da5368be30f40e80730"
"Utility Services","Ut Drainage System Div","Water Utility Maint Operator","68763.52","931","cc5a36e7bbc756f9d549d27d103349d6df9891a5"
"Police Services","Investigations","Criminalist","68730.14","932","7d0ed93c635206106b1c2bcab7b65500423259e9"
"Planning, Dev & Transportation","PDT Administration","Analyst II, Finance","68720.6","933","e7d416faffabbc717ad4dc21eb38164edfaec461"
"Executive Services","City Clerk's Office","Deputy City Clerk","68612.0800000001","934","7543a1b80cae0759800f5699afb7320ff9f2b0a6"
"Planning, Dev & Transportation","Streets","Operator I, Transportation Ops","68581.28","935","0ef831434b84965468183ad7d5780af1f7f2797e"
"Information & Employee Svcs","Operation Services","Supervisor, Facilities","68567.22","936","fee82eef3f329d17691d27478dabffdfada20dbb"
"Information & Employee Svcs","Operation Services","Technician II, Energy Services","68526.4300000001","937","6f064b772eaa88c1b28849449f7f111555b35578"
"Planning, Dev & Transportation","Engineering","Sr Inspector, Construction","68487.3000000003","938","9b5ef88edde01ae474ad1bff80f199c16e5594e2"
"Information & Employee Svcs","Operation Services","Mechanic","68460.1299999999","939","9601a33547a9bb0282132bfcc8d73733677fefb0"
"Information & Employee Svcs","Operation Services","Mechanic","68456.1399999999","940","859de847ffca845d2c457880dddd84472d746d8c"
"Utility Services","Utilities Customer Connections","Sr Specialist, Communications","68401.7999999999","941","039aca992759337fd97ac4a4ec9959e0856d14ff"
"Poudre Fire Authority","Poudre Fire Authority","Executive Administrative Asst","68399.41","942","26dcb2be59e74c11190f520932b121e69713fb47"
"Utility Services","Ut Water Production Div","Technician II, Maintenance","68395.32","943","adcd8f821647b420d809dee9bd5dd1a325364355"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","68378.8100000002","944","04878151372dbbeb77cfe4706308853e4fcd3fd0"
"Police Services","Investigations","Investigative Aide","68374.82","945","2249f1cafb63681b2b6248d62020ceaefe997eda"
"Police Services","Patrol","Community Service Officer","68354.78","946","620ee18c514d5f3d5882495588f714a2f937f5c2"
"Utility Services","L&P Operations & Technology","Analyst II, GIS","68342.9899999999","947","4f7404628874eb9bd378593262193feeb9eb20b6"
"Community Services","Recreation","Sr Supervisor, Recreation","68294.76","948","ccc503ed43d4842e353f53438091a85789daa6f3"
"Planning, Dev & Transportation","Transfort / Parking Services","Supervisor, Facilities","68280.2999999998","949","cf4c97a45a5572b533a8ff199c16453acb9e35f0"
"Utility Services","L&P Electric Field Services","Electric Lineworker","68224.6900000001","950","9f92432ba80e7aad7b4bd467962504d7320f52c4"
"Information & Employee Svcs","Information Technology","Engineer II, Systems","68098.75","951","b97babc318272a7c57c771c847bc06f0dac7950d"
"Utility Services","L&P Electric Field Services","Crew Chief, Electric Dist","68083.3399999997","952","4edce293af3554f79d3640be89ff3aa39f4b0b88"
"Planning, Dev & Transportation","Streets","Operator I, Transportation Ops","68054.2099999997","953","aa4291f762b075ecd45c878d2a0671c77195dfbe"
"Planning, Dev & Transportation","Streets","Sr Inspector, Construction","68003.9099999999","954","5edc85539f683a620f7fc63a90cd1b65abe53df4"
"Community Services","Parks","Lead Park Ranger","67955.4199999999","955","fb05ffef65f7d38c9c4b178ca8f252e59797aeeb"
"Utility Services","Utility Financial Operations","Analyst II, Finance","67920.4600000001","956","d46ee956e07deabe9a95a7b00f4328d5c2989fa1"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","67869.51","957","780a14ea777700cd85a41ba63661cde7683fa6f8"
"Utility Services","L&P Electric Field Services","Sr Locator, Elec Dist Field Op","67831.1600000001","958","1669742e7cdfcd160bb58c9a8aaee36eafa4fbe7"
"Utility Services","Ut Collection System Div","Water Utility Maint Operator","67830.2499999997","959","68e2de6fd68052208721c473c203b2a7c3700330"
"Police Services","Special Operations","Police Lieutenant","67824.04","960","788ace70d2e08d8cf5630939a1bcf5a0dc62f540"
"Police Services","Investigations","Criminalist","67658.5400000001","961","6eaee41a041cf1280afaaa200a5d4efad17e8ca7"
"Community Services","Natural Areas","Natural Areas Trail Ranger","67611.5499999999","962","4da051e3f3fa9b0954abc9c793b12c8d6e639fac"
"Police Services","Investigations","Victim Advocate","67580.47","963","2b9cdbf5bcf51b8b422529bf36fc2f67f1990ccc"
"Police Services","Police Information Services","Emergency Commun Dispatcher","67554.67","964","f66805493a3388d0200623631c0c61dccf5fb529"
"Community Services","Natural Areas","Natural Areas Trail Ranger","67467.1499999999","965","f0ff84141b745df0a28fccbe3c718c2678f3a108"
"Police Services","Police Information Services","Technician II, Police Records","67461.43","966","9db1dff9b7e783c80e23393c7366f5b18ff86157"
"Library District","Library District","Librarian -Children's Services","67409.06","967","9ce0cccdafb1ba180c54e2ddf012c400aed8cfe4"
"Utility Services","Ut Distribution System Div","Water Utility Maint Operator","67345.2399999999","968","176a01e551b1b2c8432cc5f8a262c73c9be003f1"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","67299.4800000003","969","afeb82e4796fb3dc299ee28615f6a5c95a1fcdec"
"Information & Employee Svcs","Operation Services","Mechanic","67265.4400000001","970","cc60176a916a6ad1ad80295a9ddff928d3eac02b"
"Information & Employee Svcs","Operation Services","Mechanic","67209.57","971","fdf3a0e1677d1b0b1b9043c71f9407c8779116cc"
"Police Services","Police Information Services","Sr Supervisor, Information Svc","67080.8600000001","972","3f0d5d4fc41d5885dcbf9db1d06404f01c792c67"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Lead Technician, Sciences","67059.9099999999","973","9c1de41dc21a5e53a79b6c43b720e324c2c230a0"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","67043.84","974","92664f2a696fc6f51fb25006d97176bc8dbef9cc"
"Police Services","Police Information Services","Emergency Commun Dispatcher","67023.35","975","41efb8d382979e2589c8d6b1fb9cb9ff1b329c74"
"Planning, Dev & Transportation","Streets","Operator II, Transportation Op","66949.85","976","24cc4921f5b8a1b299c337e8852c7d6d0a43123b"
"Poudre Fire Authority","Poudre Fire Authority","IT Support Specialist","66934.84","977","d00fbf2923f0ca2c13938c2eb38faf66aba53efd"
"Community Services","Natural Areas","Specialist, Public Engagement","66830.0","978","cd153c8c5c88e051fda74160207108be7afcc828"
"Police Services","Investigations","Police Officer","66804.53","979","eba33b6ae8c89b29ee89ce0567c51b79e103cb44"
"Planning, Dev & Transportation","Streets","Operator II, Transportation Op","66700.9800000001","980","6953067ea095f50c763edcc99ef41b1974a93fca"
"Police Services","Investigations","Investigative Aide","66642.7400000001","981","e2fa3393fe86ce18d8e0eff092d32088512adafe"
"Planning, Dev & Transportation","Streets","Operator II, Transportation Op","66635.6400000001","982","0b496d5a346204ae5861b0a1925603f8ef57b5f7"
"Sustainability Services","Economic Health Office","Sr Specialist, Econ Sustain","66632.2","983","bd8ac6589225a6984dfdb7f1d2ac4c6eb64f5a85"
"Utility Services","Utilities Customer Connections","Sr Supervisor, Public Engage","66339.3299999999","984","a42edfaa09cdec93eb63137ae7f6cd9afbe87bb0"
"Information & Employee Svcs","Operation Services","Mechanic","66330.8900000001","985","6b5e9794610d195bf05c86de0bdd6d2055c51ced"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","66310.8","986","a0b0aa523388491725fa91e1c0a323b1db200002"
"Planning, Dev & Transportation","Transfort / Parking Services","Supervisor, Transit","66295.2800000001","987","5593fa16971999222018f127d0ba81d59aff53e7"
"Utility Services","Ut Distribution System Div","Technician II, Water Engr","66286.6399999998","988","aede2f75c395d8bd358b57ff6777de7d8e55b8a9"
"Information & Employee Svcs","Operation Services","Sr Facilities Project Manager","66245.8499999998","989","9f2fd736e32e2fa72e43ee6705939de8c3ea1eea"
"Community Services","Natural Areas","Natural Areas Trail Ranger","66233.2199999999","990","422e07e1f127df270a4a17a28efa6a092dedbe3e"
"Sustainability Services","Environmental Services","Sr Specialist, Enviro Sustain","66158.4400000002","991","da4917e1983254f235d24ece196b5f4260062b7c"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Inspector, Code Compliance","66050.7600000003","992","2692509c12a9d74ce59972806bba77c4e3963c7d"
"Planning, Dev & Transportation","Engineering","Sr Inspector, Construction","65953.3999999999","993","092ec45258f6b98c17d63207740e656b8f1829a5"
"Community Services","Parks","Crew Chief, Parks","65950.6399999998","994","9e4743c06f2af721d3dbf3f9f130c770f9ecf53f"
"Poudre Fire Authority","Poudre Fire Authority","Emergency Management Spec","65934.32","995","6fc123f250ec072c5e876800f372eb102bf82fdd"
"Community Services","Natural Areas","Natural Areas Trail Ranger","65881.4099999999","996","c073c00a6ccec495827fab525985b220a3cc77ec"
"Police Services","Police Information Services","Emergency Commun Dispatcher","65857.53","997","6c203223b65a34343feaa6cacdf2e8cbed5394f6"
"Information & Employee Svcs","Information Technology","Sr Technician, Client Services","65837.1999999998","998","46bdee36ce96dbcb2aa4836fcebe6cd612ad4b8c"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","65757.14","999","4aca883d25807bc71203ed3172132b1a2fc781a1"
