"county","county_fips","state","county_population","health_service_area_number","health_service_area","health_service_area_population","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid_19_community_level","date_updated"
"Towns County","13281","Georgia","12037","157","Hall, GA - Habersham, GA","396067","16.4","21.2","224.31","High","2022-02-24T00:00:00.000"
"Treutlen County","13283","Georgia","6901","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","159.4","Medium","2022-02-24T00:00:00.000"
"Troup County","13285","Georgia","69922","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","60.07","Medium","2022-02-24T00:00:00.000"
"Turner County","13287","Georgia","7985","189","Tift, GA - Ben Hill, GA","74745","10.4","18.7","237.95","High","2022-02-24T00:00:00.000"
"Twiggs County","13289","Georgia","8120","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","61.58","Medium","2022-02-24T00:00:00.000"
"Union County","13291","Georgia","24511","157","Hall, GA - Habersham, GA","396067","16.4","21.2","126.47","High","2022-02-24T00:00:00.000"
"Upson County","13293","Georgia","26320","269","Upson, GA - Lamar, GA","64359","12.7","10.9","144.38","Medium","2022-02-24T00:00:00.000"
"Walker County","13295","Georgia","69761","141","Hamilton (Chattanooga), TN - Walker, GA","565194","10.4","17.3","197.82","Medium","2022-02-24T00:00:00.000"
"Walton County","13297","Georgia","94593","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","89.86","Low","2022-02-24T00:00:00.000"
"Ware County","13299","Georgia","35734","174","Ware, GA - Pierce, GA","72981","16.1","30.1","402.98","High","2022-02-24T00:00:00.000"
"Warren County","13301","Georgia","5254","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","76.13","Medium","2022-02-24T00:00:00.000"
"Washington County","13303","Georgia","20374","250","Washington, GA - Jefferson, GA","35736","7.7","25.2","98.16","High","2022-02-24T00:00:00.000"
"Wayne County","13305","Georgia","29927","230","Wayne, GA - Appling, GA","48313","5","0","163.73","Low","2022-02-24T00:00:00.000"
"Webster County","13307","Georgia","2607","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","230.15","High","2022-02-24T00:00:00.000"
"Wheeler County","13309","Georgia","7855","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","76.38","Medium","2022-02-24T00:00:00.000"
"White County","13311","Georgia","30798","157","Hall, GA - Habersham, GA","396067","16.4","21.2","126.63","High","2022-02-24T00:00:00.000"
"Whitfield County","13313","Georgia","104628","145","Whitfield, GA - Murray, GA","144724","21.5","13.8","256.15","High","2022-02-24T00:00:00.000"
"Wilcox County","13315","Georgia","8635","197","Sumter, GA - Crisp, GA","86868","12.8","8.1","138.97","Medium","2022-02-24T00:00:00.000"
"Wilkes County","13317","Georgia","9777","253","Elbert, GA - Wilkes, GA","28971","4.8","6.9","40.91","Low","2022-02-24T00:00:00.000"
"Wilkinson County","13319","Georgia","8954","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","55.84","Medium","2022-02-24T00:00:00.000"
"Worth County","13321","Georgia","20247","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","74.09","High","2022-02-24T00:00:00.000"
"Hawaii County","15001","Hawaii","201513","823","Hawaii, HI","201513","5.4","9.4","198.5","Low","2022-02-24T00:00:00.000"
"Honolulu County","15003","Hawaii","974563","821","Honolulu (Honolulu), HI - Maui, HI","1142066","6.2","11.6","135.55","Medium","2022-02-24T00:00:00.000"
"Kalawao County","15005","Hawaii","86","821","Honolulu (Honolulu), HI - Maui, HI","1142066","6.2","11.6","0","Medium","2022-02-24T00:00:00.000"
"Kauai County","15007","Hawaii","72293","822","Kauai, HI","72293","3.6","4.1","280.8","Medium","2022-02-24T00:00:00.000"
"Maui County","15009","Hawaii","167417","821","Honolulu (Honolulu), HI - Maui, HI","1142066","6.2","11.6","169.04","Medium","2022-02-24T00:00:00.000"
"Ada County","16001","Idaho","481587","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","1166.35","High","2022-02-24T00:00:00.000"
"Adams County","16003","Idaho","4294","729","Malheur, OR - Payette, ID","69010","5.3","5.8","232.88","Medium","2022-02-24T00:00:00.000"
"Bannock County","16005","Idaho","87808","696","Bannock, ID - Bingham, ID","153986","9.5","12.3","126.41","Medium","2022-02-24T00:00:00.000"
"Bear Lake County","16007","Idaho","6125","715","Cache, UT - Franklin, ID","148290","6.3","14.8","32.65","Medium","2022-02-24T00:00:00.000"
"Benewah County","16009","Idaho","9298","734","Kootenai, ID - Bonner, ID","245861","14.5","19.5","107.55","Medium","2022-02-24T00:00:00.000"
"Bingham County","16011","Idaho","46811","696","Bannock, ID - Bingham, ID","153986","9.5","12.3","66.22","Medium","2022-02-24T00:00:00.000"
"Blaine County","16013","Idaho","23021","808","Blaine, ID - Camas, ID","24127","4.8","0","894.84","Medium","2022-02-24T00:00:00.000"
"Boise County","16015","Idaho","7831","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","127.7","Medium","2022-02-24T00:00:00.000"
"Bonner County","16017","Idaho","45739","734","Kootenai, ID - Bonner, ID","245861","14.5","19.5","209.89","High","2022-02-24T00:00:00.000"
"Bonneville County","16019","Idaho","119062","722","Bonneville, ID - Madison, ID","221838","7","9.9","99.11","Low","2022-02-24T00:00:00.000"
"Boundary County","16021","Idaho","12245","734","Kootenai, ID - Bonner, ID","245861","14.5","19.5","196","Medium","2022-02-24T00:00:00.000"
"Butte County","16023","Idaho","2597","722","Bonneville, ID - Madison, ID","221838","7","9.9","77.01","Low","2022-02-24T00:00:00.000"
"Camas County","16025","Idaho","1106","808","Blaine, ID - Camas, ID","24127","4.8","0","180.83","Low","2022-02-24T00:00:00.000"
"Canyon County","16027","Idaho","229849","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","622.58","High","2022-02-24T00:00:00.000"
"Caribou County","16029","Idaho","7155","696","Bannock, ID - Bingham, ID","153986","9.5","12.3","153.74","Medium","2022-02-24T00:00:00.000"
"Cassia County","16031","Idaho","24030","730","Cassia, ID - Minidoka, ID","45069","8.7","6.7","366.21","Medium","2022-02-24T00:00:00.000"
"Clark County","16033","Idaho","845","722","Bonneville, ID - Madison, ID","221838","7","9.9","118.34","Low","2022-02-24T00:00:00.000"
"Clearwater County","16035","Idaho","8756","694","Nez Perce, ID - Asotin, WA","94476","8.9","9.5","114.21","Low","2022-02-24T00:00:00.000"
"Custer County","16037","Idaho","4315","722","Bonneville, ID - Madison, ID","221838","7","9.9","0","Low","2022-02-24T00:00:00.000"
"Elmore County","16039","Idaho","27511","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","1352.19","High","2022-02-24T00:00:00.000"
"Franklin County","16041","Idaho","13876","715","Cache, UT - Franklin, ID","148290","6.3","14.8","86.48","Medium","2022-02-24T00:00:00.000"
"Fremont County","16043","Idaho","13099","722","Bonneville, ID - Madison, ID","221838","7","9.9","53.44","Low","2022-02-24T00:00:00.000"
"Gem County","16045","Idaho","18112","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","309.19","High","2022-02-24T00:00:00.000"
"Gooding County","16047","Idaho","15179","695","Twin Falls, ID - Jerome, ID","131835","13.6","8.3","843.27","High","2022-02-24T00:00:00.000"
"Idaho County","16049","Idaho","16667","694","Nez Perce, ID - Asotin, WA","94476","8.9","9.5","36","Low","2022-02-24T00:00:00.000"
"Jefferson County","16051","Idaho","29871","722","Bonneville, ID - Madison, ID","221838","7","9.9","56.91","Low","2022-02-24T00:00:00.000"
"Jerome County","16053","Idaho","24412","695","Twin Falls, ID - Jerome, ID","131835","13.6","8.3","589.87","High","2022-02-24T00:00:00.000"
"Kootenai County","16055","Idaho","165697","734","Kootenai, ID - Bonner, ID","245861","14.5","19.5","177.43","Medium","2022-02-24T00:00:00.000"
"Latah County","16057","Idaho","40108","784","Whitman, WA - Latah, ID","90212","3.4","2.2","99.73","Low","2022-02-24T00:00:00.000"
"Lemhi County","16059","Idaho","8027","813","Lemhi, ID","8027","0","0","74.75","Low","2022-02-24T00:00:00.000"
"Lewis County","16061","Idaho","3838","694","Nez Perce, ID - Asotin, WA","94476","8.9","9.5","182.39","Low","2022-02-24T00:00:00.000"
"Lincoln County","16063","Idaho","5366","695","Twin Falls, ID - Jerome, ID","131835","13.6","8.3","745.43","High","2022-02-24T00:00:00.000"
"Madison County","16065","Idaho","39907","722","Bonneville, ID - Madison, ID","221838","7","9.9","70.16","Low","2022-02-24T00:00:00.000"
"Minidoka County","16067","Idaho","21039","730","Cassia, ID - Minidoka, ID","45069","8.7","6.7","518.09","Medium","2022-02-24T00:00:00.000"
"Nez Perce County","16069","Idaho","40408","694","Nez Perce, ID - Asotin, WA","94476","8.9","9.5","185.61","Low","2022-02-24T00:00:00.000"
"Oneida County","16071","Idaho","4531","696","Bannock, ID - Bingham, ID","153986","9.5","12.3","154.49","Medium","2022-02-24T00:00:00.000"
"Owyhee County","16073","Idaho","11823","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","312.95","High","2022-02-24T00:00:00.000"
"Payette County","16075","Idaho","23951","729","Malheur, OR - Payette, ID","69010","5.3","5.8","425.87","Medium","2022-02-24T00:00:00.000"
"Power County","16077","Idaho","7681","696","Bannock, ID - Bingham, ID","153986","9.5","12.3","78.11","Medium","2022-02-24T00:00:00.000"
"Shoshone County","16079","Idaho","12882","734","Kootenai, ID - Bonner, ID","245861","14.5","19.5","170.78","Medium","2022-02-24T00:00:00.000"
"Teton County","16081","Idaho","12142","722","Bonneville, ID - Madison, ID","221838","7","9.9","123.54","Low","2022-02-24T00:00:00.000"
"Twin Falls County","16083","Idaho","86878","695","Twin Falls, ID - Jerome, ID","131835","13.6","8.3","750.48","High","2022-02-24T00:00:00.000"
"Valley County","16085","Idaho","11392","716","Ada (Boise City), ID - Canyon, ID","788105","14.9","11.7","263.34","High","2022-02-24T00:00:00.000"
"Washington County","16087","Idaho","10194","729","Malheur, OR - Payette, ID","69010","5.3","5.8","519.91","Medium","2022-02-24T00:00:00.000"
"Adams County","17001","Illinois","65435","353","Adams, IL - Marion, MO","147913","5.3","22.3","236.88","High","2022-02-24T00:00:00.000"
"Alexander County","17003","Illinois","5761","563","Cape Girardeau, MO - Butler, MO","310071","7.9","9.4","34.72","Low","2022-02-24T00:00:00.000"
"Bond County","17005","Illinois","16426","299","Madison (Alton), IL - Jersey, IL","305904","8.3","8.8","79.14","Low","2022-02-24T00:00:00.000"
"Boone County","17007","Illinois","53544","291","Winnebago (Rockford), IL - Ogle, IL","420855","6.3","9.7","153.15","Low","2022-02-24T00:00:00.000"
"Brown County","17009","Illinois","6578","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","228.03","High","2022-02-24T00:00:00.000"
"Bureau County","17011","Illinois","32628","336","La Salle, IL - Livingston, IL","182684","3.5","12","119.53","Medium","2022-02-24T00:00:00.000"
"Calhoun County","17013","Illinois","4739","299","Madison (Alton), IL - Jersey, IL","305904","8.3","8.8","126.61","Low","2022-02-24T00:00:00.000"
"Carroll County","17015","Illinois","14305","361","Whiteside, IL - Clinton, IA","115909","4","5.2","510.31","Medium","2022-02-24T00:00:00.000"
"Cass County","17017","Illinois","12147","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","172.88","Medium","2022-02-24T00:00:00.000"
"Champaign County","17019","Illinois","209689","279","Champaign (Champaign), IL - Coles, IL","303502","5.5","11.5","185.99","Medium","2022-02-24T00:00:00.000"
"Christian County","17021","Illinois","32304","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","368.38","High","2022-02-24T00:00:00.000"
"Clark County","17023","Illinois","15441","311","Vigo (Terre Haute), IN - Clay, IN","201808","7.5","15.9","265.53","High","2022-02-24T00:00:00.000"
"Clay County","17025","Illinois","13184","351","Richland, IL - Clay, IL","44702","4.4","6.7","303.4","Medium","2022-02-24T00:00:00.000"
"Clinton County","17027","Illinois","37562","325","St. Clair (Belleville), IL - Clinton, IL","363667","4.8","8.2","138.44","Low","2022-02-24T00:00:00.000"
"Coles County","17029","Illinois","50621","279","Champaign (Champaign), IL - Coles, IL","303502","5.5","11.5","175.82","Medium","2022-02-24T00:00:00.000"
"Cook County","17031","Illinois","5150233","287","Cook (Chicago), IL - DuPage, IL","7077463","4.6","8.4","87.28","Low","2022-02-24T00:00:00.000"
"Crawford County","17033","Illinois","18667","310","Knox, IN - Daviess, IN","126934","6.6","9.5","198.21","Low","2022-02-24T00:00:00.000"
"Cumberland County","17035","Illinois","10766","279","Champaign (Champaign), IL - Coles, IL","303502","5.5","11.5","157.9","Medium","2022-02-24T00:00:00.000"
"DeKalb County","17037","Illinois","104897","373","Kane (Aurora), IL - DeKalb, IL","766290","3.7","5.5","95.33","Low","2022-02-24T00:00:00.000"
"De Witt County","17039","Illinois","15638","338","McLean (Bloomington), IL - Woodford, IL","225614","3.7","6.2","140.68","Low","2022-02-24T00:00:00.000"
"Douglas County","17041","Illinois","19465","279","Champaign (Champaign), IL - Coles, IL","303502","5.5","11.5","118.16","Medium","2022-02-24T00:00:00.000"
"DuPage County","17043","Illinois","922921","287","Cook (Chicago), IL - DuPage, IL","7077463","4.6","8.4","117.13","Low","2022-02-24T00:00:00.000"
"Edgar County","17045","Illinois","17161","333","Vermilion, IL - Edgar, IL","117530","5","15.3","215.61","High","2022-02-24T00:00:00.000"
"Edwards County","17047","Illinois","6395","351","Richland, IL - Clay, IL","44702","4.4","6.7","172.01","Low","2022-02-24T00:00:00.000"
"Effingham County","17049","Illinois","34008","363","Effingham, IL - Fayette, IL","55344","5.2","12.6","94.1","Medium","2022-02-24T00:00:00.000"
"Fayette County","17051","Illinois","21336","363","Effingham, IL - Fayette, IL","55344","5.2","12.6","56.24","Medium","2022-02-24T00:00:00.000"
"Ford County","17053","Illinois","12961","279","Champaign (Champaign), IL - Coles, IL","303502","5.5","11.5","84.87","Medium","2022-02-24T00:00:00.000"
"Franklin County","17055","Illinois","38469","331","Williamson, IL - Jackson, IL","182732","8.6","23.5","150.77","High","2022-02-24T00:00:00.000"
"Fulton County","17057","Illinois","34340","277","Peoria (Peoria), IL - Tazewell, IL","370119","3.6","15.4","131.04","Medium","2022-02-24T00:00:00.000"
"Gallatin County","17059","Illinois","4828","384","Saline, IL - Gallatin, IL","36317","2.2","13.8","289.98","High","2022-02-24T00:00:00.000"
"Greene County","17061","Illinois","12969","319","Morgan, IL - Greene, IL","51578","4.5","5.8","69.4","Low","2022-02-24T00:00:00.000"
"Grundy County","17063","Illinois","51054","303","Will (Joliet), IL - Grundy, IL","741797","3.4","6.2","101.85","Low","2022-02-24T00:00:00.000"
"Hamilton County","17065","Illinois","8116","383","White, IL - Hamilton, IL","21653","0","4.6","209.46","Medium","2022-02-24T00:00:00.000"
"Hancock County","17067","Illinois","17708","367","Lee, IA - Hancock, IL","58162","9.1","0","169.41","Low","2022-02-24T00:00:00.000"
"Hardin County","17069","Illinois","3821","384","Saline, IL - Gallatin, IL","36317","2.2","13.8","78.51","Medium","2022-02-24T00:00:00.000"
"Henderson County","17071","Illinois","6646","340","Des Moines, IA - Henry, IA","65567","6.9","9.2","90.28","Low","2022-02-24T00:00:00.000"
"Henry County","17073","Illinois","48913","307","Rock Island (Moline), IL - Henry, IL","211571","6.5","10.4","169.69","Medium","2022-02-24T00:00:00.000"
"Iroquois County","17075","Illinois","27114","343","Kankakee (Kankakee), IL - Iroquois, IL","136976","2.7","8.8","118.02","Low","2022-02-24T00:00:00.000"
"Jackson County","17077","Illinois","56750","331","Williamson, IL - Jackson, IL","182732","8.6","23.5","211.45","High","2022-02-24T00:00:00.000"
"Jasper County","17079","Illinois","9610","351","Richland, IL - Clay, IL","44702","4.4","6.7","145.68","Low","2022-02-24T00:00:00.000"
"Jefferson County","17081","Illinois","37684","335","Jefferson, IL - Wayne, IL","53899","12.7","24.1","199.02","High","2022-02-24T00:00:00.000"
"Jersey County","17083","Illinois","21773","299","Madison (Alton), IL - Jersey, IL","305904","8.3","8.8","78.08","Low","2022-02-24T00:00:00.000"
"Jo Daviess County","17085","Illinois","21235","302","Dubuque (Dubuque), IA - Stephenson, IL","182483","3.7","7.7","131.86","Low","2022-02-24T00:00:00.000"
"Johnson County","17087","Illinois","12417","12","McCracken, KY - Graves, KY","203211","13.4","25.6","346.3","High","2022-02-24T00:00:00.000"
"Kane County","17089","Illinois","532403","373","Kane (Aurora), IL - DeKalb, IL","766290","3.7","5.5","106.31","Low","2022-02-24T00:00:00.000"
"Kankakee County","17091","Illinois","109862","343","Kankakee (Kankakee), IL - Iroquois, IL","136976","2.7","8.8","85.56","Low","2022-02-24T00:00:00.000"
"Kendall County","17093","Illinois","128990","373","Kane (Aurora), IL - DeKalb, IL","766290","3.7","5.5","118.61","Low","2022-02-24T00:00:00.000"
"Knox County","17095","Illinois","49699","324","Knox, IL - Warren, IL","66543","4.1","13.5","150.91","Medium","2022-02-24T00:00:00.000"
"Lake County","17097","Illinois","696535","287","Cook (Chicago), IL - DuPage, IL","7077463","4.6","8.4","128.21","Low","2022-02-24T00:00:00.000"
"LaSalle County","17099","Illinois","108669","336","La Salle, IL - Livingston, IL","182684","3.5","12","150","Medium","2022-02-24T00:00:00.000"
"Lawrence County","17101","Illinois","15678","310","Knox, IN - Daviess, IN","126934","6.6","9.5","197.73","Low","2022-02-24T00:00:00.000"
"Lee County","17103","Illinois","34096","291","Winnebago (Rockford), IL - Ogle, IL","420855","6.3","9.7","146.64","Low","2022-02-24T00:00:00.000"
"Livingston County","17105","Illinois","35648","336","La Salle, IL - Livingston, IL","182684","3.5","12","143.07","Medium","2022-02-24T00:00:00.000"
"Logan County","17107","Illinois","28618","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","143.27","Medium","2022-02-24T00:00:00.000"
"McDonough County","17109","Illinois","29682","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","218.99","High","2022-02-24T00:00:00.000"
"McHenry County","17111","Illinois","307774","287","Cook (Chicago), IL - DuPage, IL","7077463","4.6","8.4","127.69","Low","2022-02-24T00:00:00.000"
"McLean County","17113","Illinois","171517","338","McLean (Bloomington), IL - Woodford, IL","225614","3.7","6.2","158","Low","2022-02-24T00:00:00.000"
"Macon County","17115","Illinois","104009","305","Macon (Decatur), IL - Shelby, IL","156488","5.3","12.8","135.57","Medium","2022-02-24T00:00:00.000"
"Macoupin County","17117","Illinois","44926","334","Macoupin, IL - Montgomery, IL","73340","1","4.1","129.1","Low","2022-02-24T00:00:00.000"
"Madison County","17119","Illinois","262966","299","Madison (Alton), IL - Jersey, IL","305904","8.3","8.8","124.35","Low","2022-02-24T00:00:00.000"
"Marion County","17121","Illinois","37205","358","Marion, IL - Washington, IL","51092","7.9","39.1","172.02","High","2022-02-24T00:00:00.000"
"Marshall County","17123","Illinois","11438","277","Peoria (Peoria), IL - Tazewell, IL","370119","3.6","15.4","174.86","Medium","2022-02-24T00:00:00.000"
"Mason County","17125","Illinois","13359","277","Peoria (Peoria), IL - Tazewell, IL","370119","3.6","15.4","112.28","Medium","2022-02-24T00:00:00.000"
"Massac County","17127","Illinois","13772","12","McCracken, KY - Graves, KY","203211","13.4","25.6","290.44","High","2022-02-24T00:00:00.000"
"Menard County","17129","Illinois","12196","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","139.39","Medium","2022-02-24T00:00:00.000"
"Mercer County","17131","Illinois","15437","307","Rock Island (Moline), IL - Henry, IL","211571","6.5","10.4","142.51","Medium","2022-02-24T00:00:00.000"
"Monroe County","17133","Illinois","34637","325","St. Clair (Belleville), IL - Clinton, IL","363667","4.8","8.2","202.1","Medium","2022-02-24T00:00:00.000"
"Montgomery County","17135","Illinois","28414","334","Macoupin, IL - Montgomery, IL","73340","1","4.1","218.2","Medium","2022-02-24T00:00:00.000"
"Morgan County","17137","Illinois","33658","319","Morgan, IL - Greene, IL","51578","4.5","5.8","273.34","Medium","2022-02-24T00:00:00.000"
"Moultrie County","17139","Illinois","14501","305","Macon (Decatur), IL - Shelby, IL","156488","5.3","12.8","68.96","Medium","2022-02-24T00:00:00.000"
"Ogle County","17141","Illinois","50643","291","Winnebago (Rockford), IL - Ogle, IL","420855","6.3","9.7","189.56","Low","2022-02-24T00:00:00.000"
"Peoria County","17143","Illinois","179179","277","Peoria (Peoria), IL - Tazewell, IL","370119","3.6","15.4","156.83","Medium","2022-02-24T00:00:00.000"
"Perry County","17145","Illinois","20916","331","Williamson, IL - Jackson, IL","182732","8.6","23.5","305.99","High","2022-02-24T00:00:00.000"
"Piatt County","17147","Illinois","16344","305","Macon (Decatur), IL - Shelby, IL","156488","5.3","12.8","159.08","Medium","2022-02-24T00:00:00.000"
"Pike County","17149","Illinois","15561","353","Adams, IL - Marion, MO","147913","5.3","22.3","109.25","High","2022-02-24T00:00:00.000"
"Pope County","17151","Illinois","4177","384","Saline, IL - Gallatin, IL","36317","2.2","13.8","95.76","Medium","2022-02-24T00:00:00.000"
"Pulaski County","17153","Illinois","5335","563","Cape Girardeau, MO - Butler, MO","310071","7.9","9.4","131.21","Low","2022-02-24T00:00:00.000"
"Putnam County","17155","Illinois","5739","336","La Salle, IL - Livingston, IL","182684","3.5","12","0","Medium","2022-02-24T00:00:00.000"
"Randolph County","17157","Illinois","31782","325","St. Clair (Belleville), IL - Clinton, IL","363667","4.8","8.2","361.84","Medium","2022-02-24T00:00:00.000"
"Richland County","17159","Illinois","15513","351","Richland, IL - Clay, IL","44702","4.4","6.7","83.8","Low","2022-02-24T00:00:00.000"
"Rock Island County","17161","Illinois","141879","307","Rock Island (Moline), IL - Henry, IL","211571","6.5","10.4","106.43","Medium","2022-02-24T00:00:00.000"
"St. Clair County","17163","Illinois","259686","325","St. Clair (Belleville), IL - Clinton, IL","363667","4.8","8.2","103.97","Low","2022-02-24T00:00:00.000"
"Saline County","17165","Illinois","23491","384","Saline, IL - Gallatin, IL","36317","2.2","13.8","315.01","High","2022-02-24T00:00:00.000"
"Sangamon County","17167","Illinois","194672","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","166.43","Medium","2022-02-24T00:00:00.000"
"Schuyler County","17169","Illinois","6768","318","Sangamon (Springfield), IL - Christian, IL","322965","4.1","10.8","118.2","Medium","2022-02-24T00:00:00.000"
"Scott County","17171","Illinois","4951","319","Morgan, IL - Greene, IL","51578","4.5","5.8","60.59","Low","2022-02-24T00:00:00.000"
"Shelby County","17173","Illinois","21634","305","Macon (Decatur), IL - Shelby, IL","156488","5.3","12.8","175.65","Medium","2022-02-24T00:00:00.000"
"Stark County","17175","Illinois","5342","307","Rock Island (Moline), IL - Henry, IL","211571","6.5","10.4","243.35","High","2022-02-24T00:00:00.000"
"Stephenson County","17177","Illinois","44498","302","Dubuque (Dubuque), IA - Stephenson, IL","182483","3.7","7.7","186.53","Low","2022-02-24T00:00:00.000"
"Tazewell County","17179","Illinois","131803","277","Peoria (Peoria), IL - Tazewell, IL","370119","3.6","15.4","147.95","Medium","2022-02-24T00:00:00.000"
"Union County","17181","Illinois","16653","563","Cape Girardeau, MO - Butler, MO","310071","7.9","9.4","186.15","Low","2022-02-24T00:00:00.000"
"Vermilion County","17183","Illinois","75758","333","Vermilion, IL - Edgar, IL","117530","5","15.3","106.92","Medium","2022-02-24T00:00:00.000"
"Wabash County","17185","Illinois","11520","273","Vanderburgh (Evansville), IN - Warrick, IN","335332","9.3","34.6","234.38","High","2022-02-24T00:00:00.000"
"Warren County","17187","Illinois","16844","324","Knox, IL - Warren, IL","66543","4.1","13.5","77.18","Medium","2022-02-24T00:00:00.000"
"Washington County","17189","Illinois","13887","358","Marion, IL - Washington, IL","51092","7.9","39.1","122.42","High","2022-02-24T00:00:00.000"
"Wayne County","17191","Illinois","16215","335","Jefferson, IL - Wayne, IL","53899","12.7","24.1","160.35","High","2022-02-24T00:00:00.000"
"White County","17193","Illinois","13537","383","White, IL - Hamilton, IL","21653","0","4.6","236.39","Medium","2022-02-24T00:00:00.000"
"Whiteside County","17195","Illinois","55175","361","Whiteside, IL - Clinton, IA","115909","4","5.2","173.99","Low","2022-02-24T00:00:00.000"
"Will County","17197","Illinois","690743","303","Will (Joliet), IL - Grundy, IL","741797","3.4","6.2","88.75","Low","2022-02-24T00:00:00.000"
"Williamson County","17199","Illinois","66597","331","Williamson, IL - Jackson, IL","182732","8.6","23.5","181.69","High","2022-02-24T00:00:00.000"
"Winnebago County","17201","Illinois","282572","291","Winnebago (Rockford), IL - Ogle, IL","420855","6.3","9.7","133.06","Low","2022-02-24T00:00:00.000"
"Woodford County","17203","Illinois","38459","338","McLean (Bloomington), IL - Woodford, IL","225614","3.7","6.2","137.81","Low","2022-02-24T00:00:00.000"
"Adams County","18001","Indiana","35777","332","Huntington, IN - Adams, IN","121029","6","3.3","39.13","Low","2022-02-24T00:00:00.000"
"Allen County","18003","Indiana","379299","304","Allen (Fort Wayne), IN - Noble, IN","578690","4.8","12.3","109.94","Medium","2022-02-24T00:00:00.000"
"Bartholomew County","18005","Indiana","83779","313","Bartholomew, IN - Jackson, IN","182304","10.3","11.5","102.65","Medium","2022-02-24T00:00:00.000"
"Benton County","18007","Indiana","8748","300","Tippecanoe (Lafayette), IN - Clinton, IN","281238","14","8.9","148.61","Medium","2022-02-24T00:00:00.000"
"Blackford County","18009","Indiana","11758","323","Delaware (Muncie), IN - Randolph, IN","150558","14.3","29.2","110.56","High","2022-02-24T00:00:00.000"
"Boone County","18011","Indiana","67843","401","Boone, IN","67843","7.7","8.8","123.82","Low","2022-02-24T00:00:00.000"
"Brown County","18013","Indiana","15092","341","Monroe (Bloomington), IN - Greene, IN","216244","16.8","14.3","53.01","High","2022-02-24T00:00:00.000"
"Carroll County","18015","Indiana","20257","300","Tippecanoe (Lafayette), IN - Clinton, IN","281238","14","8.9","74.05","Medium","2022-02-24T00:00:00.000"
"Cass County","18017","Indiana","37689","364","Howard (Kokomo), IN - Cass, IN","135381","7.9","14.8","241.45","High","2022-02-24T00:00:00.000"
"Clark County","18019","Indiana","118302","365","Clark (Jeffersonville), IN - Scott, IN","142175","15.7","13.4","224.85","High","2022-02-24T00:00:00.000"
"Clay County","18021","Indiana","26225","311","Vigo (Terre Haute), IN - Clay, IN","201808","7.5","15.9","76.26","Medium","2022-02-24T00:00:00.000"
"Clinton County","18023","Indiana","32399","300","Tippecanoe (Lafayette), IN - Clinton, IN","281238","14","8.9","138.89","Medium","2022-02-24T00:00:00.000"
"Crawford County","18025","Indiana","10577","339","Floyd (New Albany), IN - Harrison, IN","157650","11.3","25.4","198.54","High","2022-02-24T00:00:00.000"
"Daviess County","18027","Indiana","33351","310","Knox, IN - Daviess, IN","126934","6.6","9.5","71.96","Low","2022-02-24T00:00:00.000"
"Dearborn County","18029","Indiana","49458","321","Dearborn, IN - Jefferson (Madison), IN","145818","13.2","9.6","163.78","Medium","2022-02-24T00:00:00.000"
"Decatur County","18031","Indiana","26559","313","Bartholomew, IN - Jackson, IN","182304","10.3","11.5","116.72","Medium","2022-02-24T00:00:00.000"
"DeKalb County","18033","Indiana","43475","304","Allen (Fort Wayne), IN - Noble, IN","578690","4.8","12.3","69.01","Medium","2022-02-24T00:00:00.000"
"Delaware County","18035","Indiana","114135","323","Delaware (Muncie), IN - Randolph, IN","150558","14.3","29.2","138.43","High","2022-02-24T00:00:00.000"
"Dubois County","18037","Indiana","42736","394","Dubois, IN","42736","3.1","14","100.62","Medium","2022-02-24T00:00:00.000"
"Elkhart County","18039","Indiana","206341","349","Elkhart (Elkhart), IN - Kosciusko, IN","285797","10.1","6.3","75.6","Medium","2022-02-24T00:00:00.000"
"Fayette County","18041","Indiana","23102","385","Wayne, IN - Fayette, IN","96040","17.9","8.3","112.54","High","2022-02-24T00:00:00.000"
