"school_year","location_name","location_code","borough","geographical_district_code","register","building_name","schools","nypd_site_code","nypd_site_name","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","geocode","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2016 - 17","Facing History School, The","M303","M","2","400","525 WEST  50TH STREET CONSOLIDATED LOCATION","5","670","MURRY BERGTRAUM HS","Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","525 WEST 50TH STREET
,  
(25.826427, -80.127267)","10019","40.765184","-73.992953","4","3","135","1083802","1010790029","Clinton                                                                    "
"2016 - 17","Andries Hudde","K240","K","22","1270",,"1","1401","The Academy of Talented Scholars","Mark Twain I.S. 239 for the Gifted & Talented","1","1","0","1","1","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","2500 NOSTRAND AVENUE
,  
(40.623828, -73.946322)","11210","40.623561","-73.946279","14","45","748","3208638","3076290030","Midwood                                                                    "
"2016 - 17","Science Skills Center High School for Science, Tec","K419","K","13","268","49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION","3","232","PS 133K","Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","49 FLATBUSH AVENUE
,  
(40.697187, -73.984992)","11201","40.697339","-73.985016","2","33","15","3000216","3001200020","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","Eagle Academy for Young Men of Harlem","M148","M","5","354","293 EAST BROADWAY CONSOLIDATED LOCATION","1","658","IS 131M","P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION","0","0","3","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","6 EDGECOMBE AVENUE
,  
(40.817202, -73.947815)","10030","40.817372","-73.947712","10","9","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"2016 - 17","Mott Hall Bridges Academy","K671","K","23","693","210 CHESTER STREET CONSOLIDATED LOCATION","2","170","IS 259K","P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION","1","2","4","1","1","4C","501-750","0.28","1.11","1.74","0.75","0.53","210 CHESTER STREET
,  
(28.577485, -81.744494)","11212","40.666545","-73.910904","16","41","924","3081442","3035420001","Brownsville                                                                "
"2016 - 17","P.S. 333 Manhattan School for Children","M333","M","3","223","154 WEST  93 STREET CONSOLIDATED LOCATION","3","692","PS 116M","M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","154 WEST 93 STREET
,  
(33.951918, -118.276016)","10025","40.791728","-73.970845","7","6","177","1032522","1012230005","Upper West Side                                                            "
"2016 - 17","P.S. 048 Mapleton","K048","K","20","590",,"1","70","PS 046K","P.S. 048 Mapleton","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","6015 18 AVENUE
,  
(42.8745, -85.82662)","11204","40.621871","-73.987396","12","44","244","3132140","3055190001","Borough Park                                                               "
"2016 - 17","590 SHEFFIELD AVENUE CONSOLIDATED LOCATION","K190","K","19","160","590 SHEFFIELD AVENUE CONSOLIDATED LOCATION","2","248","PS 185K","P.S. 190 Sheffield |  Essence School |  590 SHEFFIELD AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","590 SHEFFIELD AVENUE
,  
(38.581638, -90.372987)","11207","40.662326","-73.894441","5","42","1128","3085491","3038380018","East New York (Pennsylvania Ave)                                           "
"2016 - 17","The River School","M281","M","2","402","55 BATTERY PLACE CONSOLIDATED LOCATION","2","547","IS 223/PS 223 MOTT HALL","P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","425 EAST 35TH STREET
,  
(29.818058, -95.39352)","10016","40.74428","-73.972591","6","4","8601","1089385","1009670002","Turtle Bay-East Midtown                                                    "
"2016 - 17","ESPERANZA PREPARATORY ACADEMY","M372","M","4","569","240 EAST 109 STREET CONSOLIDATED LOCATION","2","597","PS 112M","Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  240 EAST 109 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","240 EAST 109 STREET
,  
(42.938054, -78.902013)","10029","40.79307","-73.942303","11","8","170","1052433","1016560100","East Harlem South                                                          "
"2016 - 17","South Brooklyn Community High School","K698","K","15","105",,"2","8","BROOKLYN INTERNATIONAL HS","W.E.B. Dubois Academic High School I W.E.B. Dubois YABC","0","2","2","2","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","173 CONOVER STREET
,  
(40.67801, -74.014327)","11231","40.677969","-74.014363","6","38","53","3398190","3005750003","Carroll Gardens-Columbia Street-Red Hook                                   "
"2016 - 17","319 EAST 19 STREET CONSOLIDATED LOCATION","M040","M","2","390","319 EAST 19 STREET CONSOLIDATED LOCATION","2","578","PS 030M","P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","319 EAST 19 STREET
,  
(43.480787, -112.028008)","10003","40.735161","-73.982027","6","2","64","1020513","1009250012","Gramercy                                                                   "
"2016 - 17","Mott Hall IV","K522","K","23","1123","1137 HERKIMER STREET CONSOLIDATED LOCATION","3","287","PS 269K","Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION","0","3","2","2","1","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","1137 HERKIMER STREET
,  
(29.791239, -95.406189)","11233","40.677805","-73.915843","16","41","301","3042157","3015500001","Ocean Hill                                                                 "
"2016 - 17","P.S. 284 Lew Wallace","K284","K","23","821",,"1","290","PS 277K","P.S. 282 Park Slope","0","1","7","0","1","5C","751-1000","0.38","1.71","2.38","0.98","0.82","213 OSBORN STREET
,  
(41.692022, -71.166289)","11212","40.667377","-73.908214","16","41","912","3081460","3035440135","Brownsville                                                                "
"2016 - 17","LEADERSHIP PREP BEDFORD STUYVESANT CHARTER SCHOOL(BN)","K517","K","13","1399","141 MACON STREET CONSOLIDATED LOCATION","2","284","PS 254K","P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION","0","1","7","0","1","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","141 MACON STREET
,  
(35.200279, -83.820244)","11216","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    "
"2016 - 17","IS 364 ANNEX(BN)","K364","K","19","284",,"1","233","PS 134K","Bushwick Leaders High School for Academic Excellence ","0","3","12","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","1461 GENEVA LOOP
,  
(40.64634, -73.878219)","11239","40.646599","-73.878441","5","42","105801","3098300","3044520325","Starrett City                                                              "
"2016 - 17","424 LEONARD STREET CONSOLIDATED LOCATION","K126","K","14","393","424 LEONARD STREET CONSOLIDATED LOCATION","3","227","PS 124K","John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","424 LEONARD STREET
,  
(43.08847, -75.659267)","11222","40.719819","-73.948625","1","33","499","3067788","3027120001","Greenpoint                                                                 "
"2016 - 17","The Math & Science Exploratory School","K447","K","15","1777","257 NORTH  6 STREET CONSOLIDATED LOCATION","3","141","TRANSIT TECH HS","Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION","1","13","20","7","4","9C","1751-2000","0.9","3.5","7.25","2.55","1.45","345 DEAN STREET
,  
(31.226762, -84.221511)","11217","40.683559","-73.98027","2","33","39","3001190","3001920013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","Brooklyn School for Global Studies","K429","K","15","469","284 BALTIC STREET CONSOLIDATED LOCATION","3","26","IS 291K","Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","284 BALTIC STREET
,  
(38.085385, -122.230439)","11201","40.685419","-73.993351","6","33","69","3006401","3004020001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","170 GATES AVENUE CONSOLIDATED LOCATION","K056","K","13","344","170 GATES AVENUE CONSOLIDATED LOCATION","2","20","IS 055K","P.S. 056 Lewis H. Latimer|  The Urban Assembly Unison School |  170 GATES AVENUE CONSOLIDATED LOCATION","0","4","2","1","3","3C","251-500","0.27","0.9","1.67","0.63","0.44","170 GATES AVENUE
,  
(40.807968, -74.227247)","11238","40.68505","-73.960659","2","35","231","3056874","3019830010","Clinton Hill                                                               "
"2016 - 17","P.S. 139 Alexine A. Fenty","K139","K","22","583",,"1","90","PS 137K","P.S. 138 Brooklyn","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","330 RUGBY ROAD
,  
(43.067377, -76.126816)","11226","40.641937","-73.965523","14","40","1522","3328235","3051440064","Flatbush                                                                   "
"2016 - 17","HARLEM VILLAGE ACADEMY CHARTER SCHOOL","M709","M","5","246","500 WEST 138 STREET CONSOLIDATED LOCATION","3","626","PS 187M","P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","244 WEST 144 STREET
,  
(41.993153, -71.341312)","10030","40.821535","-73.940941","10","9","232","1060432","1020290011","Central Harlem North-Polo Grounds                                          "
"2016 - 17","P.S. 110 The Monitor","K110","K","14","505",,"1","84","PS 108K","P.S. 110 The Monitor","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","124 MONITOR STREET
,  
(40.723655, -73.942275)","11222","40.723897","-73.942312","1","33","591","3067144","3026880042","Greenpoint                                                                 "
"2016 - 17","Sunset Park Avenues Elementary School","K516","K","15","1327","51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION","2","1139","PS 328 Phyllis Wheatley"," Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION","0","1","0","1","0","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","4222 4th Avenue
,  
(38.548289, -121.457458)","11232","40.650785","-74.008105","7","38","82","3337158","3007230025","Sunset Park West                                                           "
"2016 - 17","223 EAST 23 STREET CONSOLIDATED LOCATION","M047","M","2","195","223 EAST 23 STREET CONSOLIDATED LOCATION","2","550","JHS 044M","47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","223 EAST 23 STREET
,  
(29.999634, -90.268991)","10010","40.738548","-73.982455","6","2","64",,,"Gramercy                                                                   "
"2016 - 17","P.S. 230 Doris L. Cohen","K230","K","15","1240",,"1","270","PS 225K","P.S. 229 Dyker","0","0","0","0","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","1 ALBEMARLE ROAD
,  
(40.416711, -74.378387)","11218","40.645017","-73.980761","12","39","498","3124109","3053230032","Kensington-Ocean Parkway                                                   "
"2016 - 17","4600 BROADWAY CONSOLIDATED LOCATION","M218","M","6","198","4600 BROADWAY CONSOLIDATED LOCATION","3","1065","PS 206M","I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","4600 BROADWAY
,  
(37.706452, -121.084239)","10040","40.86079","-73.930672","12","10","285","1076756","1021720016","Washington Heights North                                                   "
"2016 - 17","293 EAST BROADWAY CONSOLIDATED LOCATION","M134","M","1","218",,"1","658","IS 131M","P.S. 133 Fred R Moore","0","0","1","0","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","293 EAST BROADWAY
,  
(46.378574, -96.122022)","10002","40.71457","-73.983724","3","1","202","1003736","1002880015","Lower East Side                                                            "
"2016 - 17","Fort Greene Preparatory Academy","K691","K","13","218","100 CLERMONT AVENUE CONSOLIDATED LOCATION","2","69","PS 045K","P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","100 CLERMONT AVENUE
,  
(40.694593, -73.971146)","11205","40.694633","-73.971165","2","35","187","3058088","3020450011","Fort Greene                                                                "
"2016 - 17","P.S. 241 Emma L. Johnston","K241","K","17","791",,"1","1401","The Academy of Talented Scholars","Andries Hudde","0","5","6","2","2","5C","751-1000","0.38","1.71","2.38","0.98","0.82","976 PRESIDENT STREET
,  
(41.878688, -88.464827)","11225","40.669339","-73.960675","9","35","213","3378160","3011880001","Crown Heights South                                                        "
"2016 - 17","134 WEST 122 STREET CONSOLIDATED LOCATION","M144","M","3","379","134 WEST 122 STREET CONSOLIDATED LOCATION","2","697","PS 140M","P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","134 WEST 122 STREET
,  
(42.256066, -72.251068)","10027","40.8063","-73.948013","10","9","220","1057683","1019060011","Central Harlem South                                                       "
"2016 - 17","M.S. M247 Dual Language Middle School","M247","M","3","565","32 WEST  92 STREET CONSOLIDATED LOCATION","2","587","PS 076M","P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","32 WEST 92 STREET
,  
(39.605645, -74.210596)","10025","40.789526","-73.967574","7","6","177","1081042","1012050006","Upper West Side                                                            "
"2016 - 17","2351 1ST AVENUE CONSOLIDATED LOCATION","M045","M","4","161","2351 1ST AVENUE CONSOLIDATED LOCATION","2","559","JHS 172M","Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","2351 1ST AVENUE
,  
(39.478451, -87.38128)","10035","40.798884","-73.933319","11","8","194","1054786","1017970100","East Harlem North                                                          "
"2016 - 17","P.S. 034 Franklin D. Roosevelt","M034","M","1","622",,"1","577","PS 028M","P.S. 033 Chelsea Prep","0","1","1","0","1","4C","501-750","0.28","1.11","1.74","0.75","0.53","730 EAST 12 STREET
,  
(37.793153, -122.252624)","10009","40.726473","-73.975181","3","2","28","1004564","1003810038","Lower East Side                                                            "
