"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0LFP","M510","Building System Improvement - Electrical Lighting Fixtures","CASCADES CTR FOR TCHING & LNG","198 FORSYTH STREET","1217303","2015-12-30T00:00:00.000","1","10002","40.72252","-73.990728","3","1","3601","1005626","1004220072","Chinatown                                                                  "
"0LE9","M005","Building Envelope Improvement - Parapet Reconstruction","P.S. 5 - MANHATTAN","3703 TENTH AVENUE","5693413","2015-12-30T00:00:00.000","1","10034","40.85899","-73.922894","12","10","299","1084201","1021500030","Marble Hill-Inwood                                                         "
"0LEA","M005","Building Envelope Improvement - Parapet Reconstruction","P.S. 5 - MANHATTAN","3703 TENTH AVENUE","5109929","2015-12-30T00:00:00.000","1","10034","40.85899","-73.922894","12","10","299","1084201","1021500030","Marble Hill-Inwood                                                         "
"0LEB","K470","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","INTERNATIONAL ARTS BUSINESS HS","600 KINGSTON AVENUE","420000","2015-12-30T00:00:00.000","3","11203","40.658893","-73.942458","9","40","810","3107227","3048110001","Prospect Lefferts Gardens-Wingate                                          "
"0LEC","K425","LIBRARY RECONSTRUCTION AND UPGRADE","JAMES MADISON HS - BROOKLYN","3787 BEDFORD AVENUE","903000","2015-12-30T00:00:00.000","3","11229","40.609912","-73.948512","15","48","642","3182721","3067880001","Madison                                                                    "
"0LED","K560","Leased Facility Improvements","PS @ 59 ST - BROOKLYN","550  59 STREET","6237615","2015-12-30T00:00:00.000","3","11220","40.639386","-74.014449","7","38","102","3337343","3008640001","Sunset Park East                                                           "
"0LEE","K194","Building Envelope Improvement - Parapet Reconstruction","P.S. 194 - BROOKLYN","3117 AVENUE W","1721956","2015-12-30T00:00:00.000","3","11229","40.596757","-73.933499","15","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"0LEF","Q242","Building Envelope Improvement - Parapet Reconstruction","P.S. 242 - QUEENS","29-66 137TH STREET","169421","2015-12-30T00:00:00.000","4","11354","40.771265","-73.831525","7","20","88901","4462993","4043710173","Flushing                                                                   "
"0LEG","M475","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","HS FOR HEALTH PROF & HUMAN SER","345 EAST 15 STREET","631154","2015-12-30T00:00:00.000","1","10003","40.732447","-73.983031","6","2","48","1020419","1009220008","Gramercy                                                                   "
"0LEN","K108","Building System Improvement - Installation of a Low-Voltage Electrical System","P.S. 108 - BROOKLYN","200 LINWOOD STREET","898906","2015-12-30T00:00:00.000","3","11208","40.681268","-73.884063","5","37","117202","3087131","3039260045","Cypress Hills-City Line                                                    "
"0LEO","K158","Building Envelope Improvement - Parapet Reconstruction","P.S. 158 - BROOKLYN","400 ASHFORD STREET","233415","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LEP","K158","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 158 - BROOKLYN","400 ASHFORD STREET","143405","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LEQ","K158","RECONSTRUCTION OF VENTILATION SYSTEM","P.S. 158 - BROOKLYN","400 ASHFORD STREET","817162","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LER","X130","Indoor Building Improvement","P.S. 130 - BRONX","750 PROSPECT AVENUE","400874","2015-12-30T00:00:00.000","2","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"0LET","X130","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 130 - BRONX","750 PROSPECT AVENUE","687210","2015-12-30T00:00:00.000","2","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"0LF8","Q133","Building System Improvement - Electrical Lighting Fixtures","P.S. 133 - QUEENS","248-05 86 AVENUE","980745","2015-12-30T00:00:00.000","4","11426","40.731729","-73.717859","13","23","157101","4175739","4086160001","Bellerose                                                                  "
"0LF9","Q034","Building System Improvement - Electrical Lighting Fixtures","P.S. 34 - QUEENS","104-12 SPRINGFIELD BLVD","904750","2015-12-30T00:00:00.000","4","11429","40.711753","-73.736624","13","27","582","4240503","4111510081","Queens Village                                                             "
"0LFA","R440","Building System Improvement - Electrical Lighting Fixtures","STATEN ISLAND TECHNICAL HS - S","485 CLAWSON STREET","1792868","2015-12-30T00:00:00.000","5","10306","40.567873","-74.115373","2","50","134","5107621","5042440001","New Dorp-Midland Beach                                                     "
"0LFB","K490","Building System Improvement - Electrical Lighting Fixtures","FORT HAMILTON HS - K","8301 SHORE ROAD","843507","2015-12-30T00:00:00.000","3","11209","40.627835","-74.040046","10","43","46","3152318","3060130001","Bay Ridge                                                                  "
"0LFE","Q070","Building System Improvement - Electrical Lighting Fixtures","P.S. 70 - QUEENS","30-45 42 STREET","1140352","2015-12-30T00:00:00.000","4","11103","40.762103","-73.914227","1","22","149","4442503","4006960014","Astoria                                                                    "
"0LFF","M098","Building System Improvement - Electrical Lighting Fixtures","P.S. 98 - MANHATTAN","512 WEST 212 STREET","537792","2015-12-30T00:00:00.000","1","10034","40.867826","-73.917059","12","10","303","1064871","1022290012","Marble Hill-Inwood                                                         "
"0LFG","Q036","Building System Improvement - Electrical Lighting Fixtures","P.S. 36 - QUEENS","187-01 FOCH BLVD","980339","2015-12-30T00:00:00.000","4","11412","40.690828","-73.763907","12","27","366","4268900","4124390032","St. Albans                                                                 "
"0LFH","Q068","Building System Improvement - Electrical Lighting Fixtures","P.S. 68 - QUEENS","59-09 SAINT FELIX AVENUE","701804","2015-12-30T00:00:00.000","4","11385","40.696556","-73.897405","5","30","557","4437837","4035790001","Ridgewood                                                                  "
"0LFQ","K252","Building System Improvement - Electrical Lighting Fixtures","MIDDLE SCHOOL FOR ART & PHILOS","1084 LENOX ROAD","1086826","2015-12-30T00:00:00.000","3","11212","40.658295","-73.920109","17","41","886","3101840","3046690037","Rugby-Remsen Village                                                       "
"0LFR","K319","Building System Improvement - Electrical Lighting Fixtures","P.S. 319 - BROOKLYN","360 KEAP STREET","256228","2015-12-30T00:00:00.000","3","11211","40.709674","-73.954217","1","34","527","3063189","3024240001","North Side-South Side                                                      "
"0LFX","M052","Building System Improvement - Electrical Lighting Fixtures","J.H.S. 52 - MANHATTAN","650 ACADEMY STREET","1536284","2015-12-30T00:00:00.000","1","10034","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"0LFY","K600","Building System Improvement - Electrical Lighting Fixtures","CLARA BARTON HS - K","901 CLASSON AVENUE","2446069","2015-12-30T00:00:00.000","3","11225","40.669567","-73.961962","9","35","213","3029702","3011880001","Crown Heights South                                                        "
"0LFZ","X824","Building System Improvement - Electrical Lighting Fixtures","PASSAGES ACADEMY - BRONX","108 WEST 174 STREET","338199","2015-12-30T00:00:00.000","2","10453","40.847028","-73.918003","5","14","21502","2008794","2028760008","University Heights-Morris Heights                                          "
"0LG0","Q055","Building System Improvement - Electrical Lighting Fixtures","P.S. 55 - QUEENS","131-10 97 AVENUE","837244","2015-12-30T00:00:00.000","4","11419","40.694004","-73.816617","9","28","154","4200233","4094770001","Richmond Hill                                                              "
"0LG1","R025","Building System Improvement - Electrical Lighting Fixtures","R025 SPED - STATEN ISLAND","4210 ARTHUR KILL ROAD","299741","2015-12-30T00:00:00.000","5","10309","40.539795","-74.237549","3","51","226","5086781","5073150007","Charleston-Richmond Valley-Tottenville                                     "
"0LG2","Q173","Building System Improvement - Electrical Lighting Fixtures","P.S. 173 - QUEENS","174-10 67TH  AVENUE","1241662","2015-12-30T00:00:00.000","4","11365","40.734572","-73.795484","8","24","1223","4149690","4069270022","Pomonok-Flushing Heights-Hillcrest                                         "
"0LG3","Q118","Building System Improvement - Electrical Lighting Fixtures","P.S. 118 - QUEENS","190-20 109 ROAD","1069483","2015-12-30T00:00:00.000","4","11412","40.703585","-73.765838","12","27","504","4233850","4109260050","Hollis                                                                     "
"0LG4","X114","Building System Improvement - Electrical Lighting Fixtures","P.S. 114 - BRONX","1155 CROMWELL AVENUE","914222","2015-12-30T00:00:00.000","2","10452","40.834749","-73.923081","4","16","63","2003022","2024950100","West Concourse                                                             "
"0LG5","X119","Building System Improvement - Electrical Lighting Fixtures","P.S. 119 - BRONX","1075 PUGSLEY AVENUE","693386","2015-12-30T00:00:00.000","2","10472","40.828518","-73.856569","9","18","4001","2025696","2037890021","Soundview-Bruckner                                                         "
"0LG6","Q082","Building System Improvement - Electrical Lighting Fixtures","P.S. 82 - QUEENS","88-02 144 STREET","425601","2015-12-30T00:00:00.000","4","11435","40.704072","-73.811771","12","24","214","4206905","4096840008","Briarwood-Jamaica Hills                                                    "
"0LG7","M121","Building System Improvement - Electrical Lighting Fixtures","P.S. 38 - MANHATTAN","232 EAST 103 STREET","925671","2015-12-30T00:00:00.000","1","10029","40.788952","-73.944538","11","8","164","1052384","1016520016","East Harlem South                                                          "
"0LG8","M645","Building System Improvement - Electrical Lighting Fixtures","LIFE SCIENCE SECONDARY SCHOOL","320 EAST 96 STREET","1034908","2015-12-30T00:00:00.000","1","10128","40.783625","-73.945637","8","5","15601","1050338","1015580034","Yorkville                                                                  "
