"organization_city_agency","street_address_mailing_address","city","state","zip_code","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","boroughs_served","special_populations_served","bk_bath_beach","bk_bay_ridge","bk_bedford","bk_bensonhurst_east","bk_bensonhurst_west","bk_borough_park","bk_brighton_beach","bk_brooklyn_heights_cobble","bk_brownsville","bk_bushwick_north","bk_bushwick_south","bk_canarsie","bk_carroll_gardens_columbia","bk_clinton_hill","bk_crown_heights_north","bk_crown_heights_south","bk_cypress_hills_city_line","bk_dumbo_vinegar_hill_downtown","bk_dyker_heights","bk_east_flatbush_farragut","bk_east_new_york","bk_east_new_york_pennsylvania","bk_east_williamsburg","bk_erasmus","bk_flatbush","bk_flatlands","bk_fort_greene","bk_georgetown_marine_park","bk_gravesend","bk_greenpoint","bk_homecrest","bk_kensington_ocean_parkway","bk_madison","bk_midwood","bk_north_side_south_side","bk_ocean_hill","bk_ocean_parkway_south","bk_park_slope_gowanus","bk_park_cemetery_etc_brooklyn","bk_prospect_heights","bk_prospect_lefferts_gardens","bk_rugby_remsen_village","bk_seagate_coney_island","bk_sheepshead_bay_gerritsen","bk_starrett_city","bk_stuyvesant_heights","bk_sunset_park_east","bk_sunset_park_west","bk_west_brighton","bk_williamsburg","bk_windsor_terrace","bx_allerton_pelham_gardens","bx_bedford_park_fordham_north","bx_belmont","bx_bronxdale","bx_claremont_bathgate","bx_co_op_city","bx_crotona_park_east","bx_east_concourse_concourse","bx_east_tremont","bx_eastchester_edenwald","bx_fordham_south","bx_highbridge","bx_hunts_point","bx_kingsbridge_heights","bx_longwood","bx_melrose_south_mott_haven","bx_morrisania_melrose","bx_mott_haven_port_morris","bx_mount_hope","bx_north_riverdale_fieldston","bx_norwood","bx_park_cemetery_etc_bronx","bx_parkchester","bx_pelham_bay_country_club","bx_pelham_parkway","bx_rikers_island","bx_schuylerville_throgs_neck","bx_soundview_bruckner","bx_soundview_castle_hill","bx_spuyten_duyvil_kingsbridge","bx_university_heights_morris","bx_van_cortlandt_village","bx_van_nest_morris_park","bx_west_concourse","bx_west_farms_bronx_river","bx_westchester_unionport","bx_williamsbridge_olinville","bx_woodlawn_wakefield","mn_battery_park_city_lower","mn_central_harlem_north_polo","mn_central_harlem_south","mn_chinatown","mn_clinton","mn_east_harlem_north","mn_east_harlem_south","mn_east_village","mn_gramercy","mn_hamilton_heights","mn_hudson_yards_chelsea_flat","mn_lenox_hill_roosevelt_island","mn_lincoln_square","mn_lower_east_side","mn_manhattanville","mn_marble_hill_inwood","mn_midtown_midtown_south","mn_morningside_heights","mn_murray_hill_kips_bay","mn_park_cemetery_etc_manhattan","mn_soho_tribeca_civic_center","mn_stuyvesant_town_cooper","mn_turtle_bay_east_midtown","mn_upper_east_side_carnegie","mn_upper_west_side","mn_washington_heights_north","mn_washington_heights_south","mn_west_village","mn_yorkville","qn_airport","qn_astoria","qn_auburndale","qn_baisley_park","qn_bayside_bayside_hills","qn_bellerose","qn_breezy_point_belle_harbor","qn_briarwood_jamaica_hills","qn_cambria_heights","qn_college_point","qn_corona","qn_douglas_manor_douglaston","qn_east_elmhurst","qn_east_flushing","qn_elmhurst","qn_elmhurst_maspeth","qn_far_rockaway_bayswater","qn_flushing","qn_forest_hills","qn_fresh_meadows_utopia","qn_ft_totten_bay_terrace","qn_glen_oaks_floral_park","qn_glendale","qn_hammels_arverne_edgemere","qn_hollis","qn_hunters_point_sunnyside","qn_jackson_heights","qn_jamaica","qn_jamaica_estates_holliswood","qn_kew_gardens","qn_kew_gardens_hills","qn_laurelton","qn_lindenwood_howard_beach","qn_maspeth","qn_middle_village","qn_murray_hill","qn_north_corona","qn_oakland_gardens","qn_old_astoria","qn_ozone_park","qn_park_cemetery_etc_queens","qn_pomonok_flushing_heights","qn_queens_village","qn_queensboro_hill","qn_queensbridge_ravenswood","qn_rego_park","qn_richmond_hill","qn_ridgewood","qn_rosedale","qn_south_jamaica","qn_south_ozone_park","qn_springfield_gardens_north","qn_springfield_gardens_south","qn_st_albans","qn_steinway","qn_whitestone","qn_woodhaven","qn_woodside","si_annadale_huguenot_prince","si_arden_heights","si_charleston_richmond_valley","si_grasmere_arrochar_ft","si_great_kills","si_grymes_hill_clifton_fox","si_mariner_s_harbor_arlington","si_new_brighton_silver_lake","si_new_dorp_midland_beach","si_new_springville_bloomfield","si_oakwood_oakwood_beach","si_old_town_dongan_hills","si_park_cemetery_etc_staten","si_port_richmond","si_rossville_woodrow","si_stapleton_rosebank","si_todt_hill_emerson_hill","si_west_new_brighton_new","si_westerleigh","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Regional Aid for Interim Needs, Inc.","3450 Boston Road","The Bronx","NY","10467","2019","98","0","75","23","Community-based organization, Non-Profit","Senior Services","MN, BX","Older adults (60 or older), People with disabilities",,,,,,,,,"Brownsville",,"Bushwick South","Canarsie",,,"Crown Heights North","Crown Heights South",,,,"East Flatbush-Farragut",,,,,"Flatbush",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BRONX","40.876304","-73.848594","212","12","364","2060739","2047370105","Eastchester-Edenwald-Baychester"
"Rego Park Senior Center","93-29 Queens blvd, bsm","Rego Park","NY","11374","2019","55","4","6","45","Community-based organization","Arts and culture, Education and literacy, Human services, Senior Services","QN","Older adults (60 or older)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEENS","40.73147","-73.866044","406","29","71702","4050408","4020770050","Rego Park"
"Repair the World NYC","808 Nostrand Avenue","Brooklyn","NY","11216","2019","5197","839","1099","42","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Emergency management and disaster response, Homeless and shelter, Human rights, Human services, Justice-related, Senior Services","BK, MN, BX","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seagate-Coney Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BROOKLYN","40.671089","-73.950397","308","35","31702","3032247","3012540042","Crown Heights North"
"Rescuing Leftover Cuisine","25 Broadway","New York","NY","10004","2019","8000","0","0","0","Community-based organization","Food waste and hunger","BK, MN, SI, QN","Homeless, Low-income populations",,,,,,,,,,,,,,,,,,,,,,,,,"Flatbush",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crotona Park East",,,,"Fordham South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hudson Yards-Chelsea-Flat Iron-Union Square",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forest Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West New Brighton-New Brighton-St. George",,"MANHATTAN","40.705752","-74.013374","101","1","13","1000045","1000130027","Battery Park City-Lower Manhattan"
"Retired and Senior Volunteer Program (RSVP) of the Community Service Society of New York","633 Third Avenue","New York","NY","10017","2019","2300","0","500","1800","Private Nonprofit","Advocacy and organizing, Education and literacy, Employment and workforce development, Health and medicine, Human services, Justice-related, Volunteer Mobilization","All Boroughs","Justice-involved individuals, Low-income populations, Older adults (60 or older)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parkchester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.74991","-73.975061","106","4","88","1037174","1013147502","Turtle Bay-East Midtown"
"RIseBoro Community Partnership","565 Bushwick Ave","Brooklyn","NY","11206","2019","152","124","28","0","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Legal services, Senior Services, Women's issues","BK","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highbridge",,,,,"Morrisania-Melrose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BROOKLYN","40.699023","-73.935359","304","34","391","3071908","3031510012","Bushwick South"
"Riverside Park Conservancy","475 Riverside Drive, Suite 455","New York","NY","10115","2019","6000","0","0","0","Community-based organization","Advocacy and organizing, Environment and sustainability","MN","Low-income populations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Co-op City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.811101","-73.964168","109","7","205",,,"Morningside Heights"
"Rockaway Initiative for Sustainability and Equity (formerly Rockaway Waterfront Alliance)","58-03 Rockaway Beach Blvd","Queens","NY","11692","2019","500","200","300","0","Community-based organization","Children and youth related, Environment and sustainability","QN","Low-income populations, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","QUEENS","40.592098","-73.78784","414","31","97202","4302052","4159260044","Hammels-Arverne-Edgemere"
"RSS - Riverdale Senior Services","2600 Netherland Ave.","The Bronx","NY","10463","2019","122","11","9","101","Senior Services","Advocacy and organizing, Arts and culture, Emergency management and disaster response, Health and medicine, Senior Services, Women's issues","MN, BX","Older adults (60 or older)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Murray Hill-Kips Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BRONX","40.878744","-73.915679","208","11","29302","2083247","2057220475","Spuyten Duyvil-Kingsbridge"
"Safe Families For Children","PO BOX 380439","Brooklyn","NY","11238","2019","88","0","83","5","Community-based organization","Children and youth related, Faith-based, Homeless and shelter, Immigrants and/or refugees, Strengthening isolated families","All Boroughs","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under), families",,,,,,,,,,,,,,,,,,,,"East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)",,,"Flatbush","Flatlands","Fort Greene",,,,,,,"Midwood",,,,,,,,,,,"Starrett City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safe Horizon","2 Lafayette Street, 3rd Floor","New York","NY","10007","2019","112","2","110","0","Community-based organization","Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, Women's issues, Victim Services","All Boroughs","Any victim of crime and abuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","MANHATTAN","40.713723","-74.003586","101","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy"
"Safe Passage Project","185 W Broadway","New York","NY","10013","2019","495","0","0","0","Legal services","Children and youth related, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services","All Boroughs","Immigrants and/or refugees, Unaccompanied minors ages 21 or under",,,"Bedford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allerton-Pelham Gardens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Upper West Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield Gardens North",,,,,,,,,,,,,,"New Brighton-Silver Lake",,,,,,,,,,,,"MANHATTAN","40.718175","-74.007114","101","1","33","1001967","1001760018","SoHo-TriBeCa-Civic Center-Little Italy"
"Samuel Field YM - YWHA dba Commonpoint Queens","58-20 Little Neck Parkway","Little Neck","NY","11362","2019","636","0","0","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Human services, Legal services, People with disabilities, Senior Services","QN","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","QUEENS","40.761577","-73.723122","411","23","152902","4173029","4083520051","Douglas Manor-Douglaston-Little Neck"
