Gebrek identificatie,Ingangsdatum gebrek,Einddatum gebrek,Gebrek paragraaf nummer,Gebrek artikel nummer,Gebrek omschrijving,Ingangsdatum gebrek DT,Einddatum gebrek DT
K04,20100227,20170402,10,5.*.55,Werking/toestand verplicht licht/retroreflector 5.*.55,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K05,20100227,20170402,10,5.*.56,Afstelling dimlicht 5.*.56,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K06,20100227,20170402,10,5.*.57,Toegestaan licht/retroreflect. niet vlgs voorschrift 5.*.57,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K07,20100227,20170402,10,5.*.59,Kleur toegestaan licht niet volgens voorschrift 5.*.59,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K08,20100227,20170402,10,5.*.59A,Werking/toestand toegestaan licht/retroreflector 5.*.59a,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K09,20100227,20170402,10,5.*.61,Plaatsing licht/retroreflector niet vlgs voorschrift 5.*.61,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K10,20100227,20170402,10,5.*.62,Controlelampje/signaal verlichting werkt niet 5.*.62,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K11,20100227,20170402,10,5.*.64,Niet toegestaan knipperend licht aanwezig 5.*.64,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
K12,20100227,20170402,10,5.*.65,Niet toegestaan licht aanwezig 5.*.65,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L01,20100227,20170402,11,5.*.66,Koppeling ondeug. bev./gebroken/gescheurd/corrosie 5.*.66,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L02,20100227,20170402,11,5.*.67,Diameter trekhaakkogel onvoldoende 5.*.67,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L03,20100227,20170402,11,5.*.68,Vangmuilkoppeling niet volgens voorschrift 5.*.68,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L04,20100227,20170402,11,5.*.69,Schotel-/opleggerkoppeling niet volgens voorschrift 5.*.69,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L05,20100227,20170402,11,5.12.70,Extra koppeling aanhangwagen niet vlgs. voorschrift 5.12.70,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
L06,20120401,20170402,11,5.*.66,Achtertraverse ondeug.bev/gebroken/gescheurd/corrosie5.*.66,04/01/2012 12:00:00 AM,04/02/2017 12:00:00 AM
L07,20120401,20170402,11,5.12.66,Trekdriehoek/-boom niet vlgs voorschrift 5.12.66,04/01/2012 12:00:00 AM,04/02/2017 12:00:00 AM
L08,20120401,20170402,11,5.12.68,Trekoog niet volgens voorschrift 5.12.68,04/01/2012 12:00:00 AM,04/02/2017 12:00:00 AM
M01,20100227,20170402,12,5.*.71,Geluidssignaalinrichting 5.*.71,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
N03,20100227,20170402,13,5.2.75,Stoel/bank/interieurdeel belemmert de doorgang 5.2.75,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
N04,20100227,20170402,13,5.2.76,Noodvoorzieningen niet vlgs voorschrift 5.2.76,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
N05,20100227,20170402,13,5.2.77,Lift/oprijplaat rolstoelvervoer niet vlgs voorschrift 5.2.77,02/27/2010 12:00:00 AM,04/02/2017 12:00:00 AM
O01,20100227,20160103,14,REK 24&25,Kofferdeksel kan niet geopend worden REK art. 24 & 25,02/27/2010 12:00:00 AM,01/03/2016 12:00:00 AM
O02,20100227,20160103,14,REK 24&25,Motorkap kan niet geopend worden REK art. 24 & 25,02/27/2010 12:00:00 AM,01/03/2016 12:00:00 AM
O06,20150401,20170402,14,REK 24&25,Keuringsaspect kan niet worden beoordeeld REK art. 24 & 25,04/01/2015 12:00:00 AM,04/02/2017 12:00:00 AM
OP1,20100227,,,0P1,Afgedekt onderdeel niet beoordeeld 5.1b.3,02/27/2010 12:00:00 AM,
OP2,20100227,,,OP2,Controle alle brandstoffen niet mogelijk 5.*.9,02/27/2010 12:00:00 AM,
RA1,20100227,,,RA1,Waarschuwingsinrichting airbag- / gordelsysteem geeft defect,02/27/2010 12:00:00 AM,
RA2,20120401,,,RA2,Overmatige vloeistoflekkage overige vloeistoffen,04/01/2012 12:00:00 AM,
RA3,20180520,,,RA3,Waarschuwingsinrichting stabiliteitscontrolesysteem geeft de,05/20/2018 12:00:00 AM,
RA4,20180520,,,RA4,Waarschuwingsinrichting controlesysteem bandenspanning geeft,05/20/2018 12:00:00 AM,
RA5,20180519,,,RA5,Waarschuwingsinrichting elektronische stuurbekrachtiging gee,05/19/2018 12:00:00 AM,
RA6,20180520,,,RA6,Waarschuwingsinrichting antiblokkeersysteem geeft defect aan,05/20/2018 12:00:00 AM,
RA7,20180520,,,RA7,Waarschuwingsinrichting elektronisch remsysteem geeft defect,05/20/2018 12:00:00 AM,
RA8,20180520,,,RA8,Waarschuwingsinrichting eCall-boordsysteem geeft defect aan,05/20/2018 12:00:00 AM,
