FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6792,226507,533581,9908,Duiker Ruiner Aa,17C-106,17C-106-01,Duiker Ruiner Aa,Duiker in de Ruiner Aa,Duiker,Droog,HWN,A28,in RW,226.507,533.581,1972,17C-106-00,1687,RWS NN / NN District Oost,1687,,,POINT (226507 533581)
duiker.6793,235553,576301,9913,Duiker,07D-127,07D-127-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A28,in RW,235.553,576.301,1964,07D-127-00,1687,RWS NN / NN District Oost,1687,,,POINT (235553 576301)
duiker.6794,235215,554122,9914,Duiker Ruimsloot,12D-119,12D-119-01,Duiker Ruimsloot,Duiker in de Ruimsloot,Duiker,Droog,HWN,N33,in RW,235.215,554.122,2014,12D-119-00,1687,RWS NN / NN District Oost,1687,,,POINT (235215 554122)
duiker.6795,255744,577233,9915,Duiker,07H-108,07H-108-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N33,in RW,255.744,577.233,1977,07H-108-00,1217,n.v.t.,1217,,,POINT (255744 577233)
duiker.6796,255709,579391,9916,Duiker,07H-109,07H-109-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N33,in RW,255.709,579.391,1977,07H-109-00,1687,RWS NN / NN District Oost,1687,,,POINT (255709 579391)
duiker.6797,254449,584639,9917,Duiker,07H-110,07H-110-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N33,in RW,254.449,584.639,1977,07H-110-00,1687,RWS NN / NN District Oost,1687,,,POINT (254449 584639)
duiker.6798,254256,587807,9918,Duiker,07F-121,07F-121-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N33,in RW,254.256,587.807,1977,07F-121-00,1687,RWS NN / NN District Oost,1687,,,POINT (254256 587807)
duiker.6799,252938,589729,9919,Duiker,07F-122,07F-122-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N33,in RW,252.938,589.729,1977,07F-122-00,1687,RWS NN / NN District Oost,1687,,,POINT (252938 589729)
duiker.6800,253099,591529,9920,Duiker,07F-123,07F-123-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,N37,in RW,253.099,591.529,1992,07F-123-00,1687,RWS NN / NN District Oost,1687,,,POINT (253099 591529)
duiker.6801,259973,527961,9921,Duiker,18C-118,18C-118-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,,in RW,259.973,527.961,2008,18C-118-01,1687,RWS NN / NN District Oost,1687,,,POINT (259973 527961)
duiker.6802,263721,528653,9922,Duiker,18C-119,18C-119-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A37,in RW,263.721,528.653,1971,18C-119-00,1687,RWS NN / NN District Oost,1687,,,POINT (263721 528653)
duiker.6803,225699,516616.99999999994,9923,Duiker,22A-109,22A-109-01,Duiker,Zuidelijke duiker onder de rijksweg,Duiker,Droog,HWN,N48,in RW,225.699,516.617,1963,22A-109-00,1687,RWS NN / NN District Oost,1687,,,POINT (225699 516617)
duiker.6804,225710,516643,9924,Duiker,22A-109,22A-109-02,Duiker,Noordelijke duiker onder de rijksweg,Duiker,Droog,HWN,N48,in RW,225.71,516.643,1963,22A-109-00,1687,RWS NN / NN District Oost,1687,,,POINT (225710 516643)
duiker.6843,130985.99999999999,425768,9965,Duiker 1 bovenstrooms Hondswaard,38H-107,38H-107-01,Duiker 1 bovenstrooms Hondswaard,Duiker in de noordelijke uiterwaarde van de Waal nabij Vuren,Duiker,Nat,HWS,,,130.986,425.768,2008,38H-107-01,1680,RWS ON / ON District Zuid,1680,,,POINT (130986 425768)
duiker.6844,130533.99999999999,425926,9966,Duiker 2 benedenstrooms Hondswaard,38H-108,38H-108-01,Duiker 2 benedenstrooms Hondswaard,Duiker in de noordelijke uiterwaarde van de Waal nabij Vuren,Duiker,Nat,HWS,,,130.534,425.926,2008,38H-108-01,1680,RWS ON / ON District Zuid,1680,,,POINT (130534 425926)
duiker.7158,204585,504455,10282,Duiker,21G-140,21G-140-01,Duiker,Duiker in de Westerveldse AA,Duiker,Droog,HWN,A28,in RW,204.585,504.455,1950,21G-140-00,1679,RWS ON / ON District Noord,1679,,,POINT (204585 504455)
duiker.7168,194020,441948,10292,Duiker Hondsbroeksche Pleij,40B-136,40B-136-01,Duiker Hondsbroeksche Pleij,Duiker in de oostelijke uiterwaarde van de Geldersche IJssel nabij Westervoort,Duiker,Nat,HWS,,,194.02,441.948,2012,40B-136-01,1680,RWS ON / ON District Zuid,1680,,,POINT (194020 441948)
