Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
gemeenteraad/raadsinformatieavond/index,396,506,20634,3,392,0.001,23.562,125,652,53336,23,57,372,110,51,52,18%,14%,0.61,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2F,
melding-wens-klacht-bezwaar/melding/index,396,503,22277,5,386,0.001,2.584,66,560,40486,8,54,388,62,52,56,12%,14%,0.506,http://www.utrecht.nl/melding-wens-klacht-bezwaar/melding/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2Fmelding%2F,
fietsbrug-amsterdam-rijnkanaal/index,395,576,41314,13,393,0.001,8.266,287,1111,104833,89,148,380,278,142,105,31%,37%,0.607,http://www.utrecht.nl/fietsbrug-amsterdam-rijnkanaal/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ffietsbrug-amsterdam-rijnkanaal%2F,
gemeenteraad/actueel/index,395,488,19446,5,377,0.001,8.893,74,213,9493,21,59,384,72,58,49,28%,15%,0.678,http://www.utrecht.nl/gemeenteraad/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Factueel%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=677,393,464,55617,3,362,0.001,6.075,309,784,80678,174,226,375,291,210,142,56%,58%,0.457,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=677,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D677,
volksgezondheid/over-volksgezondheid/vacatures/index,392,499,23759,80,348,0.001,22.816,214,766,44023,59,110,391,213,110,61,28%,28%,0.788,http://www.utrecht.nl/volksgezondheid/over-volksgezondheid/vacatures/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fover-volksgezondheid%2Fvacatures%2F,
wijken-en-participatie/initiatievenfonds/index,387,480,40112,1,372,0.002,14.971,298,883,71025,126,178,378,289,175,104,42%,46%,0.639,http://www.utrecht.nl/wijken-en-participatie/initiatievenfonds/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Finitiatievenfonds%2F,
sport-in-utrecht/sportaccommodaties/tarieven-indoor-sportlocaties/index,385,496,49102,9,383,0.001,8.457,38,100,9374,16,138,368,35,132,128,42%,36%,0.656,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/tarieven-indoor-sportlocaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Ftarieven-indoor-sportlocaties%2F,
wijk-leidsche-rijn/index,385,515,31498,10,409,0.001,39.698,155,703,42285,45,95,376,151,94,82,29%,25%,0.671,http://www.utrecht.nl/wijk-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-leidsche-rijn%2F,
sport-in-utrecht/sportaccommodaties/index,381,512,28098,18,376,0.001,24.432,212,930,54199,61,112,369,206,108,74,29%,29%,0.754,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2F,
volksgezondheid/jeugdgezondheidszorg/het-consultatiebureau/index,381,448,28030,7,267,0.001,16.098,267,1016,107432,66,95,369,256,94,74,25%,25%,0.687,http://www.utrecht.nl/volksgezondheid/jeugdgezondheidszorg/het-consultatiebureau/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fjeugdgezondheidszorg%2Fhet-consultatiebureau%2F,
wonen/index,380,471,36577,16,363,0.001,22.208,243,1213,86415,79,134,372,237,132,96,33%,35%,0.781,http://www.utrecht.nl/wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2F,
sociale-stad-in-ontwikkeling/ondersteuning-zorg-jeugdhulp-en-werk-in-2015/index,377,488,27212,5,379,0.001,3.612,50,311,26436,17,69,370,48,69,72,34%,18%,0.471,http://www.utrecht.nl/sociale-stad-in-ontwikkeling/ondersteuning-zorg-jeugdhulp-en-werk-in-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsociale-stad-in-ontwikkeling%2Fondersteuning-zorg-jeugdhulp-en-werk-in-2015%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/index,376,457,64473,7,247,0.001,7.892,77,392,51959,51,154,354,67,140,171,66%,41%,0.686,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2Finformatie-zwemles%2F,
gemeenteraad/raadsvergadering/vergaderingen-online/index,373,463,16652,6,353,0.001,30.97,113,350,25204,44,92,341,105,85,45,39%,25%,0.665,http://www.utrecht.nl/gemeenteraad/raadsvergadering/vergaderingen-online/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2Fvergaderingen-online%2F,
vastgoedaanbod/index,373,480,19728,11,358,0.001,9.963,264,1288,81708,40,94,363,254,91,53,15%,25%,0.688,http://www.utrecht.nl/vastgoedaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2F,
welzijn/onderwijs/basisonderwijs/index,373,458,22021,3,310,0.001,22.261,229,624,49756,71,101,359,218,98,59,31%,27%,0.796,http://www.utrecht.nl/welzijn/onderwijs/basisonderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Fonderwijs%2Fbasisonderwijs%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,371,538,28482,,436,0.018,12.26,2,26,450,1,13,366,2,13,77,50%,4%,0.799,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Dproduct_selectie,
parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/index,368,465,24136,30,335,0.001,6.885,111,757,53114,21,52,353,107,52,66,19%,14%,0.707,http://www.utrecht.nl/parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fopzeggen-parkeervoorziening%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=447,367,471,28478,3,391,0.001,6.662,97,692,41355,26,71,359,94,67,78,27%,19%,0.422,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=447,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D447,
wmo-in-utrecht/welke-hulp-hebt-u-nodig/index,366,466,20108,12,344,0.001,9.154,13,147,15946,6,24,362,13,24,55,46%,7%,0.529,http://www.utrecht.nl/wmo-in-utrecht/welke-hulp-hebt-u-nodig/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fwelke-hulp-hebt-u-nodig%2F,
wmo-in-utrecht/hoe-vraagt-u-hulp-aan/index,365,543,45553,2,408,0.001,5.06,31,284,17191,7,62,359,31,62,125,23%,17%,0.516,http://www.utrecht.nl/wmo-in-utrecht/hoe-vraagt-u-hulp-aan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fhoe-vraagt-u-hulp-aan%2F,
bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/index,363,479,29215,20,327,0.001,26.661,87,504,27925,19,53,353,83,52,80,22%,15%,0.713,http://www.utrecht.nl/bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fpublicatie-en-inzage-vergunningaanvragen%2F,
castellum-hoge-woerd/volg-de-bouw/index,363,459,24079,1,360,0.001,6.91,106,316,16298,36,98,353,102,96,66,34%,27%,0.775,http://www.utrecht.nl/castellum-hoge-woerd/volg-de-bouw/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2Fvolg-de-bouw%2F,
nederlands-leren-en-inburgeren/index,362,451,44795,8,365,0.001,14.616,288,726,70480,117,163,350,278,155,124,41%,45%,0.769,http://www.utrecht.nl/nederlands-leren-en-inburgeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnederlands-leren-en-inburgeren%2F,
stadsparken-en-landgoederen/julianapark/index,361,467,36366,6,334,0.001,33.25,283,683,56055,167,230,352,274,224,101,59%,64%,0.806,http://www.utrecht.nl/stadsparken-en-landgoederen/julianapark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fjulianapark%2F,
forten/index,360,483,32103,5,347,0.001,4.579,271,1251,85809,99,159,355,266,156,89,37%,44%,0.617,http://www.utrecht.nl/forten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fforten%2F,
wijk-binnenstad/de-wijk/plattegrond-binnenstad/index,360,488,23020,10,354,0.001,5.635,239,827,48965,64,122,356,235,119,64,27%,34%,0.56,http://www.utrecht.nl/wijk-binnenstad/de-wijk/plattegrond-binnenstad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-binnenstad%2Fde-wijk%2Fplattegrond-binnenstad%2F,
verkeer-en-vervoer/milieuzone/vrachtautos/index,357,532,28846,5,441,0.001,4.965,31,127,13029,9,64,326,28,62,81,29%,18%,0.513,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/vrachtautos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2Fvrachtautos%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen,354,490,49941,28,365,0.002,45.444,43,115,9892,33,110,341,36,102,141,77%,31%,0.847,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DTrouwen,
Loket/persondetails/displayIdentificationsAction.do,352,399,5542,,349,0.006,7.96,1,3,329,0,18,351,1,18,16,0%,5%,0.335,https://pki.utrecht.nl/Loket/persondetails/displayIdentificationsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayIdentificationsAction.do,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-kop-van-lombok/index,349,481,24794,4,349,0.001,6.234,88,297,19938,34,101,340,85,95,71,39%,29%,0.471,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-kop-van-lombok/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-kop-van-lombok%2F,
startpagina/wonen-en-wijken/wonen/bouwen-en-verbouwen/index,345,465,9176,5,349,0.001,4.111,4,10,1393,2,10,339,3,9,27,50%,3%,0.546,http://www.utrecht.nl/startpagina/wonen-en-wijken/wonen/bouwen-en-verbouwen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-en-wijken%2Fwonen%2Fbouwen-en-verbouwen%2F,
vergunningen-openbare-ruimte/index,345,431,28250,9,339,0.001,3.431,150,1559,96375,23,48,342,148,48,82,15%,14%,0.548,http://www.utrecht.nl/vergunningen-openbare-ruimte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2F,
economie-bedrijf/ondernemersloket/bedrijfshuisvesting/leegstaande-kantoren/index,342,429,42155,15,339,0.001,12.568,180,627,64957,67,105,338,176,103,123,37%,31%,0.773,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/bedrijfshuisvesting/leegstaande-kantoren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2Fbedrijfshuisvesting%2Fleegstaande-kantoren%2F,
utrecht-fietst/index,341,423,20762,6,314,0.001,79.965,148,734,54756,22,48,331,146,48,61,15%,14%,0.883,http://www.utrecht.nl/utrecht-fietst/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2F,
college-van-b-en-w/persvoorlichting/index,339,430,52869,7,358,0.001,7.996,136,309,25736,91,207,311,127,195,156,67%,61%,0.589,http://www.utrecht.nl/college-van-b-en-w/persvoorlichting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fpersvoorlichting%2F,
sport-in-utrecht/zwembaden/huisregels/index,338,412,35038,2,308,0.001,25.717,21,87,8171,11,79,334,19,76,104,52%,23%,0.679,http://www.utrecht.nl/sport-in-utrecht/zwembaden/huisregels/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fhuisregels%2F,
toezicht-en-handhaving/index,338,474,35111,13,342,0.001,4.407,199,878,69245,74,131,331,195,128,104,37%,39%,0.613,http://www.utrecht.nl/toezicht-en-handhaving/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ftoezicht-en-handhaving%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=616,337,442,45896,17,371,0.001,7.201,168,1712,139269,38,98,332,165,96,136,23%,29%,0.513,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=616,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D616,
Loket/prodcat/products/getProductDetailsAction.do?id=831,336,536,33721,4,471,0.002,3.672,51,536,31910,7,49,331,50,49,100,14%,15%,0.341,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=831,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D831,
sociale-stad-in-ontwikkeling/buurtteams/index,335,434,46446,19,343,0.001,4.129,152,418,35064,87,160,325,150,158,139,57%,48%,0.518,http://www.utrecht.nl/sociale-stad-in-ontwikkeling/buurtteams/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsociale-stad-in-ontwikkeling%2Fbuurtteams%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel Burgerlijke Stand aanvragen&processName=Aanvragen,332,435,68999,1,323,0.001,7.823,15,77,10210,4,65,322,14,63,208,27%,20%,0.32,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel%2BBurgerlijke%2BStand%2Baanvragen&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel%2BBurgerlijke%2BStand%2Baanvragen%26processName%3DAanvragen,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/nieuws/index,332,388,24224,1,261,0.001,3.971,23,77,7894,11,48,324,21,47,73,48%,14%,0.664,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2Fnieuws%2F,
kunst-cultuur/index,331,444,14781,10,343,0.001,8.002,199,683,34987,79,131,327,196,130,45,40%,40%,0.628,http://www.utrecht.nl/kunst-cultuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fkunst-cultuur%2F,
leidsche-rijn/leidsche-rijn-centrum/nieuws/bouw-leidsche-rijn-centrum-gestart/index,331,417,26112,1,279,0.001,3.489,207,596,31528,88,155,325,202,149,79,43%,47%,0.592,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/nieuws/bouw-leidsche-rijn-centrum-gestart/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2Fnieuws%2Fbouw-leidsche-rijn-centrum-gestart%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=overzicht,330,454,19640,2,378,0.002,16.023,,,,,7,325,,7,60,0%,2%,0.694,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Doverzicht,
Loket/knowledgebase/faqs/getFaqContentAction.do?id=178,329,388,29154,20,308,0.002,4.385,29,100,6079,13,80,323,29,79,89,45%,24%,0.447,https://pki.utrecht.nl/Loket/knowledgebase/faqs/getFaqContentAction.do?id=178,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Ffaqs%2FgetFaqContentAction.do%3Fid%3D178,
wonen/kamer-verhurenwoning-splitsen/index,328,452,39193,17,331,0.001,4.118,173,784,53251,76,132,320,168,131,119,44%,40%,0.545,http://www.utrecht.nl/wonen/kamer-verhurenwoning-splitsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Fkamer-verhurenwoning-splitsen%2F,
Loket/prodcat/process/ - Andere,325,409,29208,,313,0.001,2.624,197,1352,85005,40,61,315,188,59,90,20%,19%,0.285,,,
utrechtse-energie/index,325,403,27832,9,326,0.001,5.507,100,573,36959,25,76,316,99,75,86,25%,23%,0.596,http://www.utrecht.nl/utrechtse-energie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2F,
groenonderhoud/aanpak-japanse-duizendknoop/index,324,376,19618,,232,0.001,20.213,304,455,23870,224,265,316,297,260,61,74%,82%,0.738,http://www.utrecht.nl/groenonderhoud/aanpak-japanse-duizendknoop/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgroenonderhoud%2Faanpak-japanse-duizendknoop%2F,
volksgezondheid/seksuele-gezondheid-en-soa/testen-op-soa/index,323,384,44358,3,261,0.001,15.585,256,564,60937,177,246,315,248,241,137,69%,76%,1.013,http://www.utrecht.nl/volksgezondheid/seksuele-gezondheid-en-soa/testen-op-soa/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fseksuele-gezondheid-en-soa%2Ftesten-op-soa%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak inplannen na aanvraag bijstand&processName=Aanvraag met DigiD,322,376,35199,,332,0.003,15.943,2,2,0,2,36,309,2,36,109,100%,11%,0.361,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak%2Binplannen%2Bna%2Baanvraag%2Bbijstand&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DAfspraak%2Binplannen%2Bna%2Baanvraag%2Bbijstand%26processName%3DAanvraag%2Bmet%2BDigiD,
wmo-in-utrecht/formulieren-wmo/index,322,394,27244,17,318,0.001,3.106,98,1040,59831,26,67,308,93,63,85,27%,21%,0.53,http://www.utrecht.nl/wmo-in-utrecht/formulieren-wmo/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fformulieren-wmo%2F,
wonen-in-veemarkt/woningaanbod/index,321,402,10849,3,248,0.001,2.983,25,89,12677,10,23,311,23,21,34,40%,7%,0.62,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2F,
sport-in-utrecht/zwembaden/zwemles-volwassenen/index,318,458,57191,3,315,0.001,7.259,109,464,26863,53,127,310,104,122,180,49%,40%,0.694,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwemles-volwassenen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwemles-volwassenen%2F,
volksgezondheid/jeugdgezondheidszorg/index,317,416,31276,7,312,0.001,4.224,182,725,54251,44,84,310,180,84,99,24%,26%,0.526,http://www.utrecht.nl/volksgezondheid/jeugdgezondheidszorg/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fjeugdgezondheidszorg%2F,
nieuws/artikel/ - Andere,315,360,20170,87,299,0.001,19.686,160,686,54209,105,137,1,1,1,64,66%,43%,0.993,,,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=bevestiging,313,405,48745,,334,0.026,40.884,1,31,728,0,29,308,1,29,156,0%,9%,0.888,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Dbevestiging,
Loket/prodcat/process/checkPreconditionsAction.do?name=Stembureaulid&processName=Aanvraag met DigiD,313,360,49978,,289,0.003,9.48,12,30,6517,6,77,295,7,70,160,50%,25%,0.266,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Stembureaulid&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DStembureaulid%26processName%3DAanvraag%2Bmet%2BDigiD,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/recreatief-zwemmen/index,313,389,22458,4,238,0.001,8.472,35,137,10052,12,51,306,34,49,72,34%,16%,0.781,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
wijk-overvecht/index,313,424,27275,7,330,0.001,7.67,176,752,38452,59,97,304,172,94,87,34%,31%,0.7,http://www.utrecht.nl/wijk-overvecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-overvecht%2F,
bouwen-en-verbouwen/afspraak-maken/?tx_powermail_pi1[action]=confirmation&tx_powermail_pi1[controller]=Forms&cHash=c67a8368962f715d97e59c030580a188,311,457,17713,,386,0.001,22.293,13,31,1510,3,31,308,13,30,57,23%,10%,1.675,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/?tx_powermail_pi1[action]=confirmation&tx_powermail_pi1[controller]=Forms&cHash=c67a8368962f715d97e59c030580a188,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2F%3Ftx_powermail_pi1%5Baction%5D%3Dconfirmation%26tx_powermail_pi1%5Bcontroller%5D%3DForms%26cHash%3Dc67a8368962f715d97e59c030580a188,
college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/index,310,437,27140,1,330,0.001,3.198,115,362,21869,54,112,301,109,106,88,47%,36%,0.518,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fmargriet-jongerius%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,309,1012,16995,2,917,0.003,3.921,6,65,8673,2,4,300,6,4,55,33%,1%,0.178,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Db_DeBijzondereBijstand,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,308,426,12824,,385,0.003,7.357,,,,,3,298,,3,42,0%,1%,0.612,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Duwgegevens_personen,
utrechts-onderzoek-en-cijfers/utrecht-monitor/index,306,417,20069,7,351,0.001,14.949,112,676,53329,27,63,297,111,62,66,24%,21%,0.66,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/utrecht-monitor/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Futrecht-monitor%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,305,447,10931,,406,0.001,9.734,2,119,4335,0,4,294,2,4,36,0%,1%,1.394,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DGezin,
wonen-in-veemarkt/woningaanbod/zelfbouw/index,304,390,20864,1,246,0.001,6.21,30,102,6773,13,48,285,29,46,69,43%,16%,0.698,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/zelfbouw/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fzelfbouw%2F,
Formulieren/flow/stateAction.do?flow=process_add_bezoekersvergunning&state=uwgegevens_personen,303,379,11725,,294,0.002,7.169,2,10,139,0,21,298,2,19,39,0%,7%,0.803,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bezoekersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bezoekersvergunning%26state%3Duwgegevens_personen,
parkeren/contact/stel-een-parkeervraag/index,302,345,8665,1,271,0.001,11.847,23,145,7086,7,32,297,21,31,29,30%,11%,0.639,http://www.utrecht.nl/parkeren/contact/stel-een-parkeervraag/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2Fstel-een-parkeervraag%2F,
wonen/tijdelijke-verhuur/index,302,371,28863,19,290,0.001,15.101,186,541,43798,113,171,290,178,164,96,61%,57%,0.681,http://www.utrecht.nl/wonen/tijdelijke-verhuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Ftijdelijke-verhuur%2F,
afval-en-reinigen/gladheidbestrijding-en-strooibeleid/index,301,388,38866,10,292,0.002,7.711,241,649,77625,147,207,271,213,184,129,61%,69%,0.674,http://www.utrecht.nl/afval-en-reinigen/gladheidbestrijding-en-strooibeleid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval-en-reinigen%2Fgladheidbestrijding-en-strooibeleid%2F,
