WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((120052.56 490084.19,120053.63 490081.9,120048.23 490079.51,120048.2 490079.49,120047.02 490081.68,120052.56 490084.19))","120050490082",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120058.05 490086.58,120059.04 490084.29,120053.63 490081.9,120052.56 490084.19,120056.11 490085.75,120058.05 490086.58))","120056490084",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120063.49 490088.87,120064.54 490086.5,120059.41 490084.45,120059.04 490084.29,120058.05 490086.58,120063.49 490088.87))","120061490087",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120070.17 490088.75,120064.54 490086.5,120063.49 490088.87,120069.15 490091.17,120070.17 490088.75))","120067490089",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120074.8 490093.37,120075.76 490090.98,120070.17 490088.75,120069.15 490091.17,120071.77 490092.2,120074.64 490093.31,120074.8 490093.37))","120072490091",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120095.26 489828.09,120097.42 489829.99,120116.68 489808.29,120114.52 489806.34,120095.26 489828.09))","120106489818",B10a,Rigakade,Langs,MULDER,E7,1
"POLYGON ((120117.74 490038.65,120118.02 490038.05,120118.3 490037.45,120118.91 490036.13,120119.94 490033.95,120120.02 490033.78,120120.1 490033.61,120118.01 490032.6,120115.6 490037.73,120117.74 490038.65))","120118490036",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120120.1 490033.61,120120.98 490031.78,120122.63 490028.31,120120.51 490027.31,120118.9 490030.7,120118.01 490032.6,120120.1 490033.61))","120120490030",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120122.63 490028.31,120124.75 490023.81,120124.94 490023.41,120125.13 490023.01,120123.03 490021.98,120122.68 490022.73,120120.51 490027.31,120122.63 490028.31))","120123490025",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120125.13 490023.01,120127.83 490017.24,120125.71 490016.26,120123.03 490021.98,120125.13 490023.01))","120125490020",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120127.83 490017.24,120128.24 490016.37,120128.64 490015.5,120130.36 490011.86,120128.24 490010.86,120126.57 490014.41,120125.71 490016.26,120127.83 490017.24))","120128490014",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120130.36 490011.86,120132.37 490008.02,120133.11 490006.7,120131.05 490005.59,120130.46 490006.63,120129.89 490007.68,120129.33 490008.73,120128.78 490009.79,120128.24 490010.86,120130.36 490011.86))","120131490009",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120133.11 490006.7,120133.74 490005.62,120134.38 490004.55,120135.03 490003.48,120135.7 490002.43,120136.38 490001.38,120134.41 490000.13,120133.71 490001.21,120133.03 490002.29,120132.35 490003.38,120131.7 490004.48,120131.05 490005.59,120133.11 490006.7))","120134490003",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120136.38 490001.38,120136.62 490001.01,120136.87 490000.65,120137.49 489999.77,120138.12 489998.9,120138.76 489998.03,120139.41 489997.17,120140.06 489996.31,120138.16 489995.0,120137.47 489995.9,120136.79 489996.81,120136.12 489997.72,120135.45 489998.64,120134.79 489999.56,120134.6 489999.85,120134.41 490000.13,120136.38 490001.38))","120137489998",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120140.06 489996.31,120141.35 489994.65,120143.96 489991.45,120142.18 489990.02,120141.36 489991.0,120140.54 489991.99,120139.74 489992.99,120138.95 489993.99,120138.16 489995.0,120140.06 489996.31))","120141489993",B10a,Danzigerbocht,Langs,FISCAAL,,1
"POLYGON ((120143.96 489991.45,120146.51 489988.51,120147.88 489986.96,120146.11 489985.54,120144.44 489987.42,120142.18 489990.02,120143.96 489991.45))","120145489988",B10a,Danzigerbocht,Langs,FISCAAL,,1
