Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
01BHP4,1,134,In lange en zware voertuigcombinaties,,
01BHP4,2,136,- max. massa samenstel:,060000,kg
01BHP4,3,138,- max. massa autonoom geremd:,45845,kg
01BHP4,4,139,- max. massa middenas geremd:,24000,kg
01BHP6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BHP7,1,134,In lange en zware voertuigcombinaties,,
01BHP7,2,136,- max. massa samenstel:,060000,kg
01BHP7,3,138,- max. massa autonoom geremd:,46160,kg
01BHP7,4,139,- max. massa middenas geremd:,36000,kg
01BHR9,1,134,In lange en zware voertuigcombinaties,,
01BHR9,2,136,- max. massa samenstel:,060000,kg
01BHR9,3,137,- max. massa oplegger geremd:,51037,kg
01BHS8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BHS8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1200,cm
01BHS8,3,978,- max. massa ongeremd:,00750,kg
01BHS8,4,980,- max. massa autonoom geremd:,03500,kg
01BHS8,5,981,- max. massa middenas geremd:,03500,kg
01BHT8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,084,
01BHV2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0433-0482,cm
01BHV6,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie,
01BHVT,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BHVT,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BHX4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,021,
01BHX7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,443-509,cm
01BJD1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
01BJD2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0437-0504,cm
01BJD4,1,134,In lange en zware voertuigcombinaties,,
01BJD4,2,136,- max. massa samenstel:,057500,kg
01BJD4,3,138,- max. massa autonoom geremd:,48983,kg
01BJD4,4,139,- max. massa middenas geremd:,24000,kg
01BJD6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0428-0477,cm
01BJF7,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
01BJK1,1,134,In lange en zware voertuigcombinaties,,
01BJK1,2,136,- max. massa samenstel:,057500,kg
01BJK1,3,137,- max. massa oplegger geremd:,48928,kg
01BJK2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0423-0472,cm
01BJK7,1,134,In lange en zware voertuigcombinaties,,
01BJK7,2,136,- max. massa samenstel:,050000,kg
01BJK7,3,137,- max. massa oplegger geremd:,42059,kg
01BJL2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BJL2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),8750,cm
01BJL2,3,978,- max. massa ongeremd:,00750,kg
01BJL2,4,980,- max. massa autonoom geremd:,27862,kg
01BJL2,5,981,- max. massa middenas geremd:,14101,kg
01BJN8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0436-0497,cm
01BJP5,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BJP5,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1089,cm
01BJP5,3,978,- max. massa ongeremd:,00750,kg
01BJP5,4,980,- max. massa autonoom geremd:,03500,kg
01BJP5,5,981,- max. massa middenas geremd:,03500,kg
01BJR1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,107,
01BJRT,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BJRT,2,78,Afgegeven ex art. 16 lid 2 R.Kr. inzake afwijkende koplamp(en).,,
01BJT5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0492,cm
01BJT6,1,134,In lange en zware voertuigcombinaties,,
01BJT6,2,136,- max. massa samenstel:,050000,kg
01BJT6,3,138,- max. massa autonoom geremd:,37975,kg
01BJT6,4,139,- max. massa middenas geremd:,24000,kg
01BJV3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,016,
01BJV8,1,907,Dit voertuig is een rijdend werktuig.,,
01BJV8,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BJX3,1,134,In lange en zware voertuigcombinaties,,
01BJX3,2,136,- max. massa samenstel:,050000,kg
01BJX3,3,137,- max. massa oplegger geremd:,41924,kg
01BJZV,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BJZV,2,965,Afwijkende koplamp(en) toegestaan op basis van art. 30 van de invoeringswet WVW 1994.,,
01BKD2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,127,
01BKD2,2,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
01BKF7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,123,
01BKG2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BKL7,1,134,In lange en zware voertuigcombinaties,,
01BKL7,2,136,- max. massa samenstel:,057500,kg
01BKL7,3,137,- max. massa oplegger geremd:,50000,kg
01BKR2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,088,
01BKR9,1,134,In lange en zware voertuigcombinaties,,
01BKR9,2,136,- max. massa samenstel:,060000,kg
01BKR9,3,138,- max. massa autonoom geremd:,41800,kg
01BKR9,4,139,- max. massa middenas geremd:,26025,kg
01BKT2,1,983,Lengte (L):,0919-1138,cm
01BKT2,2,984,afstand voorzijde voertuig tot hart koppeling (a):,0662-0767,cm
01BKT2,3,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BKT2,4,976,- afstand voorzijde voertuig tot hart   koppeling (a),0896,cm
01BKT2,5,978,- max. massa ongeremd:,00750,kg
01BKT2,6,980,- max. massa autonoom geremd:,21685,kg
01BKT2,7,981,- max. massa middenas geremd:,13572,kg
01BKT2,8,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BKT2,9,976,- afstand voorzijde voertuig tot hart   koppeling (a),0916,cm
01BKT2,10,978,- max. massa ongeremd:,00750,kg
01BKT2,11,980,- max. massa autonoom geremd:,03500,kg
01BKT2,12,981,- max. massa middenas geremd:,03500,kg
01BKT2,13,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BKT2,14,976,- afstand voorzijde voertuig tot hart   koppeling (a),1115,cm
01BKT2,15,978,- max. massa ongeremd:,00750,kg
01BKT2,16,980,- max. massa autonoom geremd:,21685,kg
01BKT2,17,981,- max. massa middenas geremd:,14023,kg
01BKT2,18,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BKT2,19,976,- afstand voorzijde voertuig tot hart   koppeling (a),1135,cm
01BKT2,20,978,- max. massa ongeremd:,00750,kg
01BKT2,21,980,- max. massa autonoom geremd:,03500,kg
01BKT2,22,981,- max. massa middenas geremd:,03500,kg
01BKZ6,1,907,Dit voertuig is een rijdend werktuig.,,
01BKZ6,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
01BKZ6,3,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BKZ6,8,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
01BLD9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,140,
01BLFN,1,160,Af-fabriek roetfilter verwijderd,,
01BLG2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BLG2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1008,cm
01BLG2,3,978,- max. massa ongeremd:,00750,kg
01BLG2,4,980,- max. massa autonoom geremd:,03627,kg
01BLG2,5,981,- max. massa middenas geremd:,03627,kg
01BLH1,1,134,In lange en zware voertuigcombinaties,,
01BLH1,2,136,- max. massa samenstel:,060000,kg
01BLH1,3,137,- max. massa oplegger geremd:,49835,kg
01BLH2,1,134,In lange en zware voertuigcombinaties,,
01BLH2,2,136,- max. massa samenstel:,044000,kg
01BLH2,3,138,- max. massa autonoom geremd:,28500,kg
01BLH2,4,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BLH2,5,976,- afstand voorzijde voertuig tot hart   koppeling (a),0802,cm
01BLH2,6,978,- max. massa ongeremd:,00750,kg
01BLH2,7,980,- max. massa autonoom geremd:,34460,kg
01BLH2,8,981,- max. massa middenas geremd:,18000,kg
01BLJ3,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BLJ3,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1090,cm
01BLJ3,3,978,- max. massa ongeremd:,00750,kg
01BLJ3,4,980,- max. massa autonoom geremd:,03500,kg
01BLJ3,5,981,- max. massa middenas geremd:,03500,kg
01BLJ3,6,907,Dit voertuig is een rijdend werktuig.,,
01BLJ3,7,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BLJ3,10,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,tpv de steunpoten aan de v,
01BLK7,1,134,In lange en zware voertuigcombinaties,,
01BLK7,2,136,- max. massa samenstel:,060000,kg
01BLK7,3,138,- max. massa autonoom geremd:,32000,kg
01BLK7,4,139,- max. massa middenas geremd:,24000,kg
01BLN1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BLP8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BLP8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),6100,cm
01BLP8,3,980,- max. massa autonoom geremd:,40000,kg
01BLP8,4,981,- max. massa middenas geremd:,24000,kg
01BLP8,5,134,In lange en zware voertuigcombinaties,,
01BLP8,6,136,- max. massa samenstel:,057500,kg
01BLP8,7,137,- max. massa oplegger geremd:,49934,kg
01BLRP,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BLRP,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BLS4,1,134,In lange en zware voertuigcombinaties,,
01BLS4,2,136,- max. massa samenstel:,050000,kg
01BLS4,3,137,- max. massa oplegger geremd:,42664,kg
01BLS6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0502-0552,cm
01BLT5,1,983,Lengte (L):,0890-1070,cm
01BLT7,1,134,In lange en zware voertuigcombinaties,,
01BLT7,2,136,- max. massa samenstel:,050000,kg
01BLT7,3,138,- max. massa autonoom geremd:,40265,kg
01BLT7,4,139,- max. massa middenas geremd:,24000,kg
01BLX1,1,134,In lange en zware voertuigcombinaties,,
01BLX1,2,136,- max. massa samenstel:,060000,kg
01BLX1,3,138,- max. massa autonoom geremd:,41800,kg
01BLX1,4,139,- max. massa middenas geremd:,26025,kg
01BLX9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0470-0535,cm
01BLXP,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BLXP,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BLZ9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BNB8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
01BNH5,1,134,In lange en zware voertuigcombinaties,,
01BNH5,2,136,- max. massa samenstel:,050000,kg
01BNH5,3,137,- max. massa oplegger geremd:,42265,kg
01BNJ2,1,134,In lange en zware voertuigcombinaties,,
01BNJ2,2,136,- max. massa samenstel:,057500,kg
01BNJ2,3,137,- max. massa oplegger geremd:,49045,kg
01BNJ3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0471-0551,cm
01BNJF,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BNJF,2,965,Afwijkende koplamp(en) toegestaan op basis van art. 30 van de invoeringswet WVW 1994.,,
01BNJX,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BNK5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0655-0755,cm
01BNK5,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BNK5,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),0888,cm
01BNK5,4,978,- max. massa ongeremd:,00750,kg
01BNK5,5,980,- max. massa autonoom geremd:,19745,kg
01BNK5,6,981,- max. massa middenas geremd:,13591,kg
01BNK8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,064,
01BNL1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BNL7,1,134,In lange en zware voertuigcombinaties,,
01BNL7,2,136,- max. massa samenstel:,050000,kg
01BNL7,3,137,- max. massa oplegger geremd:,41540,kg
01BNR7,1,134,In lange en zware voertuigcombinaties,,
01BNR7,2,136,- max. massa samenstel:,060000,kg
01BNR7,3,137,- max. massa oplegger geremd:,51133,kg
01BNS4,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0457-0517,cm
01BNV5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,025,
01BNX6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BNXZ,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BNXZ,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BPB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,083,
01BPB3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,100,
01BPB9,1,134,In lange en zware voertuigcombinaties,,
01BPB9,2,136,- max. massa samenstel:,60000,kg
01BPB9,3,137,- max. massa oplegger geremd:,51382,kg
01BPD3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,156,
01BPD5,1,134,In lange en zware voertuigcombinaties,,
01BPD5,2,136,- max. massa samenstel:,60000,kg
01BPD5,3,137,- max. massa oplegger geremd:,51154,kg
01BPD9,1,134,In lange en zware voertuigcombinaties,,
01BPD9,2,136,- max. massa samenstel:,60000,kg
01BPD9,3,138,- max. massa autonoom geremd:,48220,kg
01BPD9,4,139,- max. massa middenas geremd:,18000,kg
01BPF3,1,134,In lange en zware voertuigcombinaties,,
01BPF3,2,136,- max. massa samenstel:,57500,kg
01BPF3,3,137,- max. massa oplegger geremd:,49408,kg
01BPF5,1,134,In lange en zware voertuigcombinaties,,
01BPF5,2,136,- max. massa samenstel:,57500,kg
01BPF5,3,137,- max. massa oplegger geremd:,50115,kg
01BPF6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0434-0500,cm
01BPG7,1,134,In lange en zware voertuigcombinaties,,
01BPG7,2,136,- max. massa samenstel:,60000,kg
01BPG7,3,138,- max. massa autonoom geremd:,45740,kg
01BPG7,4,139,- max. massa middenas geremd:,24000,kg
01BPH6,1,134,In lange en zware voertuigcombinaties,,
01BPH6,2,136,- max. massa samenstel:,54400,kg
01BPH6,3,137,- max. massa oplegger geremd:,45881,kg
01BPJ2,1,907,Dit voertuig is een rijdend werktuig.,,
01BPJ2,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
01BPJ3,1,134,In lange en zware voertuigcombinaties,,
01BPJ3,2,136,- max. massa samenstel:,60000,kg
01BPJ3,3,138,- max. massa autonoom geremd:,48370,kg
01BPJ3,4,139,- max. massa middenas geremd:,24000,kg
01BPJ3,5,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BPJ3,6,976,- afstand voorzijde voertuig tot hart   koppeling (a),8840,cm
01BPJ3,7,980,- max. massa autonoom geremd:,38370,kg
01BPJ3,8,134,In lange en zware voertuigcombinaties,,
01BPJ3,9,138,- max. massa autonoom geremd:,48370,kg
01BPK3,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BPK3,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1159,cm
01BPK3,3,978,- max. massa ongeremd:,750,kg
01BPK3,4,980,- max. massa autonoom geremd:,0000,kg
01BPK3,5,981,- max. massa middenas geremd:,3500,kg
01BPK7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0397-0446,cm
01BPKR,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BPL2,1,134,In lange en zware voertuigcombinaties,,
01BPL2,2,136,- max. massa samenstel:,60000,kg
01BPL2,3,138,- max. massa autonoom geremd:,48040,kg
01BPL2,4,139,- max. massa middenas geremd:,24000,kg
01BPN4,1,907,Dit voertuig is een rijdend werktuig.,,
01BPN4,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BPN6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,490-550,cm
01BPR8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,445-505,cm
01BPR8,2,134,In lange en zware voertuigcombinaties,,
01BPR8,3,136,- max. massa samenstel:,60000,kg
01BPR8,4,137,- max. massa oplegger geremd:,50540,kg
01BPS2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,051,
01BPSB,1,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BPSB,2,147,De in dit voertuig aangebrachte gordels ten behoeve van een of meer passagiers in een rolstoel zijn goed- gekeurd.,,
01BPT5,1,134,In lange en zware voertuigcombinaties,,
01BPT5,2,136,- max. massa samenstel:,57500,kg
01BPT5,3,137,- max. massa oplegger geremd:,49281,kg
01BPV3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,107,
01BPV7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,085,
01BPX8,1,134,In lange en zware voertuigcombinaties,,
01BPX8,2,136,- max. massa samenstel:,57500,kg
01BPX8,3,137,- max. massa oplegger geremd:,49521,kg
01BPZB,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BRB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,077,
01BRB4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,077,
01BRB9,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRB9,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0955,cm
01BRB9,3,978,- max. massa ongeremd:,750,kg
01BRB9,4,980,- max. massa autonoom geremd:,35000,kg
01BRB9,5,981,- max. massa middenas geremd:,24000,kg
01BRD4,1,134,In lange en zware voertuigcombinaties,,
01BRD4,2,136,- max. massa samenstel:,60000,kg
01BRD4,3,137,- max. massa oplegger geremd:,51129,kg
01BRD6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,434-500,cm
01BRF3,1,983,Lengte (L):,0873-1055,cm
01BRF3,2,984,afstand voorzijde voertuig tot hart koppeling (a):,669-729,cm
01BRF3,3,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRF3,4,976,- afstand voorzijde voertuig tot hart   koppeling (a),1020,cm
01BRF3,5,978,- max. massa ongeremd:,750,kg
01BRF3,6,980,- max. massa autonoom geremd:,25025,kg
01BRG5,1,907,Dit voertuig is een rijdend werktuig.,,
01BRG5,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BRG5,3,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRG5,4,976,- afstand voorzijde voertuig tot hart   koppeling (a),1088,cm
01BRG5,5,978,- max. massa ongeremd:,00750,kg
01BRG5,6,980,- max. massa autonoom geremd:,02750,kg
01BRG5,7,981,- max. massa middenas geremd:,02750,kg
01BRH7,1,134,In lange en zware voertuigcombinaties,,
01BRH7,2,136,- max. massa samenstel:,57500,kg
01BRH7,3,137,- max. massa oplegger geremd:,49519,kg
01BRH8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,455-459,cm
01BRK6,1,907,Dit voertuig is een rijdend werktuig.,,
01BRK6,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BRK6,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de voorste stempelpoten,
01BRK6,8,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRK6,9,976,- afstand voorzijde voertuig tot hart   koppeling (a),1346,cm
01BRK6,10,978,- max. massa ongeremd:,750,kg
01BRK6,11,981,- max. massa middenas geremd:,3383,kg
01BRL5,1,134,In lange en zware voertuigcombinaties,,
01BRL5,2,136,- max. massa samenstel:,57017,kg
01BRL5,3,137,- max. massa oplegger geremd:,50000,kg
01BRN8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRN8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),884,cm
01BRN8,3,978,- max. massa ongeremd:,750,kg
01BRN8,4,980,- max. massa autonoom geremd:,1000,kg
01BRP3,1,134,In lange en zware voertuigcombinaties,,
01BRP3,2,136,- max. massa samenstel:,56000,kg
01BRP3,3,137,- max. massa oplegger geremd:,47888,kg
01BRP6,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
01BRR2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRR2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0890,cm
01BRR2,3,978,- max. massa ongeremd:,750,kg
01BRR2,4,980,- max. massa autonoom geremd:,34900,kg
01BRR2,5,981,- max. massa middenas geremd:,24000,kg
01BRR8,1,134,In lange en zware voertuigcombinaties,,
01BRR8,2,136,- max. massa samenstel:,57500,kg
01BRR8,3,138,- max. massa autonoom geremd:,42102,kg
01BRR8,4,139,- max. massa middenas geremd:,31750,kg
01BRRG,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BRRH,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BRRH,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BRRP,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BRS8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,111,
01BRSV,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BRSX,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BRSX,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BRT2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
01BRT9,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
01BRV1,1,907,Dit voertuig is een rijdend werktuig.,,
01BRV1,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BRV1,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
01BRV1,4,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
01BRV6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,150,
01BRV8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRV8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1070,cm
01BRV8,3,978,- max. massa ongeremd:,750,kg
01BRV8,4,980,- max. massa autonoom geremd:,3406,kg
01BRV8,5,981,- max. massa middenas geremd:,3406,kg
01BRX4,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
01BRX8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BRZ1,1,134,In lange en zware voertuigcombinaties,,
01BRZ1,2,136,- max. massa samenstel:,57500,kg
01BRZ1,3,137,- max. massa oplegger geremd:,50248,kg
01BRZ3,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
01BRZ3,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BRZ3,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),0774,cm
01BRZ3,4,978,- max. massa ongeremd:,750,kg
01BRZ3,5,980,- max. massa autonoom geremd:,3500,kg
01BRZ3,6,981,- max. massa middenas geremd:,3500,kg
01BSB2,1,134,In lange en zware voertuigcombinaties,,
01BSB2,2,136,- max. massa samenstel:,55710,kg
01BSB2,3,137,- max. massa oplegger geremd:,48500,kg
01BSB9,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
01BSFT,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BSFT,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BSG5,1,134,In lange en zware voertuigcombinaties,,
01BSG5,2,136,- max. massa samenstel:,57500,kg
01BSG5,3,137,- max. massa oplegger geremd:,50000,kg
01BSG8,1,134,In lange en zware voertuigcombinaties,,
01BSG8,2,136,- max. massa samenstel:,57500,kg
01BSG8,3,137,- max. massa oplegger geremd:,50258,kg
01BSH9,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
01BSL4,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0418-0467,cm
01BSL6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0411-0472,cm
01BSN2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0411-0472,cm
01BSN6,1,134,In lange en zware voertuigcombinaties,,
01BSN6,2,136,- max. massa samenstel:,57500,kg
01BSN6,3,137,- max. massa oplegger geremd:,49731,kg
01BSN7,1,907,Dit voertuig is een rijdend werktuig.,,
01BSN7,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BSN7,10,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
01BSN9,1,134,In lange en zware voertuigcombinaties,,
01BSN9,2,136,- max. massa samenstel:,50000,kg
01BSN9,3,137,- max. massa oplegger geremd:,41994,kg
01BSR5,1,134,In lange en zware voertuigcombinaties,,
01BSR5,2,136,- max. massa samenstel:,50000,kg
01BSR5,3,137,- max. massa oplegger geremd:,41745,kg
01BSTZ,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BSV7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,056,
01BSZ5,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BSZ5,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),741,cm
01BSZ5,3,978,- max. massa ongeremd:,750,kg
01BSZ5,4,981,- max. massa middenas geremd:,3500,kg
01BTB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,057,
01BTD8,1,134,In lange en zware voertuigcombinaties,,
01BTD8,2,136,- max. massa samenstel:,57500,kg
01BTD8,3,137,- max. massa oplegger geremd:,49396,kg
01BTD8,4,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BTD8,5,976,- afstand voorzijde voertuig tot hart   koppeling (a),0636,cm
01BTD8,6,978,- max. massa ongeremd:,750,kg
01BTD8,7,980,- max. massa autonoom geremd:,41896,kg
01BTD8,8,981,- max. massa middenas geremd:,17286,kg
01BTDB,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BTG2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0431-0492,cm
01BTH5,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BTH5,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1068,cm
01BTH5,3,978,- max. massa ongeremd:,750,kg
