"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"15305",,"E","48","TE","5","1","1970","Residential","New Construction","Single Family","1","10000","2817001","1043386","24605","15305 E 48 TE
,  "
"4500",,"E","27","ST","7","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","150","2779962","1059528","27321","4500 E 27 ST
,  "
"3200",,"E","29","ST","12","1","1970","Residential","Additions, Alterations, Repairs","NA","0","2000","2775625","1058102","34531","3200 E 29 ST
,  "
"131",,"E","39","ST","3","1","1970","Non-Residential","New Construction","NA","0","48900","2764849","1052177","19986","131 E 39 ST
,  "
"2409",,"E","27","ST","5","1","1971","Residential","Additions, Alterations, Repairs","NA","0","600","2773298","1059713","42463","2409 E 27 ST
,  "
"1750",,"E","22","ST","4","1","1970","Residential","New Construction","Multifamily","8","52000","2771165","1062976","23053","1750 E 22 ST
,  "
"2005",,"E","34","ST","7","1","1972","Residential","Additions, Alterations, Repairs","NA","0","1500","2771768","1055170","69229","2005 E 34 ST
,  "
"2009",,"E","24","TE","6","1","1971","Residential","Demolition","Multifamily","8","799","2771927","1061538","44791","2009 E 24 TE
,  "
"10601",,"E","42","ST","4","1","1971","Residential","New Construction","Multifamily","10","67970","2801537","1048485","41878","10601 E 42 ST
,  "
"6601",,"E","58","ST","8","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","700","2786165","1038990","49536","6601 E 58 ST
,  "
"3900",,"E","31","ST","7","1","1971","Non-Residential","New Construction","NA","0","21000","2778033","1056997","46469","3900 E 31 ST
,  "
"3322",,"E","23","ST","10","1","1970","Residential","Demolition","Single Family","1","300","2776344","1062412","32339","3322 E 23 ST
,  "
"4925",,"E","31",,"10","18","1973","Non-Residential","Additions, Alterations, Repairs","NA","0","700","2781146","1056739","93640","4925 E 31
,  "
"2654",,"E","29","ST","12","1","1970","Residential","Demolition","Single Family","1","800","2773946","1058197","33908","2654 E 29 ST
,  "
"3517",,"E","45","TE","3","1","1972","Residential","Additions, Alterations, Repairs","NA","0","600","2776492","1047351","61148","3517 E 45 TE
,  "
"2656",,"NE","42","ST","7","1","1971","Residential","Additions, Alterations, Repairs","NA","0","26690","2774947","1093527","46818","2656 NE 42 ST
,  "
"12030",,"E","46","TE","9","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","1200","2806836","1045266","50790","12030 E 46 TE
,  "
"12012",,"E","58","ST","7","1","1972","Residential","New Construction","Single Family","1","15900","2806047","1037927","69278","12012 E 58 ST
,  "
"1301",,"W","39","ST","1","1","1970","Non-Residential","New Construction","NA","0","8900","2759824","1052422","18047","1301 W 39 ST
,  "
"2312",,"E","11","ST","7","1","1971","Residential","Additions, Alterations, Repairs","NA","0","150","2773419","1068196","47610","2312 E 11 ST
,  "
"127",,"W","10","ST","3","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","1000","2764552","1068859","21546","127 W 10 ST
,  "
"6200",,"E","35","ST","2","1","1971","Non-Residential","New Construction","NA","0","12730","2785680","1054864","36175","6200 E 35 ST
,  "
"510",,"E","26","ST","1","1","1970","Residential","Demolition","Multifamily","2","1215","2766487","1060569","17702","510 E 26 ST
,  "
