"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"COLORADO WINE ROOM","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2022-02-08T00:00:00.000","3701 G ROAD","Palisade","CO","81526"
"AVANTI WINERY INC","GAR'S & GRAPES","Sales Room Wine","14-43495-0000","2021-05-14T00:00:00.000","6205 SOUTH MAIN STREET","Aurora","CO","80016"
"THREE BARREL CO/BRICKER BEER","THREE BARREL BREWING CO / BRICKER BEER","Sales Room Malt","42-23859-0002","2022-03-12T00:00:00.000","586 COLUMBIA AVENUE","Del Norte","CO","81132"
"MOUNTAIN TOAD BREWING","MOUNTAIN TOAD BREWING","Sales Room Malt","03-00840","2022-02-04T00:00:00.000","900 WASHINGTON AVE","Golden","CO","80401"
"ASPEN PEAK CELLARS INC","ASPEN PEAK CELLARS","Sales Room Wine","15-70398-0002","2022-02-25T00:00:00.000","105 WEST MAIN STREET","Florence","CO","81226"
"HORSE & DRAGON BREWING COMPANY","HORSE & DRAGON BREWING COMPANY","Sales Room Malt","03-02409","2022-01-21T00:00:00.000","124 RACQUETTE DRIVE","Fort Collins","CO","80524"
"CRAZY MOUNTAIN BREWING COMPANY","CRAZY MOUNTAIN BREWING COMPANY","Sales Room Malt","03-05456","2021-12-03T00:00:00.000","441-471 KALAMATH STREET","Denver","CO","80204"
"OASIS BREWERY","OASIS BREWERY","Sales Room Malt","03-07948","2022-10-12T00:00:00.000","3257 NORTH LOWELL BOULEVARD","Denver","CO","80211"
"BLUE MOUNTAIN VINEYARDS","BLUE MOUNTAIN VINEYARDS","Sales Room Wine","42-54818-0001","2022-11-14T00:00:00.000","4480 HOOT OWL DRIVE","Berthoud","CO","80513"
"ZANAMIEL MEADERY","ZANAMIEL MEADERY","Sales Room Wine","03-11662","2023-05-05T00:00:00.000","6801 SOUTH MARION CIRCLE WEST","Centennial","CO","80122"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-11237","2022-05-05T00:00:00.000","18148 WEST 92ND LANE #100","Arvada","CO","80007"
"BURLY BREWING COMPANY","BURLY BREWING COMPANY","Sales Room Malt","03-08627","2023-01-31T00:00:00.000","680 ATCHISON WAY SUITE 700/800","Castle Rock","CO","80109"
"THE FAMILY JONES LLC","THE FAMILY JONES LLC","Sales Room Spirits","03-07493","2023-02-09T00:00:00.000","1527 TAURUS COURT","Loveland","CO","80537"
"NEW TERRAIN BREWING COMPANY","NEW TERRAIN BREWING COMPANY","Sales Room Malt","03-05809","2023-01-10T00:00:00.000","16401 TABLE MOUNTAIN PARKWAY","Golden","CO","80403"
"FENCELINE CIDFER","FENCELINE CIDER","Sales Room Wine","03-08674","2023-01-16T00:00:00.000","141 SOUTH MAIN STREET UNIT C","Mancos","CO","81328"
"APPLE VALLEY CIDER COMPANY","APPLE VALLEY CIDER COMPANY","Sales Room Wine","03-08805","2022-12-25T00:00:00.000","103 BROADWAY UNIT #13","Penrose","CO","81240"
"BREWERY HILL LLC","BROKEN COMPASS BREWING COMPANY","Sales Room Malt","03-02673","2023-03-27T00:00:00.000","68 CONTINENTAL COURT UNIT B-12","Breckenridge","CO","80424"
"SAUVAGE SPECTRUM LLC","SAUVAGE SPECTRUM LLC","Sales Room Wine","03-10898","2023-02-12T00:00:00.000","702 MAIN STREET","Grand Junction","CO","81501"
"CHILL SWITCH WINES","CHILL SWITCH WINES","Sales Room Wine","03-02311","2023-04-09T00:00:00.000","260 WEST MAIN STREET","Cedaredge","CO","81413"
"RATIO BEERWORKS","RATIO BEERWORKS","Sales Room Malt","03-08088","2023-05-18T00:00:00.000","2920 LARIMER STREET","Denver","CO","80205"
"MAD RABBIT DISTILLERY","HIGH PROOF DISTILLERY","Sales Room Spirits","03-05348","2022-12-13T00:00:00.000","10860 DOVER STREET SUITE 2000","Westminster","CO","80021"
"HIGH COUNTY BEVERAGE CORP","HIGH COUNTRY BEVERAGE CORP","Sales Room Malt","23-68718-0001","2022-05-27T00:00:00.000","4200 RONALD REAGAN BLVD","Loveland","CO","80534"
"PLUM CREEK CELLARS LTD","PLUM CREEK CELLARS LTD","Sales Room Wine","08-73348-0003","2023-01-16T00:00:00.000","700 SOUTH GARFIELD STREET","Denver","CO","80209"
"COLORADO WINE ROOM","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2023-02-08T00:00:00.000","3701 G ROAD","Palisade","CO","81526"
"COLTERRIS WINERY/COLTERRIS WINES","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2023-05-02T00:00:00.000","3907 NORTH RIVER ROAD","Palisade","CO","81526"
"DELICIOUS ORCHARDS","BIG B'S HARD CIDER","Sales Room Wine","28-62394-0001","2023-04-29T00:00:00.000","39126 HIGHWAY 133","Hotchkiss","CO","81419"
"CLEAR FORK CIDER","CLEAR FORK CIDER","Sales Room Wine","03-06464","2023-06-12T00:00:00.000","13395 BRAUN ROAD","Denver","CO","80401"
"FOSSIL CRAFT BEER COMPANY","FOSSIL CRAFT BEER COMPANY","Sales Room Malt","03-02397","2023-01-27T00:00:00.000","2845 ORE MILL ROAD UNIT#S 1 & 2","Colorado Springs","CO","80904"
"THREE BARREL BREWING CO LLC","THREE BARREL BREWING COMPANY LLC","Sales Room Malt","03-02745","2023-04-13T00:00:00.000","475 GRAND AVENUE","Del Norte","CO","81132"
"GREAT DIVIDE BREWING COMPANY","GREAT DIVIDE BREWING COMPANY","Sales Room Malt","03-03322","2022-10-15T00:00:00.000","1812 35TH ST & 3395 BRIGHTON BLVD","Denver","CO","80216"
"LONG TABLE BREWING COMPANY","LONG TABLE BREWING COMPANY","Sales Room Malt","03-09257","2023-02-19T00:00:00.000","2895 FAIRFAX STREET","Denver","CO","80207"
"SNOWY PEAKS WINERY AT ESTES PARK KOA","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2023-04-24T00:00:00.000","2501 BIG THOMPSON AVENUE","Estes Park","CO","80517"
"LANOUE DUBOIS WINERY LLC","LANOUE DUBOIS WINERY","Sales Room Wine","03-13488","2022-10-12T00:00:00.000","67289 TROUT ROAD","Montrose","CO","81403"
"STEIN BREWING COMPANY","STEIN BREWING COMPANY","Sales Room Malt","03-00743","2023-02-01T00:00:00.000","2516 49TH ST, UNIT 5","Boulder","CO","80301"
"FOAM & FOLLY BREWING","FOAM & FOLLY BREWING","Sales Room Malt","03-14603","2023-05-26T00:00:00.000","330 SOUTH 2ND STREET","Grand Junction","CO","81501"
"ODYSSEY BEERWERKS","ODYSSEY BEERWERKS, LLC","Sales Room Malt","03-00947","2023-04-03T00:00:00.000","5535 WEST 56TH AVENUE SUITE 107-108","Arvada","CO","80002"
"14ER BREWING","14ER BREWING","Sales Room Malt","03-06323","2023-05-24T00:00:00.000","3120 BLAKE STREET UNIT C","Denver","CO","80205"
"Rock Cut Brewing Company","ROCK CUT BREWING COMPANY","Sales Room Malt","03-04574","2022-06-21T00:00:00.000","390 WEST RIVERSIDE DRIVE","Estes Park","CO","80517"
"HOLIDAILY BREWING COMPANY","HOLIDAILY BREWING COMPANY","Sales Room Malt","03-09388","2023-03-27T00:00:00.000","820 BRICKYARD CIRCLE","Golden","CO","80403"
"NEW BELGIUM BREWING CO","NEW BELGIUM BREWING CO","Sales Room Malt","09-69917-0001","2023-03-30T00:00:00.000","500 LINDEN STREET","Fort Collins","CO","80524"
"AVANT GARDE ALEWORKS LLC","AVANT GARDE ALEWORKS LLC","Sales Room Malt","03-10999","2023-04-02T00:00:00.000","920 DUNRAVEN STREET","Estes Park","CO","80517"
"WILLIAMS CELLARS LLC  WILLIAMS CELLARS","WILLIAMS CELLARS","Sales Room Wine","03-06168","2023-03-16T00:00:00.000","250 SOUTH GRAND MESA DRIVE","Cedaredge","CO","81413"
"STONE COTTAGE CELLARS INC","STONE COTTAGE CELLARS","Sales Room Wine","28-29936-0001","2023-06-25T00:00:00.000","41716 REDS ROAD","Paonia","CO","81428"
"REVOLUTION BREWING","PAONIA UNITED BREWING CO.","Sales Room Malt","12-75388-0001","2022-03-09T00:00:00.000","325 GRAND AVE","Paonia","CO","81428"
"YAMPA VALLEY BREWING COMPANY LLC","YAMPA VALLEY BREWING COMPANY","Sales Room Malt","03-12346","2022-01-27T00:00:00.000","576 YAMPA AVENUE","Craig","CO","81625"
"AVANT GARDE ALEWORKS LLC","AVANT GARDE ALEWORKS LLC","Sales Room Malt","03-10999","2022-04-02T00:00:00.000","920 DUNRAVEN STREET","Estes Park","CO","80517"
"THE EMPOURIUM BREWING COMPANY","THE EMPOURIUM BREWING COMPANY","Sales Room Malt","03-11239","2022-02-20T00:00:00.000","4385 WEST 42ND AVENUE","Denver","CO","80212"
"GRANDE RIVER VINEYARDS","GRANDE RIVER VINEYARDS","Sales Room Wine","04-93413-0001","2022-02-12T00:00:00.000","787 NORTH ELBERTA AVE","Palisade","CO","81526"
"BARQUENTINE BREWING COMPANY","BARQUENTINE BREWING COMPANY","Sales Room Malt","03-13317","2022-05-12T00:00:00.000","5505 WEST 20TH AVENUE SUITE 178","Edgewater","CO","80214"
"ANNAPURNA MEAD","ANNAPURNA MEAD","Sales Room Wine","03-05937","2022-02-02T00:00:00.000","40 MOUNT VIEW LANE SUITE F","Colorado Springs","CO","80907"
"MYSTIC MOUNTAIN DISTLLERY LLC","MYSTIC MOUNTAIN DISTILLERY","Sales Room Spirits","28-53034-0000","2021-09-09T00:00:00.000","736 CASTLETON ROAD","Castle Rock","CO","80104"
"COLTERRIS WINERY/COLTERRIS WINES","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2022-05-02T00:00:00.000","3907 NORTH RIVER ROAD","Palisade","CO","81526"
"LUKI BREWERY, LLC","LUKI BREWERY","Sales Room Malt","03-12647","2023-04-28T00:00:00.000","14715 WEST 64TH AVENUE UNITS A & B","Arvada","CO","80004"
"YAMPA VALLEY BREWING COMPANY LLC","YAMPA VALLEY BREWING COMPANY","Sales Room Malt","03-12346","2023-01-27T00:00:00.000","576 YAMPA AVENUE","Craig","CO","81625"
"OHM BREWING INC","OHM BREWING INC","Sales Room Malt","03-11352","2023-04-25T00:00:00.000","1921 YOUNGFIELD STREET UNIT 210","Golden","CO","80401"
"SHIRAS WINERY","SHIRAS WINERY LLC","Sales Room Wine","03-09286","2023-06-06T00:00:00.000","449 COLORADO AVENUE","Grand Junction","CO","81501"
"WONDERLAND BREWING CO","WONDERLAND BREWING COMPANY LLC","Sales Room Malt","03-02460","2023-03-27T00:00:00.000","5450 WEST 120TH AVENUE","Broomfield","CO","80020"
"EQUINOX BREWING COMPANY INC","EQUINOX BREWING COMPANY INC","Sales Room Malt","25-54716-0002","2023-04-05T00:00:00.000","133 REMINGTON STREET","FT COLLINS","CO","805242833"
"COLTERRIS","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2023-05-02T00:00:00.000","3548 EAST 1/2 ROAD STE C","Palisade","CO","81526"
"CASTLE ROCK BEER COMPANY","IRON MULE BREWERY","Sales Room Malt","03-05096","2022-11-18T00:00:00.000","514 PERRY STREET C106","Castle Rock","CO","80104"
"WAH GWAAN BREWING COMPANY","WAH GWAAN BREWING COMPANY","Sales Room Malt","03-14549","2022-04-08T00:00:00.000","925 WEST 8TH AVENUE","Denver","CO","80204"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2023-04-24T00:00:00.000","513 BIG THOMPSON AVENUE UNIT 120-150","Estes Park","CO","80517"
"JADE MOUNTAIN BREWING COMPANY","JADE MOUNTAIN BREWING COMPANY","Sales Room Malt","03-12809","2023-02-09T00:00:00.000","4233 SOUTH BUCKLEY ROAD","Aurora","CO","80013"
"SANITAS BREWING CO","SANITAS BREWING CO","Sales Room Malt","03-01712","2023-07-25T00:00:00.000","3550 FRONTIER AVE UNIT A","Boulder","CO","80301"
"VINELANDS 79 LLC","VINES 79 WINE BARN","Sales Room Wine","03-10594","2023-01-24T00:00:00.000","3839 G ROAD","Palisade","CO","81526"
"REDS WINE BOUTIQUE","REDS WINE BOUTIQUE","Sales Room Wine","03-09749","2023-06-27T00:00:00.000","112 SOUTH 3RD AVENUE","Sterling","CO","80751"
"VISION QUEST BREWING COMPANY","VISION QUEST BREWING COMPANY","Sales Room Malt","03-04275","2023-04-29T00:00:00.000","2510 47TH STREET UNIT A2","Boulder","CO","80301"
"FOCO BLENDINGS LLC","BLENDINGS, LLC","Sales Room Wine","03-14407","2023-04-19T00:00:00.000","3924 BINGHAM HILL ROAD","Fort Collins","CO","80521"
"BRECKENRIDGE DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2023-04-15T00:00:00.000","1925 AIRPORT ROAD","Breckenridge","CO","80424"
"EPIC BREWING COMPANY","EPIC BREWING COMPANY & PAKKA HARD SELTZER COMPANY","Sales Room Malt","03-01189","2023-04-25T00:00:00.000","3001 WALNUT STREET","Denver","CO","80205"
"COAL MINE AVE BREWING COMPANY","COAL MINE AVE BREWING COMPANY","Sales Room Malt","03-09486","2023-05-14T00:00:00.000","9719 WEST COAL MINE AVENUE UNIT A","Littleton","CO","80123"
"FEISTY SPIRITS LLC","FEISTY SPIRITS","Sales Room Spirits","14-73011-0002","2023-04-30T00:00:00.000","1708 EAST LINCOLN AVENUE  UNIT 1","Fort Collins","CO","80524"
"STORM PEAK BREWING COMPANY","STORM PEAK BREWING COMPANY","Sales Room Malt","03-02540","2023-02-28T00:00:00.000","1885 ELK RIVER PLAZA","Steamboat Springs","CO","80487"
"FINKEL & GARF BREWING CO","FINKEL & GARF BREWING CO.","Sales Room Malt","03-02562","2023-03-27T00:00:00.000","5455 SPINE ROAD UNIT A","Boulder","CO","80301"
"PEAK VIEW BREWING COMPANY","PEAK VIEW BREWING COMPANY","Sales Room Malt","03-10414","2023-02-06T00:00:00.000","9672 EAST ARAPAHOE ROAD","Greenwood Village","CO","80112"
"GREAT DIVIDE BREWING CO","GREAT DIVIDE BREWING CO","Sales Room Malt","07-29740-0002","2022-06-01T00:00:00.000","2201 ARAPAHOE STREET","Denver","CO","80205"
"METRIC BREWING","METRIC BREWING","Sales Room Malt","03-09959","2023-06-26T00:00:00.000","1213 NORTH CIRCLE DRIVE","Colorado Springs","CO","80909"
"COLORADO SAKE CO.","COLORADO SAKE CO","Sales Room Wine","03-08860","2023-01-18T00:00:00.000","3559 LARIMER STREET","Denver","CO","80205"
"The Shine Shop & Craft Spirits","THE SHINE SHOP & CRAFT SPIRITS","Sales Room Spirits","03-13623","2022-12-07T00:00:00.000","2525 WEST 10TH STREET","Greeley","CO","80634"
"WILEY ROOTS BREWING COMPANY","WILEY ROOTS BREWING COMPANY","Sales Room Malt","03-01238","2023-04-25T00:00:00.000","958 3RD STREET UNIT D","Greeley","CO","80631"
"BRUSH HOLLOW","BRUSH HOLLOW","Sales Room Wine","03-12765","2023-01-21T00:00:00.000","465  D  STREET","Penrose","CO","81240"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-06116","2023-03-17T00:00:00.000","7286 SOUTH YOSEMITE STREET STE 110","Centennial","CO","80211"
"105 WEST BREWING COMPANY","105 WEST BREWING COMPANY","Sales Room Malt","03-04673","2022-07-22T00:00:00.000","1043 PARK STREET","Castle Rock","CO","80109"
"MAINSTAGE BREWING COMPANY LLC","MAINSTAGE BREWING COMPANY","Sales Room Malt","03-14514","2023-04-19T00:00:00.000","450 MAIN STREET","Lyons","CO","80540"
"1350 DISTILLING","1350 DISTILLING","Sales Room Spirits","03-08876","2023-04-09T00:00:00.000","520 EAST PIKES PEAK AVENUE","Colorado Springs","CO","80903"
"KNOTTED ROOT BREWING COMPANY","KNOTTED ROOT BREWING COMPANY","Sales Room Malt","03-09612","2023-05-13T00:00:00.000","250 NORTH CARIBOU STREET","Nederland","CO","80466"
"HONEYVILLE STORE","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2023-02-08T00:00:00.000","33633 HIGHWAY 550","Durango","CO","81301"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2023-04-24T00:00:00.000","292 MORAINE AVE","Estes Park","CO","80517"
"CASEY BREWING AND BLENDING LLC","CASEY BREWING AND BLENDING LLC","Sales Room Malt","03-02668","2023-03-27T00:00:00.000","3421 GRAND AVE SUITE E","Glenwood Springs","CO","81601"
"WALTER BREWING COMPANY","WALTER BREWING COMPANY","Sales Room Malt","03-09662","2023-03-15T00:00:00.000","126 SOUTH ONEIDA STREET","Pueblo","CO","81003"
"DRY DOCK BREWING CO","DRY DOCK BREWING CO","Sales Room Malt","03-02756","2023-06-29T00:00:00.000","2801 TOWER ROAD","Aurora","CO","80011"
"MYSTIC MOUNTAIN DISTILLERY LLC","MYSTIC MOUNTAIN DISTILLERY","Sales Room Spirits","28-53034-0000","2022-09-09T00:00:00.000","12136 GRANT CIRCLE","Thornton","CO","80241"
"GREEN EARTH BREWING CO","GREEN EARTH BREWING CO","Sales Room Malt","03-08371","2022-10-10T00:00:00.000","725 10TH STREET","Greeley","CO","80631"
"TWO22 BREW","TWO22 BREW","Sales Room Malt","03-01676","2022-07-23T00:00:00.000","4550 SOUTH RESERVOIR ROAD","Centennial","CO","80015"
"RED SWING BREWHOUSE","RED SWING BREWHOUSE","Sales Room Malt","03-13158","2022-04-14T00:00:00.000","521 SOUTH TEJON STREET","Colorado Springs","CO","80903"
"LIQUID MECHANICS BREWING CO","LIQUID MECHANICS BREWING COMPANY","Sales Room Malt","03-02892","2022-05-06T00:00:00.000","297 NORTH HIGHWAY 287 STE 100","Lafayette","CO","80026"
"CAMBER BREWING COMPANY","CAMBER BREWING COMPANY","Sales Room Malt","03-11476","2022-04-21T00:00:00.000","365 ZEREX STREET","Fraser","CO","80442"
"VINNIE FERA","VINNIE FERA","Sales Room Wine","03-01153","2022-04-14T00:00:00.000","3012 STERLING CIRCLE SUITE 110","Boulder","CO","80301"
"GUANELLA PASS BREWERY","GUANELLA PASS BREWERY","Sales Room Malt","03-13110","2022-04-01T00:00:00.000","18 EAST PARK AVENUE","Empire","CO","80438"
"AVANTI WINERY INC","GAR'S & GRAPES","Sales Room Wine","14-43495-0000","2022-05-14T00:00:00.000","6205 SOUTH MAIN STREET","Aurora","CO","80016"
"PRIMITIVE BEER","PRIMITIVE BEER","Sales Room Malt","03-14449","2022-03-09T00:00:00.000","2025 IONOSPHERE STREET UNIT 101","Longmont","CO","80504"
"THE WINERY AT HOLY CROSS ABBEY","WINERY AT HOLY CROSS ABBEY THE","Sales Room Wine","15-46146-0001","2022-03-24T00:00:00.000","3011 EAST HIGHWAY 50","Canon City","CO","812122748"
"SNOWY PEAKS WINERY AT ESTES PARK KOA","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2022-04-24T00:00:00.000","2501 BIG THOMPSON AVENUE","Estes Park","CO","80517"
"AVANTI WINERY INC","GAR'S & GRAPES","Sales Room Wine","14-43495-0000","2022-05-14T00:00:00.000","19565 EAST MAINSTREET","Parker","CO","80138"
"PARADOX BEER COMPANY INC","PARADOX BEER COMPANY INC","Sales Room Malt","03-12561","2022-03-02T00:00:00.000","316 NORTH COMMERCIAL STREET","Trinidad","CO","81082"
"GAR'S & GRAPES","GAR'S & GRAPES","Sales Room Wine","14-43495-0000","2022-05-14T00:00:00.000","12431 MEAD WAY","Littleton","CO","80125"
"GEMINI BEER COMPANY","GEMINI BREWING COMPANY LLC","Sales Room Malt","03-04862","2021-08-19T00:00:00.000","640 WHITE AVENUE UNIT B","Grand Junction","CO","81501"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2022-04-24T00:00:00.000","513 BIG THOMPSON AVENUE UNIT 120-150","Estes Park","CO","80517"
"SIX AND FORTY BREWERY TAPROOM","SIX AND FORTY BREWERY TAPROOM","Sales Room Malt","03-09659","2022-04-23T00:00:00.000","883 PARFET STREET, UNITS I&J","Lakewood","CO","80215"
"FEISTY SPIRITS LLC","FEISTY SPIRITS","Sales Room Spirits","14-73011-0002","2022-04-30T00:00:00.000","1708 EAST LINCOLN AVENUE  UNIT 1","Fort Collins","CO","80524"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2022-04-24T00:00:00.000","292 MORAINE AVE","Estes Park","CO","80517"
"LUKI BREWERY, LLC","LUKI BREWERY","Sales Room Malt","03-12647","2022-04-28T00:00:00.000","14715 WEST 64TH AVENUE UNITS A & B","Arvada","CO","80004"
"HOLIDAILY BREWING COMPANY","HOLIDAILY BREWING COMPANY","Sales Room Malt","03-09388","2022-03-27T00:00:00.000","820 BRICKYARD CIRCLE","Golden","CO","80403"
"COLTERRIS","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2022-05-02T00:00:00.000","3548 EAST 1/2 ROAD STE C","Palisade","CO","81526"
"THE WINES OF COLORADO","WINERY AT PIKES PEAK THE","Sales Room Wine","03-01093","2022-04-05T00:00:00.000","8045 WEST HIGHWAY 24","Cascade","CO","80809"
"4 NOSES BREWING COMPANY, LLC","WILD PROVISIONS BEER PROJECT","Sales Room Malt","03-12414","2022-03-29T00:00:00.000","2209 CENTRAL AVENUE","Boulder","CO","80301"
"VAIL BREWING COMPANY","VAIL BREWING COMPANY","Sales Room Malt","03-06412","2022-04-25T00:00:00.000","141 EAST MEADOW DRIVE SUITE 209","Vail","CO","81657"
"COCKPIT CRAFT DISTILLERY, LLC","COCKPIT CRAFT DISTILLERY","Sales Room Spirits","03-05447","2021-12-21T00:00:00.000","4893 GALLEY ROAD","Colorado Springs","CO","80915"
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","Sales Room Malt","03-07679","2022-04-06T00:00:00.000","PO BOX 1432","Alamosa","CO","81101"
"EPIC BREWING COMPANY","EPIC BREWING COMPANY & PAKKA HARD SELTZER COMPANY","Sales Room Malt","03-01189","2022-04-25T00:00:00.000","3001 WALNUT STREET","Denver","CO","80205"
"AUGUSTINA'S WINERY","AUGUSTINA'S WINERY","Sales Room Wine","09-84455-0000","2022-04-17T00:00:00.000","4715 NORTH BROADWAY B-3","Boulder","CO","80304"
"CHILL SWITCH WINES","CHILL SWITCH WINES","Sales Room Wine","03-02311","2022-04-09T00:00:00.000","24621 TANNIN ROAD","Cedaredge","CO","81413"
"EQUINOX BREWING COMPANY INC","EQUINOX BREWING COMPANY INC","Sales Room Malt","25-54716-0002","2022-04-05T00:00:00.000","133 REMINGTON STREET","FT COLLINS","CO","805242833"
"VISION QUEST BREWING COMPANY","VISION QUEST BREWING COMPANY","Sales Room Malt","03-04275","2022-04-29T00:00:00.000","2510 47TH STREET UNIT A2","Boulder","CO","80301"
"1350 DISTILLING","1350 DISTILLING","Sales Room Spirits","03-08876","2022-04-09T00:00:00.000","520 EAST PIKES PEAK AVENUE","Colorado Springs","CO","80903"
"WESTMINSTER BREWING COMPANY","WESTMINSTER BREWING COMPANY","Sales Room Malt","03-10843","2022-03-13T00:00:00.000","7655 WEST 108TH AVENUE SUITE 600","Westminster","CO","80021"
"GRANDMA'S HOUSE","GRANDMA'S HOUSE","Sales Room Malt","03-03034","2021-04-30T00:00:00.000","1710 SOUTH BROADWAY","Denver","CO","80210"
"EVERGOOD ELIXIRS LLC","EVERGOOD ELIXIRS LLC","Sales Room Wine","03-09574","2022-04-29T00:00:00.000","613 COUNTY LINE ROAD SUITES K&L","Palmer Lake","CO","80133"
"LEE SPIRITS COMPANY INC.","LEE SPIRITS COMPANY INC","Sales Room Spirits","03-04252","2022-03-04T00:00:00.000","303 WEST HIGHWAY 105","Monument","CO","80132"
"DIEBOLT BREWING COMPANY LLC","DIEBOLT BREWING COMPANY, LLC","Sales Room Malt","03-01145","2022-04-14T00:00:00.000","3855 MARIPOSA STREET","Denver","CO","80211"
"LEE SPIRITS COMPANY INC. LEE SPIRITS COMPANY INC.","LEE SPIRITS COMPANY INC","Sales Room Spirits","03-04252","2022-03-04T00:00:00.000","110 EAST BOULDER STREET","Colorado Springs","CO","80903"
"BURLY BREWING COMPANY","BURLY BREWING COMPANY","Sales Room Malt","03-08627","2022-01-31T00:00:00.000","680 ATCHISON WAY SUITE 700/800","Castle Rock","CO","80109"
"ELKINS WHISKEY","ELKINS WHISKEY","Sales Room Spirits","03-05084","2022-09-20T00:00:00.000","137 EAST ELKHORN AVENUE","Estes Park","CO","80517"
"FH BEERWORKS","FH BEERWORKS","Sales Room Malt","03-10287","2021-10-09T00:00:00.000","2480 & 2490 VICTOR PLACE","Colorado Springs","CO","80915"
,"WESTMINSTER BREWING COMPANY","Sales Room Malt","03-10843","2022-03-13T00:00:00.000","7655 WEST 108TH AVENUE SUITE 600","Westminster","CO","80021"
"LITTLE MACHINE BREW HOUSE","LITTLE MACHINE BEER","Sales Room Malt","03-04351","2022-03-12T00:00:00.000","2924 WEST 20TH AVE","Denver","CO","80211"
"EVERGOOD ELIXIRS LLC","EVERGOOD ELIXIRS LLC","Sales Room Wine","03-09574","2021-04-29T00:00:00.000","613 COUNTY LINE ROAD SUITES K&L","Palmer Lake","CO","80133"
"DOWNSLOPE DISTILLING INC","DOWNSLOPE DISTILLING INC","Sales Room Spirits","42-72130-0000","2022-02-24T00:00:00.000","6770 SOUTH DAWSON CIRCLE #400","Englewood","CO","801124224"
"BERKELEY ESTATES CELLARS","BERKELEY ESTATE CELLARS","Sales Room Wine","03-12714","2022-02-10T00:00:00.000","53582 FALCON ROAD","Olathe","CO","81425"
"BRECKENRIDGE BREWERY","BRECKENRIDGE BREWERY","Sales Room Malt","03-06031","2022-03-20T00:00:00.000","2920 BREWERY LANE","Littleton","CO","80120"
"REDS WINE BOUTIQUE","REDS WINE BOUTIQUE","Sales Room Wine","03-09749","2021-06-27T00:00:00.000","112 SOUTH 3RD AVENUE","Sterling","CO","80751"
"LOHI DISTILLED LLC","MYTHOLOGY DISTILLERY","Sales Room Spirits","03-12363","2022-03-11T00:00:00.000","3622 TEJON STREET","Denver","CO","80211"
"ANNAPURNA MEAD","ANNAPURNA MEAD","Sales Room Wine","03-05937","2021-02-02T00:00:00.000","40 MOUNT VIEW LANE SUITE F","Colorado Springs","CO","80907"
"ENDLESS ENDEAVOR WINERY AND FARM LLC","ENDLESS ENDEAVOR WINERY","Sales Room Wine","03-08713","2022-04-11T00:00:00.000","15566 FIRE MOUNTAIN ROAD","Paonia","CO","81428"
"HIGHLANDS DISTILLERY","HIGHLANDS DISTILLERY","Sales Room Spirits","03-06229","2022-04-10T00:00:00.000","782 24 ROAD","Grand Junction","CO","81505"
"DOUBLE DIAMOND DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2022-04-15T00:00:00.000","137 SOUTH MAIN - UNIT G","Breckenridge","CO","80424"
"WILLIAMS CELLARS LLC","SNOW CAPPED CIDER","Sales Room Wine","03-06167","2021-03-16T00:00:00.000","250 SOUTH GRAND MESA DRIVE","Cedaredge","CO","81413"
"CASEY BREWING AND BLENDING LLC","CASEY BREWING AND BLENDING LLC","Sales Room Malt","03-02668","2022-03-27T00:00:00.000","3421 GRAND AVE SUITE E","Glenwood Springs","CO","81601"
"ABSOLUTE THRESHOLD BREWERY","INTERSECT BREWING","Sales Room Malt","03-06098","2022-04-03T00:00:00.000","2160 WEST DRAKE ROAD SUITE A-1","Fort Collins","CO","80526"
"BRECKENRIDGE DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2022-04-15T00:00:00.000","1925 AIRPORT ROAD","Breckenridge","CO","80424"
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","Sales Room Malt","03-07679","2022-04-06T00:00:00.000","PO Box 1432","Alamosa","CO","81101"
