"businessname","dbas","city","statecode","zipcode","countyname","originaleffectivedate","expiredate","operationtypes"
"Wee Ones BB&B","Kincaid, Kimberly S,Stacked Rock K-9 Education Center","Mancos","CO","81328","Montezuma","2018-03-05T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Petco Animal Supplies Store, Inc #2403",,"Aurora","CO","80012","Arapahoe","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Colorado K9 Cuts LLC",",Nail, Kristen","Colorado Springs","CO","80921","El Paso","2018-07-31T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"4 Paws Bath & Dash",",Dover, Cara","Brighton","CO","80601","Adams","2017-04-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Mariah Greenhood",",Mariah Greenhood","Broomfield","CO","80021","Broomfield","2018-05-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Canine Psychology Center, LLC",",SCHAEFERS, SUZI","Pine","CO","80470","Jefferson","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Petco Animal Supplies Store, Inc #5419",,"Denver","CO","80206","Denver","2014-05-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"SIMIT DVM, LLC","GRAND VIEW ANIMAL HOSPITAL","Grand Junction","CO","81504","Mesa","2015-01-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Pawpers Grooming",",Paup, Elizabeth","Crestone","CO","81131","Saguache","2016-11-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Beasties LLC",",McClure, Ronald W","Pueblo","CO","81008","Pueblo","2018-02-15T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Retail/Wholesale"
"KATHY'S GROOMING",,"BRUSH","CO","80723","Morgan","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"COLLAR CUTS, LLC","Collar Cuts Mobile Grooming,Dan Herrmann","Broomfield","CO","80020","Broomfield","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Peak Performance Veterinary Services, LLC","Nicoletta, Rosemary ,Rio Cucharas Veterinary Clinic","Walsenburg","CO","81089","Huerfano","2018-01-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PETSMART, INC.","PetSmart - 1183","Castle Rock","CO","80104","Douglas","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"The Misfits Dog Rescue",",Susan E Sterritt","Penrose","CO","81240","Fremont","2018-10-10T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"COUNTY OF PARK ANIMAL SHELTER",,"Bailey","CO","80421","Park","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"THE GENTLE GROOMER TOO LLC",,"Arvada","CO","80005","Jefferson","2014-01-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CYNDY'S GROOMING, LLC",,"Pueblo","CO","81005","Pueblo","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DANIEL P. ATLAS, DVM, PLLC","BEAVER BROOK PET CENTER","Evergreen","CO","80439","Jefferson","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"LAKEWOOD DOG & CAT GROOMING",,"COLORADO SPRINGS","CO","80910","El Paso","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"JEN'S WOOF WOOF",",Schneider, Jennifer","Palmer Lake","CO","80133","El Paso","2017-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CANINE CLIPS",",Stumbaugh, Kimberly","Denver","CO","80221","Adams","2015-12-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DOG HOLLIDAY GROOMING",,"Englewood","CO","80113","Arapahoe","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"High Drive Ventures LLC","High Drive Dog Company,Shivers, Carly E","Longmont","CO","80501","Boulder","2018-03-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Daisy Doos LLC","Corrado, Cheryl,Wagz Pet Market & Grooming","Fort Collins","CO","80524","Larimer","2016-10-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"KNK INC.","ADORABLE DOG GROOMING","THORNTON","CO","80233","Adams","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DogTag, LLC",,"Louisville","CO","80027","Boulder","2014-08-21T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Pup Star Clips",",Chapman, Ligaya","Aurora","CO","80012","Arapahoe","2017-06-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"ENGLISH HAPPY TAILS INC.","Happy Tails Grooming","Loveland","CO","80538","Larimer","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ARVADA FLATS VETERINARY HOSPITAL, INC",,"Arvada","CO","80004","Jefferson","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"OutPaws",,"Littleton","CO","80127","Jefferson","2013-05-30T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"FERRIS ENTERPRISES, INC.","EXOTIC AQUATICS,Ferris, Cyrus","Boulder","CO","80301","Boulder","2016-06-15T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"COLORADO PUG RESCUE, INC.",,"Gunnison","CO","81230-9797","Gunnison","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Gritty Pittie Rescue",",Bacchus, Rachel","Longmont","CO","80501","Boulder","2018-01-29T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"LEA COUNTY HUMANE SOCIETY",",Funk, Melissa","Hobbs","NM","88240","Lea","2016-02-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"ROVERDOSE LLC","CAMP BOW WOW AURORA","Aurora","CO","80012","Arapahoe","2014-10-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Lazy Dog Ranch Inc.","Calida Troxell,Lazy Dog Ranch and Dapper Dog Salon","Fort Collins","CO","80525","Larimer","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Shawn's Spaw LLC",",Kamimskas, Tiffany","Henderson","CO","80640","Adams","2018-04-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Aquatic Kingdom Aquariums",",Jason Alahuzos","Aurora","CO","80013","Arapahoe","2016-11-22T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Waldorf, Crystal K",,"Morrison","CO","80465","Jefferson","2016-04-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"ANGIE'S MOBILE PET GROOMING, LLC","FOUR PAWS","Grand Junction","CO","81504","Mesa","2016-06-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Tender Touch LLC",",Linda Gutierrez","Canon City","CO","81212","Fremont","2017-08-15T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"WESCO DOG GROOMING",,"Denver","CO","80214","Jefferson","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Petco Animal Supplies Store, Inc #0920",,"Northglenn","CO","80233","Adams","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Koni's Kennel, LLC",",Bock's Mini Aussies,Bock, Koni","Fleming","CO","80728","Logan","2012-03-13T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"PetSmart, Inc.","PetSmart - 1014","Greeley","CO","80634","Weld","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Heart of Gold Hedgehogs LLC",",Short, Mallorie","Denver","CO","80227","Denver","2018-03-30T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal"
"DOUG'S GROOMING",,"Pueblo","CO","81004","Pueblo","2007-03-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CANINE COTTAGE, LLC","ALL BREED MOBILE PET GROOMING","Delta","CO","81416","Delta","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"The American Society for the Prevention of Cruelty","ASPCA,Jones, Beverly","New York","NY","10128","New York","2016-08-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Loma Cat House, Inc.",,"GRAND JUNCTION","CO","81505","Mesa","2012-04-24T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"PENROSE GREAT DANES",,"Penrose","CO","81240","Fremont","2012-03-19T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Pett Butler",",Herring, Rosanne","Denver","CO","80222","Denver","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Cuddle Bug Chinchillas",",Kern, Cornellia","Aurora","CO","80013","Arapahoe","2016-10-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Boarding/Training,Breeder Small Animal"
"GLAMOUR PAW'S OFF BROADWAY",,"PENROSE","CO","81240","Fremont","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CITY OF BURLINGTON ANIMAL SHELTER",",BEECHLEY, DOUGLAS","BURLINGTON","CO","80807","Kit Carson","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"TVET Management (Colorado) LLC","Albert, Michael,VitalPet","Westminster","CO","80021","Jefferson","2018-01-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Aquatic Enterprises, Inc.","AQUATIC ENTERPRISES, INC,Fish Connection,Longwell, Loren B","Durango","CO","81301","La Plata","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"ANIMAL ATTRACTION, L.L.C.",",BLAKE, AARON","Greeley","CO","80631","Weld","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"All Good Dogs",",Oconnor, Jeffrey M","Parker","CO","80138","Elbert","2018-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"KATHY'S KANINE KLIPS",,"CRAIG","CO","81625","Moffat","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PAUL'S CONCESSIONS",,"Pueblo","CO","81004","Pueblo","2012-08-27T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"CENTRAL PARK PETS, INC.","AQUATIC DOG,Gregory Vanderveer","Denver","CO","80231","Arapahoe","2007-03-01T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"K-9 CONSULTANTS, INC","Arvada Dog Den,Drogsvold, Don","Arvada","CO","80004","Jefferson","2017-03-15T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PENTINE PET GROOMING",,"Longmont","CO","80501","Boulder","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Danas Pampered Pets Corp.","Duffy, Dana ,Furry Friends","Denver","CO","80227","Jefferson","2018-01-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ANIMAL WELFARE & PROTECTION SOCIETY","Linda Mitchell,PAWS,Paws for Life","Pueblo","CO","81003","Pueblo","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Waggin Tails",",Niemoth, Tanner","Brighton","CO","80601","Adams","2017-06-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"A Fur Stylist LLC",",Craig, Gloria","Denver","CO","80237","Denver","2016-08-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Nebraska Humane Society",",Hintz, Nancy","Omaha","NE","68134","Douglas","2018-05-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Lafloe, Robin L",",Robin Lafloe","Lakewood","CO","80228","Jefferson","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Jenny K McIntosh",",Jenny McIntosh","Littleton","CO","80129","Douglas","2018-06-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"DOGLIFE INC.",,"Broomfield","CO","80020","Broomfield","2013-07-30T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"GREY GHOST WEIMARANER RESCUE",",Beavers, Carolyn","Monument","CO","80132","El Paso","2017-03-13T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"No Hound Unhomed Inc.",",NO HOUND UNHOMED INC.,Stadlin, Nick","Colorado Springs","CO","80907","El Paso","2016-09-16T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Pet Clips",",Francis, Angela","Aurora","CO","80017","Arapahoe","2011-03-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"HAPPY TRAILS PET SPA AND RESORT, LLC",,"Loveland","CO","80538","Larimer","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Petco Animal Supplies Store, Inc #1437",,"Greeley","CO","80634","Weld","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"CUSTOM CLIPS DOG GROOMING",,"Colorado Springs","CO","80921","El Paso","2013-08-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Zyzxx LLC","5 Star Car Wash,Harvey, John","Colorado Springs","CO","80915","El Paso","2017-05-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"Gidget's Grooming",,"Denver","CO","80209","Denver","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"LMP Enterprises, LLC","Alpine Adventures, Inc,Loren Priem","Leadville","CO","80461","Lake","2014-03-14T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Large Scale"
"Cloud 9 Pet Grooming LLC",",Schwall, Jennifer","Broomfield","CO","80020","Broomfield","2018-07-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"LOVELAND BULLDOGS",,"LOVELAND","CO","80537","Larimer","2013-10-09T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"People's Pups Grooming LLC",",Shipley, Ashley","Thornton","CO","80241","Adams","2018-07-31T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PAWS AWHILE",,"Fort Morgan","CO","80701","Morgan","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ROCKY MOUNTAIN MOBILE DOG GROOMING L.L.C.",,"Evergreen","CO","80439","Jefferson","2015-04-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"FetchMasters, LLC",",Aaron, Thomas","Bennett","CO","80102","Arapahoe","2018-08-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"LOVING FAMILY ANIMAL HOSPITAL, LLC",",Monique Weldon","Aurora","CO","80016","Arapahoe","2015-01-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GOLDEN FISH",,"LAKEWOOD","CO","80214","Jefferson","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Wag N' Wash, Inc.","WAG-N-WASH HEALTHY PET CENTER","Colorado Springs","CO","80904","El Paso","2012-03-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Golden Retriever Rescue of the Rockies",",Kevin Shipley","Arvada","CO","80007","Jefferson","2012-04-04T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Nederland Feed and Pet LTD","Log Cabin Grooming,Pause, Abby M","Nederland","CO","80466","Boulder","2018-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"William C Adamson",",Adamson, William","Calhan","CO","80808","El Paso","2018-06-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Animal Sanctuary"
"TEDDY BEAR GROOMING, LLC",,"Loveland","CO","80538","Larimer","2015-05-15T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Karen Brady",,"Arvada","CO","80005","Jefferson","2016-11-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Wal-Mart Stores, Inc.","Walmart - 1896","Colorado Springs","CO","80920","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Black Forest Animal Sanctuary","BFAS,Southern Colorado Animal Rescue","Colorado Springs","CO","80908","El Paso","2013-02-01T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"A Leg Up, Inc.","All About Paws,Michael Tilly","Wheat Ridge","CO","80033","Jefferson","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Greenie Mountain LLC",",Lavern Coblentz","La Jara","CO","81140","Conejos","2017-11-17T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale,Retail/Wholesale"
"THE DOGHOUSE",",KEMNA-FAIRCHILD, DEBRA","ECKERT","CO","81418","Delta","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"UNDER THE SUN DOGGY DAYCARE",,"Colorado Springs","CO","80918","El Paso","2012-05-18T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"HOLY MOLEY DOG GROOMING",",Tracy Normandin","Pueblo West","CO","81007","Pueblo","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Underdogs",",Weber, Megan","Boulder","CO","80305","Boulder","2016-10-11T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"The Bow- Wow Barn, LLC",,"Sterling","CO","80751","Logan","2012-04-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"THE SUDSEY PUP",,"Woodland Park","CO","80863","Teller","2016-08-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GOOD DOG MOBILE GROOMER LLC",,"Windsor","CO","80550","Weld","2014-02-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Allwine, Linda M",",Linda Allwine","Denver","CO","80233","Adams","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Sirius Canine Training And Consulting, Inc.","Come Sit Stay Pet Resort,Timothy Cruser","Parker","CO","80134","Douglas","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Wal-Mart Stores, Inc.","Walmart Supercenter - 1689","Aurora","CO","80015","Arapahoe","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Bark At The World, LLC",",Nancy Murphy","Littleton","CO","80125","Douglas","2014-03-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Alpine K-9 Training, LLC",",Lengel, Heidi A","Woodland Park","CO","80863","Teller","2018-03-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Handler"
"Kita Blue Aussies",",Swain, Tammy","Penrose","CO","81240","Fremont","2017-04-04T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"No Feline Left Behind","Francis, Dennis,Kat Den Orphaned Cats","Denver","CO","80239","Denver","2017-02-08T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"GODFATHER GUNDOGS",,"ELIZABETH","CO","80107","Elbert","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"ACTION KENNEL INC.",,"Arvada","CO","80005","Jefferson","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"All About Pet Health",",Davidson, Kelly","Craig","CO","81625","Moffat","2018-06-18T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale,Pet Grooming Facility - Owner"
"ALAMOSA SMALL ANIMALS",",Wright, Kevin","Alamosa","CO","81101","Alamosa","2017-01-24T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Friends of Shawnee Animals, Inc. (FOSA)","Hendricks, Jolie,True-Blue Pet Rescue","Aurora","CO","80013","Arapahoe","2017-04-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Barkin Barbers",,"Westminster","CO","80030","Adams","2015-12-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"WHOLE PETS CORPORATION",,"BOULDER","CO","80302","Boulder","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Cavy Care Inc",",Shannon Cauthen","Aurora","CO","80015","Arapahoe","2010-03-11T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter > 3000 transfers,Boarding/Training"
"Clippin' Along","Clippin' Along Mobile Pet Grooming,Jensen, Angelina","Delta","CO","81416","Delta","2017-09-15T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"WALKIN' THE DOG, INC.",,"Gypsum","CO","81637","Eagle","2014-07-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Timberview Animal Hospital PC",",Wynn, Victoria","Colorado Springs","CO","80921","El Paso","2017-11-17T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"2 BLONDES ALL BREED RESCUE",,"Littleton","CO","80126","Douglas","2015-04-29T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Double D Ranch",",Brekke, Deanna","Colorado Springs","CO","80908","El Paso","2017-02-03T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PetSmart, Inc","PetSmart #3041","Englewood","CO","80110","Arapahoe","2016-10-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner,Retail/Wholesale"
"PERSNICKETY PET GROOMING LLC",",Deanne Thompson","Westminster","CO","80031","Adams","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"The Poodle Shop",",Rachel Diller","Littleton","CO","80120","Arapahoe","2012-11-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"JJJ LIMITED","Janet Miller,THE POOCH MOBILE","Centennial","CO","80121","Arapahoe","2014-04-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"COLORADO SERVICE DOGS LLC","MINI-AUSSIES IN COLORADO","Palisade","CO","81526","Mesa","2016-02-05T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Von Rief German Shepherds",",Rief, Kimberly","Elbert","CO","80106","El Paso","2018-08-13T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Hair of the Dawg",,"Gunnison","CO","81230","Gunnison","2011-05-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Wanderlust Dog Ranch, LLC",",Hershman, Jason","Eagle","CO","81631","Eagle","2016-03-01T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Self Wash Only,Pet Handler"
"COUNTRY CRITTERS",,"Monument","CO","80132","El Paso","2015-10-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"""Paws""itively Clean LLC","Gonzales, Gilbert,Pawsitively Clean","Golden","CO","80401","Jefferson","2012-04-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Mile High Bordoodles",",Connie Fenton","Livermore","CO","80536","Larimer","2018-01-08T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"GENTLE LOVING CARE DOG GROOMING",,"Aurora","CO","80011","Arapahoe","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"MOONRIDGE FALLS LLC","CRYSTAL CLEAR WASH,Omar Bou-Matar","MONTROSE","CO","81401","Montrose","2012-05-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"Cabrera, Alicia M",",Alicia Cabrera","Pueblo","CO","81001","Pueblo","2017-05-10T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Humane Society of Moab Valley dba Petco",",Leigh A Ryan","Grand Junction","CO","81505","Mesa","2018-10-01T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"WAGGIN' TAILS DOGGY DAY CAMP",",Hope Stanley","Colorado Springs","CO","80904","El Paso","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"5TH AVE PETS INC","GOCKLEY, TROY,PET RANCH","Denver","CO","80233","Adams","2012-02-24T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Noah'S Ark Animals Welfare Association",",Young, Laurel","Trinidad","CO","81082","Las Animas","2012-04-04T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"TEPEDELEN ENTERPRISES","BUSHMASTER REPTILES,Tepedelen, Kamuran","BOULDER","CO","80301","Boulder","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Sit Means Sit Longmont-Firestone, Inc.","Brady, Sandra,Sit Means Sit Dog Training","Firestone","CO","80504","Weld","2016-08-10T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"SPLASH BATH, LLC",",Skalitzky, Alicia","Peyton","CO","80831","El Paso","2016-08-18T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Lafayette Grooming Llc","Grooming by Laura","Lafayette","CO","80026","Boulder","2016-09-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"WHITNEY FARMS",,"FORT MORGAN","CO","80701","Morgan","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Wal-Mart Stores Inc","Walmart - 4335","Peyton","CO","80831","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Chihuahua & Small Dog Rescue, Inc.",",Sue Fisher","Colorado Springs","CO","80907","El Paso","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Lynnsey R Satterfield",",Lynnsey Satterfield","Fruita","CO","81521","Mesa","2018-06-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"POWDER HOUNDS GROOMING SALON",",Lindsey Barr","Steamboat Springs","CO","80487","Routt","2014-12-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DURANGO DOG RANCH, LLC",,"HESPERUS","CO","81326","La Plata","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
