"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.42844263305503 41.78956746771678)","40",,"ANSEL AVE","ANSEL AVE","RESERVOIR AVE","LOUIS AVE","Front","1","Platanus x acerifolia","17.0","Yes","Lawn Strip","8.0"
"POINT (-71.46294839244376 41.82276085150743)","195",,"OPHELIA ST","OPHELIA ST","BARBARA ST","GRIMWOOD ST","Front","1","Fraxinus pennsylvanica","15.0","No","Lawn - No Sidewalk","7.0"
"POINT (-71.4433456568666 41.82847459375411)","14",,"WISDOM AVE","WISDOM AVE","HURON ST","ACADEMY AVE","Front","1","Pyrus calleryana","7.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.41845384806483 41.81750655919418)","201",,"BROAD ST","CAHIR ST","CRANSTON ST","BROAD ST","Side","5","Platanus x acerifolia","24.0","No","Sidewalk Pit","11.0"
"POINT (-71.39864132907108 41.827412120322336)","127",,"WATERMAN ST","WATERMAN ST","HOPE ST","BROOK ST","Front","1","Ulmus americana","8.0","No","Sidewalk Pit","1.0"
"POINT (-71.46003401336678 41.820562080835735)","44",,"BARBARA ST","MELISSA ST","DRESSER ST","BARBARA ST","Side","1","Fraxinus pennsylvanica","19.0","Yes","Lawn - No Sidewalk","7.0"
"POINT (-71.4159195070949 41.819236339709626)","7",,"JACKSON WALKWAY","JACKSON WALKWAY","BROAD ST","WASHINGTON ST","Front","6","Pyrus calleryana","13.0","No","Sidewalk Pit","1.0"
"POINT (-71.3998959504069 41.85630286686628)","1341",,"N MAIN ST","N MAIN ST","ANN MARY ST","WHITE ST","Front","4","Zelkova serrata","9.0","Yes","Lawn Strip","3.0"
"POINT (-71.40495452869528 41.845814389509286)","12",,"WOODBINE ST","WOODBINE ST","STEELE ST","N MAIN ST","Front","1","Cornus kousa","4.0","No","Sidewalk Pit","3.0"
"POINT (-71.40380663067971 41.82464635166045)","14",,"BENEVOLENT ST","BENEVOLENT ST","BROWN ST","MAGEE ST","Front","2","Gleditsia triacanthos","6.5","No","Sidewalk Pit","2.0"
"POINT (-71.40815574515025 41.819446895612856)","199",,"DYER ST","DYER ST","DORRANCE ST","SHIP ST","Front","19","Betula nigra","5.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.38976325857163 41.85085314035119)","730",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","4","Pyrus calleryana","9.7","No","Lawn Strip","3.0"
"POINT (-71.409416383388 41.8068837113922)","255",,"PUBLIC ST","PUBLIC ST","TEMPLE ST","PLAIN ST","Front","5","Pyrus calleryana","16.7","No","Sidewalk Pit","11.0"
"POINT (-71.42732146965295 41.78776557935274)","108",,"ROUNDS AVE","ROUNDS AVE","PONTIAC AVE","ALEXANDER ST","Front","3","Pyrus calleryana","12.0","Yes","Lawn Strip","8.0"
"POINT (-71.4162627219449 41.830305316038746)","130",,"SMITH ST","SMITH ST","FRANCIS ST","GASPEE ST","Side","12","Acer rubrum","3.0","No","Sidewalk Pit","12.0"
"POINT (-71.40524957168249 41.82167538048118)","262",,"WATER ST /S","WATER ST /S","POWER ST","WILLIAMS ST","Front","1","Syringa reticulata","1.0","No","Sidewalk Pit","1.0"
"POINT (-71.42138304061223 41.812734969999575)","386",,"BROAD ST","HAYWARD ST","SOMERSET ST","BROAD ST","Side","5","Acer rubrum","2.0","No","Sidewalk Pit","11.0"
"POINT (-71.43055017876485 41.81662259823173)","1292",,"WESTMINSTER ST","WESTMINSTER ST","PARADE ST","BRIDGHAM ST","Front","1","Tilia cordata","11.0","No","Lawn Strip","13.0"
"POINT (-71.4261600731446 41.787158605533214)","79",,"ALEXANDER ST","ALEXANDER ST","RUTHERGLEN AVE","ROUNDS AVE","Front","1","Prunus cerasifera","5.0","Yes","Lawn Strip","8.0"
"POINT (-71.42109237334404 41.82940095549906)","275",,"PROMENADE ST","LELAND","HOLDEN ST","LELAND","Side","8","Liquidambar styraciflua","3.0","No","Sidewalk Pit","12.0"
"POINT (-71.42218643909176 41.833933214785034)","331",,"SMITH ST","SMITH ST","ORMS ST","CHALKSTONE AVE","Front","2","Platanus occidentalis","14.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.44059438097382 41.84037121776509)","466",,"RIVER AVE","RIVER AVE","WHITFORD AVE","WABUN AVE","Front","1","Betula nigra","10.0","No","Lawn Strip","5.0"
"POINT (-71.3854490514373 41.8322012643229)","68",,"ORCHARD AVE","ORCHARD PL","ORCHARD AVE","DEAD END","Side","5","Acer rubrum","10.0","No","Lawn Strip","2.0"
"POINT (-71.40047392994612 41.8484777307034)","71",,"EDGEHILL RD","EDGEHILL RD","SUMMIT AVE","CAMP ST","Front","2","Quercus rubra","12.0","No","Lawn Strip","3.0"
"POINT (-71.44113885624083 41.84317516221174)","374",,"EATON ST","EATON ST","APRIL CT","RIVER AVE","Front","1","Crataegus spp.","2.0","Yes","Sidewalk Pit","14.0"
"POINT (-71.44823126080637 41.8320449754725)","25",,"CARLETON ST","BELMONT AVE","CARLETON ST","CLAREMONT AVE","Front","1","Prunus serrulata 'Kwanzan'","13.0","Yes","Lawn Strip","5.0"
"POINT (-71.38447792902957 41.830949988506234)","233",,"BUTLER AVE","BUTLER AVE","ANGELL ST","ORIOLE AVE","Front","1","Fraxinus pennsylvanica","9.4","Yes","Sidewalk Pit","2.0"
"POINT (-71.42037991273439 41.828079362716785)","65",,"HARRIS AVE","KINSLEY AVE","ACORN ST","KINSLEY AVE","Side","1","Quercus palustris","10.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.44634499731666 41.8150113656028)","160",,"PLAINFIELD ST","PLAINFIELD ST","POCASSET AVE","PILSUDSKI ST","Front","1","Acer platanoides","15.0","No","Sidewalk Pit","15.0"
"POINT (-71.4340162633665 41.84728247096678)","521",,"ADMIRAL ST","LOVEDAY ST","EVA ST","LOVEDAY ST","Side","1","Acer saccharinum","1.0","No","Sidewalk Pit","14.0"
"POINT (-71.38604515960282 41.8337115317138)","155",,"IRVING AVE","IRVING AVE","COLE AVE","BLACKSTONE BLVD","Front","1","Maackia amurensis","4.0","Yes","Lawn Strip","2.0"
"POINT (-71.39399528003092 41.82227862859405)","64",,"GOVERNOR ST","GOVERNOR ST","JOHN ST","ARNOLD ST","Front","1","Acer platanoides","10.8","Yes","Sidewalk Pit","1.0"
"POINT (-71.42962682831102 41.81985640481029)","355",,"BROADWAY","BROADWAY","KNIGHT ST","ANDREWS ST","Front","1","Zelkova serrata","13.0","No","Sidewalk Pit","13.0"
"POINT (-71.42559000435122 41.81466200689491)","160",,"CRANSTON ST","CRANSTON ST","BRIDGHAM ST","FRICKER ST","Front","4","Acer rubrum","1.75","No","Lawn Strip","11.0"
"POINT (-71.41417059886517 41.820328893704044)","46",,"CHAPEL ST","WEYBOSSET ST","EMPIRE ST","SNOW ST","Rear","8","Gleditsia triacanthos","2.0","No","Sidewalk Pit","1.0"
"POINT (-71.40027207051945 41.85467652811946)","1261",,"N MAIN ST","N MAIN ST","7TH ST","8TH ST","Front","2","Gleditsia triacanthos","2.0","Yes","Lawn Strip","3.0"
"POINT (-71.39429945340119 41.83363235992127)","330",,"LLOYD AVE","ARLINGTON AVE","LLOYD AVE","PRESIDENT AVE","Side","1","Prunus spp.","18.0","Yes","Sidewalk Pit","2.0"
"POINT (-71.42447654500589 41.79832567162754)","179",,"ONTARIO ST","ONTARIO ST","MELROSE ST","ELMWAY ST","Front","1","Fraxinus pennsylvanica","9.0","Primary","Lawn Strip","9.0"
"POINT (-71.38931170273669 41.84804435612257)","486",,"COLE AVE","INTERVALE RD","COLE AVE","ELMGROVE AVE","Side","1","Quercus rubra","2.7","No","Lawn Strip","2.0"
"POINT (-71.43954295503994 41.846743041632344)","688",,"RIVER AVE","RIVER AVE","SANDRINGHAM AVE","STONELAW AVE","Front","1","Prunus cerasifera","2.5","Yes","Lawn Strip","14.0"
"POINT (-71.4349945991006 41.81501038146176)","58",,"OAK ST","SYCAMORE ST","WESTMINSTER ST","CHAPIN AVE","Side","1","Liquidambar syraciflua","7.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.39794091092286 41.84901665361439)","72",,"SUMMIT AVE","SUMMIT AVE","MEMORIAL RD","EDGEHILL RD","Front","1","Gleditsia triacanthos inermis","10.0","Yes","Lawn Strip","3.0"
"POINT (-71.44786102645597 41.83169657248646)","77",,"ROANOKE ST","CARLETON ST","THORNE STREET","CARLETON ST","Side","3","Tilia cordata","7.0","No","Sidewalk Pit","6.0"
"POINT (-71.4433267667072 41.82085465944838)","31",,"BOWDOIN ST","BOWDOIN ST","AUDREY ST","ATWELLS AVE","Front","1","Amelanchier spp.","2.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.44244621602127 41.84406375073104)","303",,"SHARON ST","SHARON ST","RIVER AVE","SHARON ST","Side","1","Zelkova serrata","10.0","None","Lawn - No Sidewalk","14.0"
"POINT (-71.4181942846922 41.817151217126906)","201",,"BROAD ST","CAHIR ST","CRANSTON ST","BROAD ST","Side","11","Platanus x acerifolia","2.0","No","Sidewalk Pit","11.0"
"POINT (-71.40005653778461 41.84624747454389)","131",,"ROCHAMBEAU AVE","DANA ST","IVY ST","CAMP ST","Rear","1","Acer rubrum","4.3","No","Sidewalk Pit","3.0"
"POINT (-71.39910475240848 41.83972247671272)","9",,"PHILLIPS ST","PHILLIPS ST","HOPE ST","MORRIS AVE","Front","2","Pyrus calleryana","3.1","Yes","Lawn Strip","3.0"
"POINT (-71.39329429555295 41.83610642129118)","214",,"TABER AVE","TABER AVE","LAUREL AVE","EVERETT AVE","Front","2","Acer platanoides","18.0","Yes","Lawn Strip","2.0"
"POINT (-71.4201726350624 41.79438922486913)","198",,"WARRINGTON ST","WARRINGTON ST","MELROSE ST","HAMILTON ST","Front","3","Malus spp","3.0","Yes","Lawn Strip","9.0"
"POINT (-71.39287985450953 41.82917859321969)","367",,"ANGELL ST","ANGELL ST","ARLINGTON AVE","IVES ST","Front","2","Gleditsia triacanthos","13.7","No","Lawn Strip","1.0"
"POINT (-71.39880551481231 41.837154052293535)","45",,"BOYLSTON AVE","BOYLSTON AVE","OLNEY ST","MONTAGUE ST","Front","1","Acer rubrum","21.0","No","Lawn Strip","3.0"
"POINT (-71.4149749978782 41.82578186405744)","5",,"MEMORIAL BLVD","MEMORIAL BLVD","FRANCIS ST","STEEPLE ST","Front","1","Fraxinus pennsylvanica","9.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.4394490777235 41.8420963312742)","65",,"LYNDHURST AVE","LYNDHURST AVE","EATON ST","SMITH ST","Front","1","Acer platanoides","12.0","Yes","Lawn Strip","5.0"
"POINT (-71.42651071688746 41.79896700478627)","485",,"ELMWOOD AVE","ELMWOOD AVE","REDWING ST","RUTLAND ST","Front","1","Zelkova serrata","4.0","No","Sidewalk Pit","8.0"
"POINT (-71.38427225684245 41.83344539888422)","24",,"BLACKSTONE BLVD","ELTON ST","BLACKSTONE BLVD","HUMBOLDT AVE","Side","2","Koelrenteria paniculata","7.0","Yes","Lawn Strip","2.0"
"POINT (-71.40844542372407 41.823550270557945)","101",,"DYER ST","DYER ST","PINE ST","HAY ST","Front","1","Pyrus calleryana","6.0","No","Sidewalk Pit","1.0"
"POINT (-71.40551670881241 41.82274685217835)","231",,"S MAIN ST","S MAIN ST","PLANET ST","POWER ST","Front","1","Zelkova serrata","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.43682755368832 41.816797760689965)","1655",,"WESTMINSTER ST","BARTON ST","BROADWAY","WESTMINSTER ST","Side","11","Acer saccharinum","1.0","No","Sidewalk Pit","13.0"
"POINT (-71.4378720886002 41.80509788363645)","719",,"CRANSTON ST","CRANSTON ST","BENEDICT ST","ANTHONY AVE","Front","1","Ailanthus altissima","5.5","None","Sidewalk Pit","8.0"
"POINT (-71.41865788761217 41.802554596153264)","790",,"BROAD ST","BROAD ST","NORWICH AVE","POTTERS AVE","Front","1","Zelkova serrata","1.0","No","Sidewalk Pit","10.0"
"POINT (-71.41197060074059 41.81699478665129)","42",,"BASSETT ST","BASSETT ST","HOPPIN ST","IMPERIAL PL","Front","5","Fraxinus spp.","9.5","No","Sidewalk Pit","1.0"
"POINT (-71.38909452746283 41.842342100667025)","291",,"COLE AVE","COLE AVE","SESSIONS ST","ROCHAMBEAU AVE","Front","1","Pyrus calleryana","23.0","Yes","Lawn Strip","2.0"
"POINT (-71.40797674476715 41.83043923003854)","109",,"BENEFIT ST","PRATT ST","JENCKES ST","WHEATON ST","Rear","2","Acer rubrum","12.0","No","Sidewalk Pit","2.0"
"POINT (-71.42887648033994 41.820001325096136)","335",,"BROADWAY","BROADWAY","VINTON ST","KNIGHT ST","Front","1","Ulmus americana","24.0","No","Sidewalk Pit","13.0"
"POINT (-71.42931971533612 41.78702961041315)","162",,"RUTHERGLEN AVE","RUTHERGLEN AVE","PARKMAN ST","PONTIAC AVE","Front","2","Acer saccharinum","11.0","None","Lawn Strip","8.0"
"POINT (-71.40096004891657 41.82168037759793)","14",,"JOHN ST","JOHN ST","BROOK ST","BENEFIT ST","Front","1","Tilia cordata","2.0","No","Sidewalk Pit","1.0"
"POINT (-71.39398926825162 41.82875124099076)","295",,"GOVERNOR ST","GOVERNOR ST","ANGELL ST","WATERMAN ST","Front","1","Tilia cordata","12.0","No","Sidewalk Pit","1.0"
"POINT (-71.41205056152887 41.80302468828759)","42",,"MINER ST","SAYLES ST","MINER ST","BURNSIDE ST","Side","2","Tilia euchlora","2.0","No","Sidewalk Pit","10.0"
"POINT (-71.44751446033978 41.83064900015894)","83",,"BEAUFORT ST","BEAUFORT ST","PEMBERTON ST","CARLETON ST","Front","1","Tilia americana","10.0","No","Lawn Strip","6.0"
"POINT (-71.40133017979792 41.82540663694898)","127","Y","GEORGE ST","GEORGE ST","BROWN ST","THAYER ST","Front","8","Platanus x acerifolia","11.9","No","Sidewalk Pit","2.0"
"POINT (-71.39284805030034 41.82682307438404)","23",,"E MANNING ST","IVES ST","E MANNING ST","PITMAN ST","Side","2","Ulmus americana","11.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.42189688780026 41.79673264823258)","172",,"ADELAIDE AVE","MELROSE ST","LENOX AVE","ADELAIDE AVE","Side","5","Ulmus spp.","6.0","Yes","Lawn Strip","9.0"
"POINT (-71.39270890343575 41.844172436109986)","82",,"SARGENT AVE","SARGENT AVE","ELMGROVE AVE","MORRIS AVE","Front","2","Pyrus calleryana","7.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.3925526724418 41.83088549392857)","37",,"ARLINGTON AVE","HUMBOLDT AVE","ARLINGTON AVE","TABER AVE","Side","2","Acer saccharum","22.0","Yes","Lawn Strip","2.0"
"POINT (-71.39234332010287 41.831045877716285)","12",,"HUMBOLDT AVE","HUMBOLDT AVE","TABER AVE","ARLINGTON AVE","Front","3","Prunus serrulata 'Kwanzan'","9.0","No","Lawn Strip","2.0"
"POINT (-71.39896353761341 41.845529660724836)","166",,"LANCASTER ST","IVY ST","DANA ST","LANCASTER ST","Side","3","Acer platanoides","12.9","No","Sidewalk Pit","3.0"
"POINT (-71.3900494931994 41.82037761658351)","55",,"WADE ST","WICKENDEN ST","WADE ST","GANO ST","Side","1","Pyrus calleryana","5.7","Yes","Sidewalk Pit","1.0"
"POINT (-71.44041333186375 41.82044008175632)","166",,"VALLEY ST","VALLEY ST","BARSTOW ST","DELAINE ST","Front","9","Pyrus calleryana","10.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.40614938911534 41.796438941275035)","93",,"BYFIELD ST","BYFIELD ST","EDDY ST","RUGBY ST","Front","1","Zelkova serrata","12.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.42921629040103 41.834087320234)","94",,"AYRAULT ST","AYRAULT ST","CHALKSTONE AVE","DEAN ST","Front","1","Fraxinus pennsylvanica","5.5","No","Sidewalk Pit","12.0"
"POINT (-71.3945478150889 41.82162400935705)","98",,"ARNOLD ST","ARNOLD ST","EAST ST","GOVERNOR ST","Front","1","Fraxinus pennsylvanica","21.3","Yes","Sidewalk Pit","1.0"
"POINT (-71.40952501285514 41.820772036316065)","60",,"CLIFFORD ST","CLIFFORD ST","RICHMOND ST","EDDY ST","Front","3","Ginkgo biloba","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.45466927277744 41.833415525275136)","40",,"VICTORIA ST","VICTORIA ST","ALDEN ST","MANOMET ST","Front","1","Pyrus calleryana","5.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.44906077372481 41.82889680373357)","86",,"FAIRVIEW ST","MT PLEASANT AVE","MT PLEASANT AVE","CARLETON ST","Side","1","Platanus x acerifolia","21.0","No","Sidewalk Pit","6.0"
"POINT (-71.39563600958068 41.855267158696506)","48",,"TOP ST","TOP ST","CHACE AVE","11TH ST","Front","2","Acer platanoides","7.5","No","Lawn Strip","3.0"
"POINT (-71.39888173020947 41.845809394309676)","166",,"LANCASTER ST","DANA ST","CAMP ST","IVY ST","Rear","1","Prunus serrulata 'Kwanzan'","6.3","Yes","Sidewalk Pit","3.0"
"POINT (-71.4106666476813 41.788462568094424)","147",,"BABCOCK ST","OGANDO ST","BABCOCK ST","VERNDALE AVE","Side","2","Fraxinus pennsylvanica","7.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.42197993568753 41.82082367581872)","236",,"DEAN ST","DEAN ST","CARPENTER ST","BROADWAY","Front","1","Tilia cordata","4.0","No","Sidewalk Pit","13.0"
"POINT (-71.40549365270799 41.84616005853809)","929",,"N MAIN ST","N MAIN ST","ROCHAMBEAU AVE","CYPRESS ST","Median","3","Tilia cordata","6.0","No","Lawn - No Sidewalk","3.0"
"POINT (-71.38590097246386 41.834500492459334)","204",,"UNIVERSITY AVE","UNIVERSITY AVE","SLATER AVE","COLE AVE","Front","1","Quercus palustris","12.0","No","Lawn Strip","2.0"
"POINT (-71.3948043792297 41.82906318867737)","80",,"STIMSON AVE","STIMSON AVE","ANGELL ST","DIMAN PL","Front","1","Fraxinus pennsylvanica","19.1","No","Lawn Strip","2.0"
"POINT (-71.44927365417209 41.83280273088251)","1229",,"CHALKSTONE AVE","CHALKSTONE AVE","LINDY AVE","MT PLEASANT AVE","Front","1","Fraxinus pennsylvanica","10.5","No","Sidewalk Pit","5.0"
"POINT (-71.41419957377113 41.802133670430024)","61",,"CROYLAND RD","CROYLAND RD","OXFORD ST","SAYLES ST","Front","9","Fraxinus pennsylvanica","7.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.45214670730408 41.8365405522219)","138",,"METROPOLITAN RD","METROPOLITAN RD","WINTHROP AVE","WALLER ST","Front","2","Acer rubrum","17.7","No","Lawn - No Sidewalk","5.0"
"POINT (-71.39885920870505 41.856684586459764)","11",,"HILLSIDE AVE","HILLSIDE AVE","N MAIN ST","HOPE ST","Front","1","Platanus x acerifolia","10.5","No","Sidewalk Pit","3.0"
"POINT (-71.41865160270551 41.79406161072035)","266",,"MELROSE ST","SACKETT ST","MELROSE ST","NIAGARA ST","Side","17","Tilia americana","1.6","No","Sidewalk Pit","9.0"
"POINT (-71.4029208178138 41.85028764112693)","1085","true","N MAIN ST","N MAIN ST","1ST ST","2ND ST","Median","4","Ulmus spp.","9.0","No","Lawn Strip","3.0"
"POINT (-71.43011247578082 41.834122858187484)","696",,"CHALKSTONE AVE","RAYMOND ST","AYRAULT ST","CHALKSTONE AVE","Side","1","Acer platanoides","21.5","Yes","Lawn Strip","12.0"
"POINT (-71.39062482703194 41.83959752289373)","515",,"WAYLAND AVE","WAYLAND AVE","UPTON AVE","SESSIONS ST","Front","2","Quercus palustris","12.4","No","Lawn Strip","2.0"
"POINT (-71.3924693361322 41.83013445689672)","20","Y","ARLINGTON AVE","ARLINGTON AVE","HUMBOLDT AVE","VILLA AVE","Front","9","Acer rubrum","8.0","No","Lawn - No Sidewalk","2.0"
"POINT (-71.4110751626355 41.830548902684114)","140",,"N MAIN ST","CANAL ST","SMITH ST","PARK ROW","Rear","8","Platanus x acerifolia","18.4","No","Lawn Strip","12.0"
"POINT (-71.41961238777861 41.8105754257842)","333",,"DUDLEY ST","DUDLEY ST","WEST CLIFFORD ST","FRIENDSHIP ST","Front","1","Acer rubrum","4.0","No","Sidewalk Pit","11.0"
"POINT (-71.39703556395003 41.823031682289546)","122",,"HOPE ST","HOPE ST","POWER ST","WILLIAMS ST","Front","1","Ulmus spp.","4.7","No","Lawn - No Sidewalk","1.0"
"POINT (-71.43516558992742 41.82063797101718)","126",,"RIDGE ST","PENN ST","ALMY ST","TOBEY ST","Rear","3","Gleditsia triacanthos","1.5","No","Sidewalk Pit","13.0"
"POINT (-71.39909770665177 41.7887083426661)","236",,"CALIFORNIA AVE","VIRGINIA AVE","VERMONT AVE","CALIFORNIA AVE","Side","4","Cornus kousa","2.0","No","Lawn Strip","10.0"
"POINT (-71.40334395890602 41.78821161415935)","1355",,"EDDY ST","BROAD ST","MARION AVE","PAYTON ST","Side","9","Gleditsia triacanthos","11.0","No","Sidewalk Pit","10.0"
"POINT (-71.40736334697834 41.838499400129194)","42",,"DOYLE AVE","DOYLE AVE","CAMP ST","N MAIN ST","Front","1","Gleditsia triacanthos","16.0","No","Sidewalk Pit","3.0"
"POINT (-71.44977960574309 41.82518275939305)","973",,"ATWELLS AVE","ATWELLS AVE","MT PLEASANT AVE","ERASTUS ST","Front","1","Pyrus calleryana","6.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.42737243163482 41.845058606638666)","66",,"COGGESHALL ST","COGGESHALL ST","FORSYTH ST","NEWCOMB ST","Front","1","Quercus palustris","31.0","No","Lawn Strip","4.0"
"POINT (-71.39041077767784 41.83278189996521)","92",,"ELMGROVE AVE","ELMGROVE AVE","IRVING AVE","ELTON ST","Front","1","Tilia americana","8.0","No","Lawn Strip","2.0"
"POINT (-71.41151451402921 41.83460067291425)","10",,"ORMS ST","CHARLES ST","ORMS ST","CANAL ST","Side","2","Tilia cordata","13.0","No","Sidewalk Pit","12.0"
"POINT (-71.4048096894045 41.84264233938847)","87",,"ABBOTT ST","KNOWLES ST","N MAIN ST","KNOWLES ST","Side","2","Prunus serrulata 'Kwanzan'","10.0","Yes","Lawn Strip","3.0"
"POINT (-71.41761950648049 41.8048684767976)","488",,"PUBLIC ST","PUBLIC ST","BROAD ST","TAYLOR ST","Front","1","Pyrus calleryana","5.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.45558157904242 41.84683601864962)","15",,"HOMEFIELD AVE","HOMEFIELD AVE","MT PLEASANT AVE","BASSWOOD AVE","Front","2","Acer platanoides","18.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.4270823887908 41.83886179698098)","142",,"CHAD BROWN ST","CHAD BROWN ST","CAMDEN AVE","MALBONE ST","Front","1","Fraxinus pennsylvanica","5.5","No","Sidewalk Pit","12.0"
"POINT (-71.41271738575924 41.7937801086878)","65",,"CORINTH ST","CORINTH ST","NIAGARA ST","SAVINGS ST","Front","1","Tilia cordata","8.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.45036200734103 41.80756878871389)","205",,"DORA ST","DORA ST","WEBSTER AVE","TERRACE AVE","Front","1","Juniperus virginiana","2.0","No","Sidewalk Pit","15.0"
"POINT (-71.4565157734842 41.845962387059245)","60",,"HOMEFIELD AVE","BASSWOOD AVE","HOOKER ST","MT PLEASANT AVE","Rear","2","Acer platanoides","15.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.40116188514737 41.79362543067771)","1",,"VIRGINIA AVE","ELLENFIELD ST","BAKER ST","VIRGINIA AVE","Side","2","Pyrus calleryana","4.0","No","Sidewalk Pit","10.0"
"POINT (-71.40286867168548 41.828398021202155)","34",,"OLIVE ST","OLIVE ST","THAYER ST","BROWN ST","Front","1","Platanus x acerifolia","5.4","No","Sidewalk Pit","2.0"
"POINT (-71.39491588598759 41.822261548509644)","103",,"JOHN ST","JOHN ST","EAST ST","GOVERNOR ST","Front","2","Parrotia persica","3.5","Yes","Sidewalk Pit","1.0"
"POINT (-71.44731326482476 41.83871264524728)","217",,"WHITFORD AVE","WHITFORD AVE","LAWN ST","WEBB ST","Front","1","Prunus serrulata 'Kwanzan'","2.0","Yes","Lawn Strip","5.0"
"POINT (-71.39292701303923 41.83832658637178)","121",,"HAZARD AVE","HAZARD AVE","TABER AVE","ELMGROVE AVE","Front","2","Acer platanoides","26.3","Yes","Lawn Strip","2.0"
"POINT (-71.38721275521065 41.84525372393531)","346",,"BLACKSTONE BLVD","BLACKSTONE BLVD","ROCHAMBEAU AVE","MAGELLAN ST","Front","1","Pyrus calleryana","2.5","Yes","Lawn Strip","2.0"
"POINT (-71.42220716762404 41.82159931677715)","145",,"BROADWAY","BROADWAY","BRADFORD ST","DEAN ST","Front","2","Acer rubrum","8.3","No","Sidewalk Pit","13.0"
"POINT (-71.43146216604624 41.851037013603104)","60",,"VANDEWATER ST","VANDEWATER ST","GRAND BROADWAY","DOUGLAS AVE","Front","1","Fraxinus pennsylvanica","16.0","No","Lawn - No Sidewalk","14.0"
"POINT (-71.40047203415766 41.827063001310194)","201",,"THAYER ST","THAYER ST","WATERMAN ST","GEORGE ST","Front","2","Gleditsia triacanthos","5.0","No","Sidewalk Pit","1.0"
"POINT (-71.43543112861862 41.83065056923295)","36",,"ROBIN ST","ALLSTON ST","REGENT AVE","ROBIN ST","Front","1","Pyrus calleryana","2.0","No","Lawn Strip","12.0"
"POINT (-71.39893845544917 41.840959401636134)","525",,"HOPE ST","HOPE ST","PHILLIPS ST","CYPRESS ST","Front","1","Gleditsia triacanthos","17.2","No","Lawn Strip","3.0"
"POINT (-71.44420061099096 41.82182429433486)","50",,"PUTNAM ST","PUTNAM ST","KOSSUTH ST","APPLETON ST","Front","1","Pyrus calleryana","14.0","No","Sidewalk Pit","15.0"
"POINT (-71.39551147978923 41.79132258222019)","199",,"NEW YORK AVE","NEW YORK AVE","MICHIGAN AVE","NARRAGANSETT BLVD","Front","2","Gleditsia triacanthos","1.0","Yes","Lawn Strip","10.0"
"POINT (-71.44410888029992 41.840992979746105)","135",,"NELSON ST","NELSON ST","WABUN AVE","SMITH ST","Front","1","Zelkova serrata","19.0","Yes","Lawn Strip","5.0"
"POINT (-71.40005202448847 41.82378643784088)","56",,"CHARLESFIELD ST","THAYER ST","CHARLESFIELD ST","POWER ST","Side","1","Tilia cordata","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.42936128961361 41.787128606670755)","161",,"RUTHERGLEN AVE","RUTHERGLEN AVE","PARKMAN ST","PONTIAC AVE","Front","1","Pyrus calleryana","11.0","Yes","Lawn Strip","8.0"
"POINT (-71.40464286425005 41.8404695783335)","27",,"KNOWLES ST","KNOWLES ST","PLEASANT ST","JENKINS ST","Front","1","Acer saccharum","2.0","No","Sidewalk Pit","3.0"
"POINT (-71.43296751964048 41.81876599407472)","454",,"BROADWAY","ALMY ST","HARKNESS ST","ALMY ST","Side","1","Pyrus calleryana","7.0","No","Sidewalk Pit","13.0"
"POINT (-71.39574845558536 41.82674728959093)","61",,"COOKE ST","MANNING ST","COOKE ST","HOPE ST","Side","2","Pyrus calleryana","5.0","No","Lawn Strip","1.0"
"POINT (-71.41711566436199 41.79841808359743)","43",,"ADELAIDE AVE","ADELAIDE AVE","BROAD ST","NIAGARA ST","Front","1","Zelkova serrata","12.0","Yes","Lawn Strip","9.0"
"POINT (-71.40352692294431 41.83020388821971)","129",,"BROWN ST","BROWN ST","CUSHING ST","BOWEN ST","Front","1","Ulmus americana","9.5","No","Lawn Strip","2.0"
"POINT (-71.40181366193573 41.795090209820515)","1116",,"EDDY ST","ERNEST ST","PORTER ST","CASS ST","Side","1","Platanus x acerifolia","15.0","Yes","Sidewalk Pit","10.0"
