"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"432216","05 CHRY","2C4GF68475R434470","59","927.37","322.00","605.37","36.32","881.00","33.56","2.76"
"887816","06 FORD","1FMDK06196GA33375","83","1361.05","454.00","907.05","54.42","1293.00","50.36","4.06"
"539141","96 TOYT","2T1BB02E9TC165034","78","112.63","107.00","5.63","0.34","107.00",,"0.34"
"AZ 265","02 MITS","4A3AC44G42E001861","34","283.16","186.00","97.16","5.83","269.00","10.00",
"454446","03 FORD","1FMZU72K03UA21393","366","4600.00","2000.00","2600.00","156.00","4370.00","142.20","13.80"
"479273","03 HOND","1HGCM56633A125116","305","4604.21","1667.00","2937.21","176.23","4374.00","162.44","13.79"
"539083","01 BMW","WBAAV334X1FU84289","152","218.95","208.00","10.95","0.66","208.00",,"0.66"
"437934","02 NISS","1N4AL11DX2C232728","366","3250.53","2000.00","1250.53","75.03","3088.00","65.28","9.75"
"427388","04 PORS","WP1AB29P54LA77170","274","7355.79","1497.00","5858.79","351.53","6988.00","329.48","22.05"
"JHD147","07 CHRY","2A8GF48X87R299302","221","3744.21","1208.00","2536.21","152.17","3557.00","140.96","11.21"
"91766","10 NISS","JN8AZ1MW2AW113580","366","12000.00","2000.00","10000.00","600.00","11400.00","564.00","36.00"
"494690","04 NISS","1N4BA41E24C824910","152","1921.05","831.00","1090.05","65.40","1825.00","59.64","5.76"
"431438","00 HOND","1HGEM1153YL094185","31","44.21","42.00","2.21","0.13","42.00",,"0.13"
"479708","01 TOYO","2T1BR12E71C430273","19","27.37","26.00","1.37","0.08","26.00",,"0.08"
"456344","06 TOYT","5TELU42N36Z147505","366","16625.26","2000.00","14625.26","877.52","15794.00","827.64","49.88"
"679040","06 FORD","1FMZK02126GA05798","366","5125.26","2000.00","3125.26","187.52","4869.00","172.16","15.36"
"WARLOK","08 AUDI","WAUDH74F18N030606","366","11025.26","2000.00","9025.26","541.52","10474.00","508.44","33.08"
"508330","06 HUMM","5GTDN136168140960","278","9912.63","1519.00","8393.63","503.62","9417.00","473.88","29.74"
"461467","12 HYUN","KMHDH4AE1CU183185","173","4313.68","945.00","3368.68","202.12","4098.00","189.20","12.92"
"EO 132","97 HOND","2HGEJ6676VH559809","56","81.05","77.00","4.05","0.24","77.00",,"0.24"
"HN 867","89 GMC","1GDEG25K4K7524510","329","472.63","449.00","23.63","1.42","449.00",,"1.42"
"558142","05 MAZD","JM1BK343X51218196","366","4800.00","2000.00","2800.00","168.00","4560.00","153.60","14.40"
"456241","98 TOYT","4T1BG28K3WU312204","180","258.95","246.00","12.95","0.78","246.00",,"0.78"
"OD 981","06 GMC","1GKDT13S562354819","366","8100.00","2000.00","6100.00","366.00","7695.00","341.72","24.28"
