"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2016","Daly Grove","4012 - 20 AVENUE","SE","12","53.4518392712623","-113.40324803552937","
,  
(53.4518392712623, -113.40324803552937)","POINT (-113.40324803552937 53.4518392712623)"
"General","2018","Westmount","10543 - 130 STREET NW","NW","6","53.549092729059325","-113.54580560493956","
,  
(53.549092729059325, -113.54580560493956)","POINT (-113.54580560493956 53.549092729059325)"
"General","2018","Crestwood","9728 - RIVERSIDE DRIVE NW","W","1","53.536107459232284","-113.5600332146969","
,  
(53.536107459232284, -113.5600332146969)","POINT (-113.5600332146969 53.536107459232284)"
"General","2018","Capilano","6520 - 108 AVENUE NW","SE","8",,,,
"General","2015","Woodcroft","13912  -  117 AVENUE","W","2","53.5695943842612","-113.562571028717","
,  
(53.5695943842612, -113.562571028717)","POINT (-113.562571028717 53.5695943842612)"
"General","2015","Lansdowne","12624  -  52B AVENUE","SW","10","53.490159554193","-113.555171772085","
,  
(53.490159554193, -113.555171772085)","POINT (-113.555171772085 53.490159554193)"
"General","2017","Calder","13024 - 122 STREET","NW","2.0","53.589990539601736","-113.53252934628301","
,  
(53.589990539601736, -113.53252934628301)","POINT (-113.53252934628301 53.589990539601736)"
"General","2016","Gariepy","500 - LESSARD DRIVE","W","5","53.49100895377231","-113.61826353940569","
,  
(53.49100895377231, -113.61826353940569)","POINT (-113.61826353940569 53.49100895377231)"
"General","2015","Dunluce","11716  -  157 AVENUE","NW","3","53.6195385063855","-113.525118008714","
,  
(53.6195385063855, -113.525118008714)","POINT (-113.525118008714 53.6195385063855)"
"General","2016","Glenwood","9739 - 164 STREET","W","1","53.536217597302446","-113.60394886988877","
,  
(53.536217597302446, -113.60394886988877)","POINT (-113.60394886988877 53.536217597302446)"
"General","2014","Windsor Park","8343 - 120 STREET","NW","8","53.521581","-113.536594","
,  
(53.521581, -113.536594)","POINT (-113.536594 53.521581)"
"General","2016","Griesbach","1574 - KINROSS ROAD","NW","2","53.60556786184874","-113.49615363531252","
,  
(53.60556786184874, -113.49615363531252)","POINT (-113.49615363531252 53.60556786184874)"
"General","2018","Crestwood","13849 - SUMMIT DRIVE NW","W","1","53.53714846844606","-113.56456278435462","
,  
(53.53714846844606, -113.56456278435462)","POINT (-113.56456278435462 53.53714846844606)"
"General","2016","Spruce AVENUE NW","11335 - 102 STREET","NW","2","53.563741638768036","-113.49529259163077","
,  
(53.563741638768036, -113.49529259163077)","POINT (-113.49529259163077 53.563741638768036)"
"General","2018","Carlisle","11918 - 138 AVENUE NW","NW","2","53.60052439430111","-113.52626461557118","
,  
(53.60052439430111, -113.52626461557118)","POINT (-113.52626461557118 53.60052439430111)"
"General","2017","Lynnwood","15636 - 83 AVENUE","WEST","5.0","53.51678146386685","-113.59371425826252","
,  
(53.51678146386685, -113.59371425826252)","POINT (-113.59371425826252 53.51678146386685)"
"Public Space","2017","Lauderdale","10610 - 129 AVENUE","NW","2.0","53.58830526159359","-113.50234220546291","
,  
(53.58830526159359, -113.50234220546291)","POINT (-113.50234220546291 53.58830526159359)"
"General","2018","Bonnie Doon","8572 - 89 STREET NW","SE","8","53.52326314227044","-113.46409943895804","
,  
(53.52326314227044, -113.46409943895804)","POINT (-113.46409943895804 53.52326314227044)"
"Natural","2018","Pollard Meadows","1867 - 45 STREET NW","SE","12","53.45062966501471","-113.41078488697994","
,  
(53.45062966501471, -113.41078488697994)","POINT (-113.41078488697994 53.45062966501471)"
"General","2017","Parkdale","11432 - 85 STREET","NE","7.0","53.5652520048513","-113.47206120970083","
,  
(53.5652520048513, -113.47206120970083)","POINT (-113.47206120970083 53.5652520048513)"
"General","2014","Kensington","12208 - 134 AVENUE","NW","2","53.595018","-113.533144","
,  
(53.595018, -113.533144)","POINT (-113.533144 53.595018)"
"Public Space","2018","Idylwylde","8205 - 85 AVENUE NW","SE","8","53.52068151121186","-113.45405681675074","
,  
(53.52068151121186, -113.45405681675074)","POINT (-113.45405681675074 53.52068151121186)"
"General","2018","Athlone","12824 - 132 STREET NW","NW","2","53.58697331511189","-113.54943154624648","
,  
(53.58697331511189, -113.54943154624648)","POINT (-113.54943154624648 53.58697331511189)"
"General","2016","Pleasantview","5303 - 105 STREET","SW","10","53.489906297764406","-113.49980485126078","
,  
(53.489906297764406, -113.49980485126078)","POINT (-113.49980485126078 53.489906297764406)"
"General","2014","Riverdale","9951 - 88 STREET","NW","6","53.542407","-113.466586","
,  
(53.542407, -113.466586)","POINT (-113.466586 53.542407)"
"General","2017","Quesnell Heights","52 - QUESNELL CRESCENT","WEST","5.0","53.51047462646968","-113.57361068571551","
,  
(53.51047462646968, -113.57361068571551)","POINT (-113.57361068571551 53.51047462646968)"
"General","2014","Allendale","10539 - 67 AVENUE","NW","10","53.503497","-113.502267","
,  
(53.503497, -113.502267)","POINT (-113.502267 53.503497)"
"General","2018","Kensington","13435 - 115 STREET NW","NW","2","53.59647132170197","-113.51940668168895","
,  
(53.59647132170197, -113.51940668168895)","POINT (-113.51940668168895 53.59647132170197)"
"General","2018","Glenora","10334 - 138 STREET NW","W","6","53.54576782502224","-113.5601441284625","
,  
(53.54576782502224, -113.5601441284625)","POINT (-113.5601441284625 53.54576782502224)"
"General","2017","Wellington","13824 - 133 AVENUE","NW","2.0","53.59392083383618","-113.55943229768934","
,  
(53.59392083383618, -113.55943229768934)","POINT (-113.55943229768934 53.59392083383618)"
"General","2017","Crestwood","13808 - 98 AVENUE","WEST","1.0","53.536722113388876","-113.56097538294921","
,  
(53.536722113388876, -113.56097538294921)","POINT (-113.56097538294921 53.536722113388876)"
"General","2015","Belmont","13207  -  39 STREET","NE","4","53.5928736896782","-113.40012341475","
,  
(53.5928736896782, -113.40012341475)","POINT (-113.40012341475 53.5928736896782)"
"General","2016","Donsdale","4815 - DONSDALE DRIVE","W","5","53.48647220559429","-113.62997408671808","
,  
(53.48647220559429, -113.62997408671808)","POINT (-113.62997408671808 53.48647220559429)"
"General","2018","Crestwood","13813 - SUMMIT DRIVE NW","W","1","53.537181083843585","-113.56119865034626","
,  
(53.537181083843585, -113.56119865034626)","POINT (-113.56119865034626 53.537181083843585)"
"General","2017","Kensington","13516 - 120 STREET","NW","2.0","53.59713805617722","-113.52888555194431","
,  
(53.59713805617722, -113.52888555194431)","POINT (-113.52888555194431 53.59713805617722)"
"General","2017","Pleasantview","10548 - 52 AVENUE","SW","10.0","53.489264197778574","-113.50312727938486","
,  
(53.489264197778574, -113.50312727938486)","POINT (-113.50312727938486 53.489264197778574)"
"General","2017","Greenfield","3519 - 111B STREET","SW","10.0","53.4695611161206","-113.51875961822135","
,  
(53.4695611161206, -113.51875961822135)","POINT (-113.51875961822135 53.4695611161206)"
"Natural","2015","Rosslyn","13552  -  104A STREET","NW","2","53.5980880090354","-113.501822667932","
,  
(53.5980880090354, -113.501822667932)","POINT (-113.501822667932 53.5980880090354)"
"General","2016","Glenwood","9915 - 162 STREET","W","1","53.5379894518954","-113.60036139391185","
,  
(53.5379894518954, -113.60036139391185)","POINT (-113.60036139391185 53.5379894518954)"
"General","2018","Westmount","10548 - 128 STREET NW","NW","6","53.549226349244144","-113.54314856944666","
,  
(53.549226349244144, -113.54314856944666)","POINT (-113.54314856944666 53.549226349244144)"
"General","2018","Delton","12410 - 86 STREET NW","NE","7","53.580165449661294","-113.4733095988717","
,  
(53.580165449661294, -113.4733095988717)","POINT (-113.4733095988717 53.580165449661294)"
"General","2014","Inglewood","11231 - 126 STREET","NW","2","53.561647","-113.539462","
,  
(53.561647, -113.539462)","POINT (-113.539462 53.561647)"
"General","2015","Hodgson","204  -  HILLIARD GREEN","SW","9","53.4589602704417","-113.562533524963","
,  
(53.4589602704417, -113.562533524963)","POINT (-113.562533524963 53.4589602704417)"
"General","2018","Calder","12966 - 117 STREET NW","NW","2","53.589474494181715","-113.52386887525793","
,  
(53.589474494181715, -113.52386887525793)","POINT (-113.52386887525793 53.589474494181715)"
"General","2016","Kensington","12507 - 137 AVENUE","NW","2","53.59911540770046","-113.5381991824969","
,  
(53.59911540770046, -113.5381991824969)","POINT (-113.5381991824969 53.59911540770046)"
"General","2016","McLeod","6012 - 152 AVENUE","NE","4","53.61303410036469","-113.43551548485638","
,  
(53.61303410036469, -113.43551548485638)","POINT (-113.43551548485638 53.61303410036469)"
"General","2017","Dunvegan","13805 - 128A AVENUE","NW","2.0","53.58663916039681","-113.55727565633596","
,  
(53.58663916039681, -113.55727565633596)","POINT (-113.55727565633596 53.58663916039681)"
"General","2018","Athlone","215 - DUNVEGAN ROAD NW","NW","2","53.58850548356484","-113.55745816341428","
,  
(53.58850548356484, -113.55745816341428)","POINT (-113.55745816341428 53.58850548356484)"
"General","2016","York","14104 - 58 STREET","NE","4","53.60353175171691","-113.43083789640431","
,  
(53.60353175171691, -113.43083789640431)","POINT (-113.43083789640431 53.60353175171691)"
"General","2018","Westridge","566 - WOLF WILLOW ROAD NW","W","5","53.50779780189792","-113.6038288952946","
,  
(53.50779780189792, -113.6038288952946)","POINT (-113.6038288952946 53.50779780189792)"
"General","2017","Inglewood","11321 - 123 STREET","NW","2.0","53.56280432836132","-113.53388556464908","
,  
(53.56280432836132, -113.53388556464908)","POINT (-113.53388556464908 53.56280432836132)"
"General","2017","Grovenor","10118 - 143 STREET","WEST","6.0","53.54184284113158","-113.5680445759015","
,  
(53.54184284113158, -113.5680445759015)","POINT (-113.5680445759015 53.54184284113158)"
"General","2017","Northmount","8912 - 138 AVENUE","NE","7.0","53.60079399266909","-113.47873398038915","
,  
(53.60079399266909, -113.47873398038915)","POINT (-113.47873398038915 53.60079399266909)"
"General","2015","Dovercourt","14016  -  121 AVENUE","NW","2","53.5729777598738","-113.562966045952","
,  
(53.5729777598738, -113.562966045952)","POINT (-113.562966045952 53.5729777598738)"
"General","2015","Strathearn","8719  -  92B AVENUE","SE","8","53.5281647108415","-113.461936629954","
,  
(53.5281647108415, -113.461936629954)","POINT (-113.461936629954 53.5281647108415)"
"General","2017","Parkdale","11545 - 87 STREET","NE","7.0","53.567121837140775","-113.47425693064123","
,  
(53.567121837140775, -113.47425693064123)","POINT (-113.47425693064123 53.567121837140775)"
"General","2015","Glenora","38  -  ST GEORGE'S CRESCEN","W","6","53.5407409120687","-113.551609989858","
,  
(53.5407409120687, -113.551609989858)","POINT (-113.551609989858 53.5407409120687)"
"Natural","2016","Woodcroft","11619 - 139 STREET","W","2","53.56882927971938","-113.56111232314723","
,  
(53.56882927971938, -113.56111232314723)","POINT (-113.56111232314723 53.56882927971938)"
"General","2015","Kensington","12324  -  135 AVENUE","NW","2","53.5966869742972","-113.53644696917","
,  
(53.5966869742972, -113.53644696917)","POINT (-113.53644696917 53.5966869742972)"
"Public Space","2015","Westmount","10310  -  124 STREET","NW","6","53.5448567918667","-113.536403494266","
,  
(53.5448567918667, -113.536403494266)","POINT (-113.536403494266 53.5448567918667)"
"General","2014","Wellington","13808 - 132 AVENUE","NW","2","53.592891","-113.558416","
,  
(53.592891, -113.558416)","POINT (-113.558416 53.592891)"
"General","2015","Strathcona","9629  -  99A STREET","SW","8","53.5353619947872","-113.485078589956","
,  
(53.5353619947872, -113.485078589956)","POINT (-113.485078589956 53.5353619947872)"
"Natural","2017","Glenora","13403 - 103 AVENUE","WEST","6.0","53.54420543111575","-113.55322035047676","
,  
(53.54420543111575, -113.55322035047676)","POINT (-113.55322035047676 53.54420543111575)"
"General","2014","Pleasantview","5103 - 105 STREET","NW","10","53.488529","-113.500315","
,  
(53.488529, -113.500315)","POINT (-113.500315 53.488529)"
"General","2016","Avonmore","8504 - 70 AVENUE","SE","11","53.506071990112424","-113.45675171940715","
,  
(53.506071990112424, -113.45675171940715)","POINT (-113.45675171940715 53.506071990112424)"
"General","2014","Queen Alexandra","10739 - 74 AVENUE","NW","8","53.51039","-113.508195","
,  
(53.51039, -113.508195)","POINT (-113.508195 53.51039)"
"General","2015","Brander Gardens","14708  -  RIVERBEND ROAD","SW","9","53.4976245481637","-113.574921776511","
,  
(53.4976245481637, -113.574921776511)","POINT (-113.574921776511 53.4976245481637)"
"General","2015","Spruce Avenue","11218  -  104 STREET","NW","2","53.5616882957896","-113.49976544632","
,  
(53.5616882957896, -113.49976544632)","POINT (-113.49976544632 53.5616882957896)"
"General","2014","Schonsee","16835 - 79 STREET","NW","3","53.630879","-113.463859","
,  
(53.630879, -113.463859)","POINT (-113.463859 53.630879)"
"General","2015","Griesbach","1603  -  KERR ROAD","NW","2","53.6047768997391","-113.497492807594","
,  
(53.6047768997391, -113.497492807594)","POINT (-113.497492807594 53.6047768997391)"
"General","2018","Crestwood","13833 - SUMMIT DRIVE NW","W","1","53.53715299017622","-113.56334090487226","
,  
(53.53715299017622, -113.56334090487226)","POINT (-113.56334090487226 53.53715299017622)"
"General","2017","Wellington","13431 - 138 STREET","NW","2.0","53.59565169865101","-113.55850793412074","
,  
(53.59565169865101, -113.55850793412074)","POINT (-113.55850793412074 53.59565169865101)"
"General","2015","Allendale","10702  -  67 AVENUE","SW","10","53.5041717398858","-113.507781670429","
,  
(53.5041717398858, -113.507781670429)","POINT (-113.507781670429 53.5041717398858)"
"General","2017","Calder","12820 - 122 STREET","NW","2.0","53.586611857675585","-113.53253639700245","
,  
(53.586611857675585, -113.53253639700245)","POINT (-113.53253639700245 53.586611857675585)"
"General","2016","Britannia Youngstown","10533 - 164 STREET","W","1","53.549244679172546","-113.60359347194073","
,  
(53.549244679172546, -113.60359347194073)","POINT (-113.60359347194073 53.549244679172546)"
"General","2017","Glenora","10230 - 132 STREET","WEST","6.0","53.54417483849597","-113.54987135888835","
,  
(53.54417483849597, -113.54987135888835)","POINT (-113.54987135888835 53.54417483849597)"
"General","2017","Beaumaris","15960 - 109 STREET","NW","3.0","53.62157934025689","-113.51085358031153","
,  
(53.62157934025689, -113.51085358031153)","POINT (-113.51085358031153 53.62157934025689)"
"General","2018","Kensington","12408 - 136 AVENUE NW","NW","2","53.5984905521636","-113.5369521962485","
,  
(53.5984905521636, -113.5369521962485)","POINT (-113.5369521962485 53.5984905521636)"
"General","2016","Pleasantview","5231 - 104A STREET","SW","10","53.48990124745798","-113.49859948535713","
,  
(53.48990124745798, -113.49859948535713)","POINT (-113.49859948535713 53.48990124745798)"
"General","2016","Matt Berry","6104 - 159 AVENUE","NE","4","53.62042324584844","-113.43417747131103","
,  
(53.62042324584844, -113.43417747131103)","POINT (-113.43417747131103 53.62042324584844)"
"General","2018","Capilano","6512 - 108 AVENUE NW","SE","8",,,,
"General","2014","Lauderdale","12942 - 113 STREET","NW","2","53.588682","-113.515375","
,  
(53.588682, -113.515375)","POINT (-113.515375 53.588682)"
"Natural","2017","Hairsine","3319 - 142 AVENUE","NE","4.0","53.605454014759985","-113.39060323250199","
,  
(53.605454014759985, -113.39060323250199)","POINT (-113.39060323250199 53.605454014759985)"
"General","2014","Fulton Place","5708 - 105A AVENUE","NW","8","53.54895","-113.424979","
,  
(53.54895, -113.424979)","POINT (-113.424979 53.54895)"
