"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","Rep","Steve Litzow","218.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","Dem","Randy Gordon","143.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","NP","Registered Voters","377.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","NP","Times Counted","300.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0784","41","6","8","Rep","Steve Litzow","145.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","Dem","Randy Gordon","144.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","NP","Registered Voters","351.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","NP","Times Blank Voted","15.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","NP","Times Counted","284.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0785","41","6","8","Rep","Steve Litzow","125.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","Dem","Randy Gordon","98.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","NP","Registered Voters","235.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","NP","Times Blank Voted","4.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","NP","Times Counted","192.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0786","41","6","8","Rep","Steve Litzow","90.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","Dem","Randy Gordon","134.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","NP","Registered Voters","334.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","NP","Times Blank Voted","20.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","NP","Times Counted","262.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0787","41","6","8","Rep","Steve Litzow","108.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","Dem","Randy Gordon","149.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","NP","Registered Voters","365.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","NP","Times Counted","288.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0788","41","6","8","Rep","Steve Litzow","128.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","Dem","Randy Gordon","212.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","NP","Registered Voters","599.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","NP","Times Counted","480.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0789","41","6","8","Rep","Steve Litzow","250.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","Dem","Randy Gordon","77.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","NP","Registered Voters","217.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","NP","Times Counted","169.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","NP","Write-in","3.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0790","41","6","8","Rep","Steve Litzow","78.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","Dem","Randy Gordon","119.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","NP","Registered Voters","258.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","NP","Times Blank Voted","7.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","NP","Times Counted","205.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0791","41","6","8","Rep","Steve Litzow","79.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","Dem","Randy Gordon","114.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","NP","Registered Voters","293.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","NP","Times Blank Voted","7.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","NP","Times Counted","237.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0792","41","6","8","Rep","Steve Litzow","116.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","Dem","Randy Gordon","174.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","NP","Registered Voters","591.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","NP","Times Blank Voted","18.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","NP","Times Counted","480.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0793","41","6","8","Rep","Steve Litzow","288.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","Dem","Randy Gordon","142.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","NP","Registered Voters","375.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","NP","Times Counted","296.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0794","41","6","8","Rep","Steve Litzow","144.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","Dem","Randy Gordon","207.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","NP","Registered Voters","481.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","NP","Times Counted","382.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0795","41","6","8","Rep","Steve Litzow","159.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","Dem","Randy Gordon","341.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","NP","Registered Voters","924.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","NP","Times Blank Voted","44.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","NP","Times Counted","663.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0796","41","6","8","Rep","Steve Litzow","278.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","Dem","Randy Gordon","129.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","NP","Registered Voters","319.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","NP","Times Counted","242.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0797","41","6","8","Rep","Steve Litzow","96.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","Dem","Randy Gordon","176.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","NP","Registered Voters","512.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","NP","Times Counted","407.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-2445","41","6","8","NP","Write-in","0.00"
