"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"464","2016-17","School","101425","Alpac Elementary School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3825","Alpac Elementary School","101425","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.271007","-122.248891","310 MILWAUKEE BLVD N, PACIFIC, Washington, 98047-1122","310 MILWAUKEE BLVD N, PACIFIC, Washington, 98047-1122","0","0"
"465","2016-17","School","100448","Alpine Lakes Elementary","Chelan","North Central Educational Service District 171","100008","4228","Cascade School District","100034","2827","Alpine Lakes Elementary","100448","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.601783","-120.661303","500 Pine Street, Leavenworth, Washington, 98826-1215","500 Pine Street, Leavenworth, Washington, 98826-1215","0","0"
"466","2016-17","School","103015","Alternative Education Program (Closed after 2018-2019 school year)","Walla Walla","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","2407","Alternative Education Program (Closed after 2018-2019 school year)","103015","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","5","5"
"467","2016-17","School","101964","Alternative Educational Experience","Okanogan","North Central Educational Service District 171","100008","24350","Methow Valley School District","100148","1845","Alternative Educational Experience","101964","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.47122363","-120.1846054","18 Twin Lakes Rd., Winthrop, Washington, 98862-9713","18 Twin Lakes Rd., Winthrop, Washington, 98862-9713","0","0"
"468","2016-17","School","101725","Alternative High School (Closed after 2016-2017 school year)","Kitsap","Olympic Educational Service District 114","100005","18401","Central Kitsap School District","100038","3936","Alternative High School (Closed after 2016-2017 school year)","101725","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"469","2016-17","School","102675","Alternative Northeast Community Center Preschool","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","1566","Alternative Northeast Community Center Preschool","102675","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.694227","-117.374164","4001 N Cook, Spokane, Washington, 99207-5880","4001 N Cook, Spokane, Washington, 99207-5880","0","0"
"470","2016-17","School","102075","Alternative Spcl Needs Div Occ","Pierce","Puget Sound Educational Service District 121","100006","27010","Tacoma School District","100261","1514","Alternative Spcl Needs Div Occ","102075","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.25581334","-122.4459677","601 S 8TH ST, TACOMA, Washington, 98405-4614","601 S 8TH ST, TACOMA, Washington, 98405-4614","1","1"
"471","2016-17","School","102679","Alternative Tamarack School","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","1604","Alternative Tamarack School","102679","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.6768601","-117.4544175","W 2901 Ft George Wright, Spokane, Washington, 99224-5253","W 2901 Ft George Wright, Spokane, Washington, 99224-5253","0","0"
"472","2016-17","School","100635","Amboy Middle School","Clark","Educational Service District 112","100003","6119","Battle Ground School District","100018","2671","Amboy Middle School","100635","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.913375","-122.446155","22115 NE CHELATCHIE RD, AMBOY, Washington, 98601-0000","PO Box 200, Battle Ground, Washington, 98604-0200","0","0"
"473","2016-17","School","105294","American Academy (Closed after 2017-2018 school year)","Yakima","Educational Service District 105","100002","39209","Mount Adams School District","100155","5233","American Academy (Closed after 2017-2018 school year)","105294","Z","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"474","2016-17","School","100381","Amistad Elementary School","Benton","Educational Service District 123","100007","3017","Kennewick School District","100116","4418","Amistad Elementary School","100381","P","1","One-way","243","Spanish","80-20","Kindergarten","5","https://amistad.ksd.org/Programs/Bilingual-Program","1","2021-02-18T00:00:00.000","46.20759","-119.130979","123 S Kent St, KENNEWICK, Washington, 99336-6061","123 S Kent St, KENNEWICK, Washington, 99336-6061","6","6"
"475","2016-17","School","106151","Amon Creek Elementary","Benton","Educational Service District 123","100007","3017","Kennewick School District","100116","5520","Amon Creek Elementary","106151","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.21013204","-119.2534678","18 Center Parkway, Richland, Washington, 99352","18 Center Parkway, Richland, Washington, 99352","6","6"
"476","2016-17","School","102391","Anacortes High School","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","2467","Anacortes High School","102391","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.507102","-122.62255","1600 20th Street, Anacortes, Washington, 98221-2396","1600 20th Street, Anacortes, Washington, 98221-2396","0","0"
"477","2016-17","School","102392","Anacortes Middle School","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","2707","Anacortes Middle School","102392","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.503761","-122.618195","2202 M Avenue, Anacortes, Washington, 98221-3799","2202 M Avenue, Anacortes, Washington, 98221-3799","0","0"
"478","2016-17","School","106234","Ancient Lakes Elementary","Grant","North Central Educational Service District 171","100008","13144","Quincy School District","100212","5585","Ancient Lakes Elementary","106234","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.23578205","-119.8454011","417 C Street SE, Quincy, Washington, 98848","417 C Street SE, Quincy, Washington, 98848","0","0"
"479","2016-17","School","102023","Anderson Island Elementary","Pierce","Puget Sound Educational Service District 121","100006","27001","Steilacoom Hist. School District","100254","2040","Anderson Island Elementary","102023","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.163141","-122.712591","13005 Camus Road, Anderson Island, Washington, 98303-0000","511 Chambers, Steilacoom, Washington, 98388-0000","0","0"
"480","2016-17","School","103836","Angelo Giaudrone Middle School","Pierce","Puget Sound Educational Service District 121","100006","27010","Tacoma School District","100261","4575","Angelo Giaudrone Middle School","103836","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.211954","-122.459431","4902 S Alaska St, Tacoma, Washington, 98408-0000","4902 S Alaska St, Tacoma, Washington, 98408-0000","1","1"
"481","2016-17","School","101470","Apollo Elementary","King","Puget Sound Educational Service District 121","100006","17411","Issaquah School District","100111","3746","Apollo Elementary","101470","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.497455","-122.138804","15025 SE 117TH ST, RENTON, Washington, 98059-6017","15025 SE 117TH ST, RENTON, Washington, 98059-6017","0","0"
"482","2016-17","School","103291","Apple Valley Elementary","Yakima","Educational Service District 105","100002","39208","West Valley School District (Yakima)","100292","3699","Apple Valley Elementary","103291","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.597925","-120.62414","7 N 88th Avenue, Yakima, Washington, 98908-1408","7 N 88th Avenue, Yakima, Washington, 98908-1408","0","0"
"483","2016-17","School","101102","Arbor Heights Elementary School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2730","Arbor Heights Elementary School","101102","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.509617","-122.377991","3701 SW 104th Street, SEATTLE, Washington, 98146","3701 SW 104th Street, SEATTLE, Washington, 98146","6","6"
"484","2016-17","School","102856","Arcadia Elementary","Spokane","Educational Service District 101","100001","32414","Deer Park School District","100067","2173","Arcadia Elementary","102856","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.950148","-117.4581","E. 1120 """"D"""" Street, Deer Park, Washington, 99006-0610","E. 1120 """"D"""" Street P.O. Box 610, Deer Park, Washington, 99006-0610","0","0"
"485","2016-17","School","101386","Ardmore Elementary School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3633","Ardmore Elementary School","101386","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.639449","-122.11725","16616 NE 32nd Street, Bellevue, Washington, 98008-2006","16616 NE 32nd St., Bellevue, Washington, 98008-2006","4","4"
"486","2016-17","School","102138","Arlington","Pierce","Puget Sound Educational Service District 121","100006","27010","Tacoma School District","100261","2940","Arlington","102138","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.191666","-122.474092","3002 S 72nd St, Tacoma, Washington, 98409-0000","3002 S 72nd St, Tacoma, Washington, 98409-0000","1","1"
"487","2016-17","School","102706","Arlington Elementary","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","2381","Arlington Elementary","102706","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.716154","-117.37278","6363 N Smith St, Spokane, Washington, 99217-7626","6363 N Smith St, Spokane, Washington, 99217-7626","0","0"
"488","2016-17","School","102563","Arlington High School","Snohomish","Northwest Educational Service District 189","100009","31016","Arlington School District","100014","2523","Arlington High School","102563","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.166072","-122.114933","18821 Crown Ridge Blvd, Arlington, Washington, 98223-4015","18821 Crown Ridge Blvd, Arlington, Washington, 98223-4015","0","0"
"489","2016-17","School","106078","Arlington Open Doors","Snohomish","Northwest Educational Service District 189","100009","31016","Arlington School District","100014","5495","Arlington Open Doors","106078","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.15307","-122.17","4407 172nd ST NE, Arlington, Washington, 98223","4407 172nd ST NE, Arlington, Washington, 98223","0","0"
"490","2016-17","School","102562","Arlington Special Educ School","Snohomish","Northwest Educational Service District 189","100009","31016","Arlington School District","100014","2277","Arlington Special Educ School","102562","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.19553558","-122.1225297","315 N French Ave, Arlington, Washington, 98223","315 N French Ave, Arlington, Washington, 98223","0","0"
"491","2016-17","School","101676","Armin Jahr Elementary","Kitsap","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","3641","Armin Jahr Elementary","101676","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.592845","-122.63571","800 Dibb Street, Bremerton, Washington, 98310-2777","800 Dibb Street, Bremerton, Washington, 98310-2777","2","2"
"492","2016-17","School","101630","Arrowhead Elementary","King","Puget Sound Educational Service District 121","100006","17417","Northshore School District","100174","3107","Arrowhead Elementary","101630","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.737387","-122.251682","6725 NE Arrowhead DR, Kenmore, Washington, 98028-4343","6725 NE Arrowhead DR, Kenmore, Washington, 98028-4343","1","1"
"493","2016-17","School","104336","Arthur Jacobsen Elementary","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5082","Arthur Jacobsen Elementary","104336","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.340084","-122.167962","29205 132ND AVE SE, Auburn, Washington, 98092-2142","29205 132ND AVE SE, Auburn, Washington, 98092-2142","0","0"
"494","2016-17","School","102255","Artondale Elementary School","Pierce","Puget Sound Educational Service District 121","100006","27401","Peninsula School District","100199","3299","Artondale Elementary School","102255","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.29461","-122.621683","6219 40th Street NW, Gig Harbor, Washington, 98335-7299","6219 40th Street NW, Gig Harbor, Washington, 98335-7299","0","0"
"495","2016-17","School","104468","Arts & Academics Academy (Closed after 2016-2017 school year)","King","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","5102","Arts & Academics Academy (Closed after 2016-2017 school year)","104468","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","5","5"
"496","2016-17","School","103225","Artz Fox Elementary","Yakima","Educational Service District 105","100002","39120","Mabton School District","100137","3070","Artz Fox Elementary","103225","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.mabton.wednet.edu/Domain/77","1","2021-02-18T00:00:00.000","46.215326","-119.990285","805 Washington Street, Mabton, Washington, 98935-0040","PO Box 40, Mabton, Washington, 98935-0040","1","1"
"497","2016-17","School","106253","Ashe Preparatory Academy (Closed after 2019-2020 school year)","King","Washington State Charter School Commission","105798","17915","Ashe Preparatory Academy","106185","5602","Ashe Preparatory Academy (Closed after 2019-2020 school year)","106253","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"498","2016-17","School","100354","Asotin Elementary","Asotin","Educational Service District 123","100007","2420","Asotin-Anatone School District","100015","2507","Asotin Elementary","100354","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.34059488","-117.0502581","314 1ST ST, ASOTIN, Washington, 99402-0000","PO Box 489, ASOTIN, Washington, 99402-0000","0","0"
"499","2016-17","School","100353","Asotin Jr Sr High","Asotin","Educational Service District 123","100007","2420","Asotin-Anatone School District","100015","2434","Asotin Jr Sr High","100353","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.34014671","-117.0521685","215 SECOND STREET, ASOTIN, Washington, 99402-0000","PO BOX 489, ASOTIN, Washington, 99402-0000","0","0"
"500","2016-17","School","106407","Aspire Academy","Skagit","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","5625","Aspire Academy","106407","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.39477342","-122.3295259","3302 Cedardale Rd #B300, Mount Vernon, Washington, 98274","3302 Cedardale Rd #B300, Mount Vernon, Washington, 98274","2","2"
"501","2016-17","School","104893","Aspire Middle School","Thurston","Capital Region ESD 113","100004","34003","North Thurston Public Schools","100172","5168","Aspire Middle School","104893","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.001034","-122.805392","5900 54th Ave SE, Lacey, Washington, 98513","5900 54th Ave SE, Lacey, Washington, 98513","0","0"
"502","2016-17","School","104154","Auburn Mountainview High School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.342029","-122.171828","28900 124th AVE SE, Auburn, Washington, 98092-3101","28900 124th AVE SE, Auburn, Washington, 98092-3101","0","0"
"503","2016-17","School","106153","Auburn Opportunity Project","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.30818","-122.23476","401 West Main Street, Auburn, Washington, 98001-5275","401 West Main Street, Auburn, Washington, 98001-5275","0","0"
"504","2016-17","School","101432","Auburn Riverside High School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.267765","-122.222247","501 ORAVETZ RD SE, AUBURN, Washington, 98092-8621","501 ORAVETZ RD SE, AUBURN, Washington, 98092-8621","0","0"
"505","2016-17","School","101417","Auburn Senior High School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.310469","-122.220216","711 E MAIN ST, AUBURN, Washington, 98002-5662","711 E MAIN ST, AUBURN, Washington, 98002-5662","0","0"
"506","2016-17","School","102696","Audubon Elementary","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","2128","Audubon Elementary","102696","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.680031","-117.442181","2020 W Carlisle Ave, Spokane, Washington, 99205-3794","2020 W Carlisle Ave, Spokane, Washington, 99205-3794","0","0"
"507","2016-17","School","102960","Avanti High School","Thurston","Capital Region ESD 113","100004","34111","Olympia School District","100182","1768","Avanti High School","102960","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.043706","-122.887664","1113 LEGION WAY SE, OLYMPIA, Washington, 98501-1652","1113 LEGION WAY SE, OLYMPIA, Washington, 98501-1652","0","0"
"508","2016-17","School","102051","Aylen Jr High","Pierce","Puget Sound Educational Service District 121","100006","27003","Puyallup School District","100207","3447","Aylen Jr High","102051","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.193299","-122.313021","101 15th St SW, Puyallup, Washington, 98371-5251","101 15th St NW, Puyallup, Washington, 98371-5251","0","0"
"509","2016-17","School","101139","B F Day Elementary School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3717","B F Day Elementary School","101139","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.654798","-122.349114","3921 LINDEN AV N, SEATTLE, Washington, 98103-7803","3921 LINDEN AV N, SEATTLE, Washington, 98103-7803","6","6"
"510","2016-17","School","100421","Badger Mountain Elementary","Benton","Educational Service District 123","100007","3400","Richland School District","100218","4060","Badger Mountain Elementary","100421","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.233784","-119.270745","1515 Elementary Street, Richland, Washington, 99352-0000","1515 Elementary Street, Richland, Washington, 99352-0000","0","0"
"511","2016-17","School","101081","Bailey Gatzert Elementary School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2307","Bailey Gatzert Elementary School","101081","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.601215","-122.315507","1301 E YESLER WY, SEATTLE, Washington, 98122-5430","1301 E YESLER WY, SEATTLE, Washington, 98122-5430","6","6"
"512","2016-17","School","101690","Bainbridge High School","Kitsap","Puget Sound Educational Service District 121","100006","18303","Bainbridge Island School District","100017","2395","Bainbridge High School","101690","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.636355","-122.524072","9330 NE High School RD, Bainbridge Island, Washington, 98110-3695","9330 NE High School RD, Bainbridge Island, Washington, 98110-3695","0","0"
"513","2016-17","School","103862","Bainbridge Special Education Services","Kitsap","Puget Sound Educational Service District 121","100006","18303","Bainbridge Island School District","100017","1939","Bainbridge Special Education Services","103862","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.63876084","-122.5217392","8489 Madison Ave NE, Bainbridge Island, Washington, 98110-2999","8489 Madison Ave NE, Bainbridge Island, Washington, 98110-2999","0","0"
"514","2016-17","School","102141","Baker","Pierce","Puget Sound Educational Service District 121","100006","27010","Tacoma School District","100261","3054","Baker","102141","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.181932","-122.446236","8001 So J Street, Tacoma, Washington, 98408-0000","8320 S I St, Tacoma, Washington, 98408-0000","1","1"
"515","2016-17","School","102725","Balboa Elementary","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","3357","Balboa Elementary","102725","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.718352","-117.45595","3010 W Holyoke Ave, Spokane, Washington, 99208-4699","3010 W Holyoke Ave, Spokane, Washington, 99208-4699","0","0"
"516","2016-17","School","101071","Ballard High School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2220","Ballard High School","101071","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.67669","-122.375311","1418 NW 65 ST, SEATTLE, Washington, 98117-5237","1418 NW 65 ST, SEATTLE, Washington, 98117-5237","6","6"
"517","2016-17","School","102056","Ballou Jr High","Pierce","Puget Sound Educational Service District 121","100006","27003","Puyallup School District","100207","3750","Ballou Jr High","102056","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.131959","-122.296351","9916 136th St E, Puyallup, Washington, 98373-5667","9916 136th St E, Puyallup, Washington, 98373-5667","0","0"
"518","2016-17","School","105897","Barbara McClintock STEM Elementary","Franklin","Educational Service District 123","100007","11001","Pasco School District","100195","5391","Barbara McClintock STEM Elementary","105897","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.279278","-119.169759","5706 Road 60, Pasco, Washington, 99301","5706 Road 60, Pasco, Washington, 99301","2","2"
"519","2016-17","School","103192","Barge-Lincoln Elementary School","Yakima","Educational Service District 105","100002","39007","Yakima School District","100303","3138","Barge-Lincoln Elementary School","103192","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.615102","-120.508717","219 E I St, Yakima, Washington, 98901-1999","219 E I St, Yakima, Washington, 98901-1999","0","0"
"520","2016-17","School","106055","Barker Creek Community School","Kitsap","Olympic Educational Service District 114","100005","18401","Central Kitsap School District","100038","5472","Barker Creek Community School","106055","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.62236036","-122.6315209","1400 McWilliams Road, Bremerton, Washington, 98311","PO Box 8, Silverdale, Washington, 98383","0","0"
"521","2016-17","School","100713","Barnes Elementary","Cowlitz","Educational Service District 112","100003","8458","Kelso School District","100115","3323","Barnes Elementary","100713","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.159866","-122.908062","401 Barnes, Kelso, Washington, 98626-0000","401 Barnes, Kelso, Washington, 98626-0000","0","0"
"522","2016-17","School","100784","Basin City Elem","Franklin","Educational Service District 123","100007","11051","North Franklin School District","100168","3325","Basin City Elem","100784","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.59542","-119.153393","303 Bailie Boulevard, Mesa, Washington, 99343-0000","PO Box 829, Connell, Washington, 99326-0829","0","0"
"523","2016-17","School","105981","Bates Technical College - Open Doors","Pierce","NULL","NULL","27931","Bates Technical College","104220","5431","Bates Technical College - Open Doors","105981","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.25196","-122.44649","1101 South Yakima Ave., Tacoma, Washington, 98405","1101 South Yakima Ave., Tacoma, Washington, 98405","0","0"
"524","2016-17","School","104221","Bates Technical High School","Pierce","NULL","NULL","27931","Bates Technical College","104220","5950","Bates Technical High School","104221","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.25196","-122.44649","1101 South Yakima Avenue, Tacoma, Washington, 98405-4895","1101 South Yakima Avenue, Tacoma, Washington, 98405-4895","0","0"
"525","2016-17","School","100634","Battle Ground High School","Clark","Educational Service District 112","100003","6119","Battle Ground School District","100018","2415","Battle Ground High School","100634","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.782094","-122.540213","300 W MAIN ST, BATTLE GROUND, Washington, 98604-0000","PO Box 200, BATTLE GROUND, Washington, 98604-0200","0","0"
"526","2016-17","School","102372","Bay View Elementary","Skagit","Northwest Educational Service District 189","100009","29100","Burlington-Edison School District","100030","4412","Bay View Elementary","102372","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.488201","-122.417656","15241 JOSH WILSON RD, BURLINGTON, Washington, 98233-9648","15241 JOSH WILSON RD, BURLINGTON, Washington, 98233-9648","1","1"
"527","2016-17","School","105642","BBCC Open Doors Re-Engagement Program","Grant","North Central Educational Service District 171","100008","13161","Moses Lake School District","100153","5323","BBCC Open Doors Re-Engagement Program","105642","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.12938752","-119.2734131","309 E. 5th Ave. , Moses Lake , Washington, 98837","309 E. 5th Ave. , Moses Lake , Washington, 98837","0","0"
"528","2016-17","School","103076","Beach Elem","Whatcom","Northwest Educational Service District 189","100009","37502","Ferndale School District","100087","2263","Beach Elem","103076","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.72514516","-122.6872392","3786 Centerview Road, Lummi Island, Washington, 98262-0000","3786 Centerview Road, Lummi Island, Washington, 98262-0000","0","0"
"529","2016-17","School","102233","Beachwood Elementary School","Pierce","Puget Sound Educational Service District 121","100006","27400","Clover Park School District","100047","3454","Beachwood Elementary School","102233","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.119913","-122.587344","8890 Concord Avenue, JBLM Lewis North, Washington, 98433","8890 Concord Avenue, JBLM Lewis North, Washington, 98433","0","0"
"530","2016-17","School","100890","Beacon Avenue Elementary School","Grays Harbor","Capital Region ESD 113","100004","14066","Montesano School District","100151","3661","Beacon Avenue Elementary School","100890","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.98435431","-123.5809623","1717 East Beacon Avenue, Montesano, Washington, 98563-9755","1717 East Beacon Avenue, Montesano, Washington, 98563-9755","0","0"
"531","2016-17","School","100714","Beacon Hill Elementary","Cowlitz","Educational Service District 112","100003","8458","Kelso School District","100115","3578","Beacon Hill Elementary","100714","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.180357","-122.926094","257 Alpha Dr, Longview, Washington, 98632-0000","257 Alpha Dr, Longview, Washington, 98632-0000","0","0"
"532","2016-17","School","101039","Beacon Hill International School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2070","Beacon Hill International School","101039","P","1","One-way","243","Spanish","50-50","Kindergarten","5","http://beaconhilles.seattleschools.org/","1","2021-02-18T00:00:00.000","47.585116","-122.315256","2025 14 AV S, SEATTLE, Washington, 98144-4205","2025 14 AV S, SEATTLE, Washington, 98144-4205","6","6"
"533","2016-17","School","101653","Bear Creek Elementary","King","Puget Sound Educational Service District 121","100006","17417","Northshore School District","100174","4305","Bear Creek Elementary","101653","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.759372","-122.080546","18101 Avondale RD NE, Woodinville, Washington, 98077-9183","18101 Avondale RD NE, Woodinville, Washington, 98077-9183","1","1"
