"stop_id","stop_name","location_1"
"4154","Tillyard Dr before Sadleir Pl","(-35.200397, 149.043274)"
"4257","Kingsford Smith Dr Melba Shops","(-35.208698, 149.047653)"
"3399","Menindee Dr ACT Hospice","(-35.303581, 149.151566)"
"4484","Lance Hill Av after Evelyn Owen Cr","(-35.198318, 149.020462)"
"6052","Cultivation St after Encounter St","(-35.200195, 149.15834)"
"2069","Launceston St Lyons Shops","(-35.339706, 149.076981)"
"3413","City Bus Stn Plt 9","(-35.27803, 149.130737)"
"4610","Macpherson St opp O'Connor Shops","(-35.263828, 149.121567)"
"2712","Woden Bus Stn Plt 12","(-35.344467, 149.08725)"
"4696","Wanganeen Av Ngunnawal PS","(-35.169598, 149.111252)"
"4889","Tillyard Dr Fraser East Terminus","(-35.190083, 149.046478)"
"1217","Box Hill Av Lanyon Marketplace","(-35.456352, 149.092468)"
"3044","Matina St Narrabundah Terminus","(-35.331421, 149.158905)"
"4410","Onslow St opp Latham Shops","(-35.219238, 149.031937)"
"2705","Woden Bus Stn Plt 5","(-35.344463, 149.087234)"
"1191","Knoke Av opp Gordon Primary School","(-35.458122, 149.086121)"
"1385","Longmore Cr after Lobb Pl","(-35.389771, 149.087982)"
"3282","La Perouse St after Fortitude St","(-35.340622, 149.132217)"
"3199","Madigan St after Haddon St","(-35.247097, 149.162964)"
"1057","Hurtle Av Bonython Primary School","(-35.431442, 149.082291)"
"4485","Lance Hill Av after 2nd Alarmon Cr","(-35.198246, 149.020447)"
"4754","Sandford St after Flemington Rd","(-35.221085, 149.1427)"
"3405","City Bus Stn Plt 4","(-35.278511, 149.129959)"
"5007","Baldwin Dr Kaleen HS","(-35.224987, 149.100586)"
"2305","Strickland Cr opp Calvary John James Hosp.","(-35.318363, 149.095337)"
"4194","Kingsford Smith Dr after Krefft Cr","(-35.223541, 149.039093)"
"4221","Shakespeare Cr Fraser West Terminus","(-35.190578, 149.036041)"
"406","MacFarlane Burnet Av before Constance Stone St","(-35.209293, 149.002975)"
"4663","Limestone Av after Treloar St","(-35.279919, 149.146072)"
"2520","Beasley St after Basedow St","(-35.373642, 149.087112)"
