"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607527","2018-12-26T00:00:00.000","ANCOIN ALTERNATIVA CONSULTORIA & INNOVACION CIA LTDA","Republic of Ecuador","44134.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683989","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43571.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617923","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43571.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617922","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43446.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1561641","2018-05-14T00:00:00.000","Individual Consultant","Republic of Ecuador","43446.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683971","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43446.0"
"2019","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617222","2019-01-02T00:00:00.000","Individual Consultant","Republic of Ecuador","43432.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683985","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43432.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617920","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","43432.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1616023","2019-12-27T00:00:00.000","Individual Consultant","Republic of Ecuador","43120.0"
"2021","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641036","2020-09-28T00:00:00.000","Individual Consultant","Republic of Ecuador","43000.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1607146","2019-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","42874.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1683530","2021-11-29T00:00:00.000","ANDREA PAOLA TERÁN ESPINOSA","Republic of Ecuador","42767.0"
"2022","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1682634","2021-10-11T00:00:00.000","ECOEFICIENCIA COMPAÑIA DE CONSULTORIA AMBIENTAL C. LTDA.","Republic of Ecuador","42595.0"
"2021","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1682618","2021-04-26T00:00:00.000","ENERGETICA Y AMBIENTAL EFFICACITAS CONSULTORA CIA LTDA","Republic of Ecuador","42344.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1659693","2021-04-13T00:00:00.000","Individual Consultant","Italian Republic","42000.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1557337","2018-04-02T00:00:00.000","FABIAN RAMIRO AYABACA CAZAR","Republic of Ecuador","41517.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695482","2022-04-20T00:00:00.000","COOPERATIVA DE TRANSPORTE EN CAMIONETAS PLAZA CIVICA","Republic of Ecuador","41474.0"
"2020","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1631309","2020-04-27T00:00:00.000","IMPORTADORA DE SISTEMAS MEDICOS INSISMED CIA. LTDA.","Republic of Ecuador","41170.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629978","2019-12-10T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","40918.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1591826","2016-12-30T00:00:00.000","TACTICA MEDICA- TACTIMED CIA LTDA","Republic of Ecuador","40732.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683979","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","40320.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1645985","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","40040.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629874","2019-12-10T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","39863.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1557333","2018-04-02T00:00:00.000","MARÍA STEPHANIA CABASCANGO JARAMILLO","Republic of Ecuador","38791.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1556462","2018-01-05T00:00:00.000","Individual Consultant","Republic of Ecuador","38779.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549543","2017-02-14T00:00:00.000","Individual Consultant","Republic of Ecuador","38779.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549769","2017-02-01T00:00:00.000","Individual Consultant","Republic of Ecuador","38779.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Non-consulting Services","Education","1689073","2021-10-22T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","38672.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689558","2021-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","38640.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689727","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","38640.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1609056","2019-12-14T00:00:00.000","SUSANA CAROLINA MERIZALDE RHEA","Republic of Ecuador","38640.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1609179","2019-12-14T00:00:00.000","BLADIMIRO HERRERA MOREIRA","Republic of Ecuador","37632.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689543","2021-12-14T00:00:00.000","Individual Consultant","Republic of Ecuador","37632.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547187","2016-09-29T00:00:00.000","COSIDECO","Republic of Ecuador","37204.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619331","2019-12-15T00:00:00.000","MARCELO SEBASTIAN DROUET ARIAS","Republic of Ecuador","36960.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617503","2020-02-01T00:00:00.000","Individual Consultant","Republic of Ecuador","36960.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619114","2019-12-15T00:00:00.000","VÍCTOR JAVIER PRADO ROMERO","Republic of Ecuador","36960.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619375","2019-12-15T00:00:00.000","FAUSTO ALEJANDRO TINGO PROAÑO","Republic of Ecuador","36960.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1598378","2019-10-18T00:00:00.000","Individual Consultant","Republic of Ecuador","36905.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1606922","2019-10-18T00:00:00.000","Individual Consultant","Republic of Ecuador","36905.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1606914","2019-10-18T00:00:00.000","Individual Consultant","Republic of Ecuador","36905.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1606906","2019-10-18T00:00:00.000","Individual Consultant","Republic of Ecuador","36905.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1606905","2019-10-18T00:00:00.000","Individual Consultant","Republic of Ecuador","36905.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1674355","2021-10-06T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","36624.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1639181","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","36109.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615762","2020-03-11T00:00:00.000","Individual Consultant","Republic of Ecuador","35840.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1649059","2020-09-11T00:00:00.000","PRICEWATERHOUSECOOPERS DEL ECUADOR CIA.LTDA.","Republic of Ecuador","35300.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642468","2020-12-01T00:00:00.000","ANDREA PAOLA TERAN ESPINOSA","Republic of Ecuador","35247.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618360","2016-08-29T00:00:00.000","Individual Consultant","Republic of Ecuador","34500.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642936","2020-09-30T00:00:00.000","Individual Consultant","Republic of Ecuador","34272.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1648441","2020-08-12T00:00:00.000","BENALCÁZAR POZO MARÍA FERNANDA","Republic of Ecuador","34272.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1548959","2017-03-23T00:00:00.000","Individual Consultant","Republic of Ecuador","34224.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1702212","2022-06-08T00:00:00.000","Individual Consultant","Republic of Ecuador","34000.0"
"2020","P144489","Quito Metro Line One","Consultant Services","Transportation","1604610","2019-09-09T00:00:00.000","Individual Consultant","Republic of Ecuador","34000.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562483","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562481","2018-04-09T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562476","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562478","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562477","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562488","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","33754.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1609181","2019-12-14T00:00:00.000","GABRIEL FAUSTO GARCÍA CAIZA","Republic of Ecuador","33600.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1609193","2019-12-14T00:00:00.000","MARIA FERNANDA RUALES SUAREZ","Republic of Ecuador","33600.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1555819","2017-12-27T00:00:00.000","MARIA FERNANDA RUALES SUAREZ","Republic of Ecuador","33600.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1609198","2019-12-14T00:00:00.000","NATALIA MARGARITA FRANCO MOLINA","Republic of Ecuador","33600.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1662192","2021-06-07T00:00:00.000","DELOITTE&TOUCHE ECUADOR CI.A LTDA.","Republic of Ecuador","33376.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695481","2022-04-20T00:00:00.000","COMPAÑIA DE TRANSPORTE RIO MOYA S.A. RIOTRANSA","Republic of Ecuador","33242.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695471","2022-04-20T00:00:00.000","COOPERATIVA DE SERVICIO COMERCIAL EXCLUSIVO DE TRANSPORTE MIXTO EN PASAJEROS Y C","Republic of Ecuador","33242.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695480","2022-04-20T00:00:00.000","COOPERATIVA DE TRANSPORTE DE CAMIONETAS 12 DE ENERO","Republic of Ecuador","33242.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1590416","2019-06-28T00:00:00.000","ENERGETICA Y AMBIENTAL EFFICACITAS CONSULTORA CIA LTDA","Republic of Ecuador","32688.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547222","2016-10-31T00:00:00.000","AUTOMOTORES DE LA SIERRA S.A.","Republic of Ecuador","32635.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608453","2018-12-26T00:00:00.000","ANCOIN ALTERNATIVA CONSULTORIA & INNOVACION CIA LTDA","Republic of Ecuador","32116.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549141","2017-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","32077.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549142","2017-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","32077.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616706","2019-11-15T00:00:00.000","Individual Consultant","Republic of Ecuador","31933.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616691","2019-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","31933.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616352","2019-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","31933.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616362","2019-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","31933.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616689","2019-11-21T00:00:00.000","Individual Consultant","Republic of Ecuador","31933.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1616017","2019-12-27T00:00:00.000","Individual Consultant","Republic of Ecuador","31911.0"
"2022","P172899","Promoting Access to Finance for Productive Purposes for MSMEs","Consultant Services","Financial Sector","1688026","2022-02-15T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","31900.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1683940","2021-12-09T00:00:00.000","ERNST & YOUNG ECUADOR E&Y CIA. LTDA.","Republic of Ecuador","31764.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617934","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","31679.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683999","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","31679.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642463","2020-10-21T00:00:00.000","LAURA GABRIELA SUÁREZ BUITRÓN","Republic of Ecuador","31500.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1691299","2021-11-29T00:00:00.000","MAIRA VIVIANA CEDEÑO CASTRO","Republic of Ecuador","31188.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1691318","2021-11-29T00:00:00.000","BENALCÁZAR POZO MARÍA FERNANDA","Republic of Ecuador","31182.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1609382","2019-09-27T00:00:00.000","Individual Consultant","Republic of Ecuador","31113.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1683646","2021-12-28T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","30016.0"
"2019","P144489","Quito Metro Line One","Consultant Services","Transportation","1607046","2019-03-13T00:00:00.000","Individual Consultant","Republic of Ecuador","30000.0"
"2021","P144489","Quito Metro Line One","Consultant Services","Transportation","1675140","2021-04-21T00:00:00.000","Individual Consultant","Republic of Ecuador","30000.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1683195","2020-12-01T00:00:00.000","Individual Consultant","Republic of Ecuador","29988.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1683310","2020-12-01T00:00:00.000","Individual Consultant","Republic of Ecuador","29988.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1618312","2020-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","29928.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641100","2016-11-07T00:00:00.000","RUBÉN FRANCISCO FÉLIX DELGADO","Republic of Ecuador","29144.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1704344","2022-05-09T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","29120.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607721","2018-12-11T00:00:00.000","FUNDACION RIKCHARINA","Republic of Ecuador","28889.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617499","2019-03-27T00:00:00.000","ANCOIN ALTERNATIVA CONSULTORIA & INNOVACION CIA LTDA","Republic of Ecuador","28884.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1682613","2021-12-28T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1682610","2021-12-28T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1682623","2021-12-28T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689734","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689732","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689729","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689556","2021-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689555","2021-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689544","2021-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","28789.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1682984","2020-11-30T00:00:00.000","SANDRA GONZALEZ","Republic of Ecuador","28405.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1564621","2018-04-01T00:00:00.000","SRTA. ANA LIZBETH REYNA RECALDE","Republic of Ecuador","28285.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689725","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","28224.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608785","2018-12-28T00:00:00.000","	CONSULTORES MORAN CEDILLO CIA. LTDA. 	","Republic of Ecuador","28198.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549216","2017-05-11T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549197","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549205","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549208","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1548419","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549213","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549143","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549207","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","28194.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1701222","2020-05-28T00:00:00.000","Individual Consultant","Republic of Ecuador","28000.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546972","2017-04-03T00:00:00.000","Individual Consultant","Republic of Ecuador","27878.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642475","2020-11-09T00:00:00.000","MELISA VIOLETA MAFLA REINOSO","Republic of Ecuador","27846.0"
"2022","P167416","Social Safety Net Project","Goods","Social Protection","1697924","2022-05-30T00:00:00.000","DISTRITO TECH ECUADOR S.A.","Republic of Ecuador","27654.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546981","2017-05-18T00:00:00.000","SISTEMAS DE COMPUTACION SYSTEMBOARD S.A.","Republic of Ecuador","27449.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1555820","2017-12-27T00:00:00.000","GABRIEL FAUSTO GARCIA CAIZA","Republic of Ecuador","27336.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615725","2020-03-03T00:00:00.000","Individual Consultant","Republic of Ecuador","27236.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1694561","2022-03-07T00:00:00.000","CRISTINA CESPEDES MOLINA","Republic of Ecuador","27189.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616373","2019-12-12T00:00:00.000","Individual Consultant","Republic of Ecuador","27178.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1656162","2021-02-26T00:00:00.000","Individual Consultant","Republic of Ecuador","27086.0"
"2021","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1682445","2021-06-01T00:00:00.000","Individual Consultant","Republic of Ecuador","27000.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1644606","2020-12-31T00:00:00.000","Individual Consultant","Republic of Ecuador","26880.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617931","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","26764.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683986","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","26764.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1619060","2020-02-26T00:00:00.000","Individual Consultant","Republic of Ecuador","26611.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616589","2020-01-27T00:00:00.000","Individual Consultant","Republic of Ecuador","26611.0"
