"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"BEARD","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34083052487841, 149.21386526814413)","COPPER CRES"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20607032465225, 149.0348359399701)","TILLYARD DR NR LHOTSKY ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17369532184102, 149.14821159014537)",
"RED HILL","Energy Absorbing column","9 metres",,"3.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.329476497086944, 149.122962907339)","FLINDERS WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18751251742077, 149.13432114162975)","THE VALLEY WAY"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228365781945065, 148.9967030835258)","BOXALL LANE"
"CHARNWOOD","VICPOLE","9 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.206069923435564, 149.0341625879102)","LHOTSKY ST NR TILLYARD DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14644619954214, 149.1217672256245)","KECH ST"
"GUNGAHLIN","Tapered octagonal column","9 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.18155949657795, 149.12865167522918)","MIRRABEI DR INT GUNDAROO DR"
"PHILLIP","STRUCTURE",,,"NONE","NCO","MERCURY LOW PRESURE FLUORESCEN","6","
,  
(-35.42450694106767, 149.07163425710309)","U/P OFF AINSWORTH ST TO BUTTERS DR"
"RED HILL","Energy Absorbing column","9 metres",,,"SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.32977246830815, 149.12257702810726)","MUGGA WAY"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.206980488955146, 149.03366344545523)","GINNINDERRA DR NR TILLYARD DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.15017883357562, 149.12139675585823)","YALI ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.1708949798865, 149.14873745711253)","ZAKHAROV AVE"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32049577979865, 149.19821164038223)","GLENORA DRIVE AND PIALLIGO AVENUE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17273905637459, 149.14838719515893)",
"GRIFFITH","Rigid column",,,"NONE",,"MERCURY VAPOUR","1","
,  
(-35.42456969688888, 149.07227291557749)","LIGHT ST"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.2908346697581, 149.1262945153179)","HENRY ROLLAND PARK"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.227551391415545, 148.99503014607387)","PRO HART AVE"
"AMAROO","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.178546283959605, 149.12542704108145)","MIRRABEI DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14723660294122, 149.1228503688031)","YALI ST"
"ACTON","BRICK WALL",,,,,,"1","
,  
(-35.290079709044996, 149.12623316786832)","HENRY ROLLAND PARK"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14341314295017, 149.114254400311)","PROUDFOOT RISE"
"FYSHWICK","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.323147996162106, 149.15573382734192)","MILDURA ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31313878474983, 149.147180711622)","KINGSTON FORESHORE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.277254944135024, 149.1315897544478)","MURULLA LANE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.277922695192906, 149.13630203588903)","BATMAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14708207588558, 149.11524033285)","WINSOME STREET"
"CITY","No column hard surface mounted",,,,"SPECIAL","LIGHT EMITTING DIODE","1","
,  
(-35.278812605282496, 149.12836887834348)","ODGERS LANE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.229761125556614, 148.99762405729336)","FAIRBROTHER ST"
"DICKSON","Slip base column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24747081049975, 149.15320979053385)","ANTILL ST NR PHILLIP AV"
"ISABELLA PLAINS","BUS SHELTER",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.424043936498435, 149.10314402540897)","ASHLEY DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14783085974711, 149.1182892147095)","ROMBERG WAY"
"WANNIASSA","Rigid column",,,,,,,"
,  
(-35.40297454860076, 149.09464009507488)",
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.166839371309685, 149.13774826742136)","HORSE PARK DRIVE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27805987719905, 149.13594873595252)","BATMAN ST"
"ACTON","TUNNEL",,"TUNNEL",,,"MERCURY HIGH PRESURE PHOSPHOR","582","
,  
(-35.42456959379518, 149.07247110571927)","STREETLIGHTS IN ACTON TUNNEL - WEST BOUND"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.227929053101434, 148.99568603953773)","QUINTAL COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14932630772462, 149.12290150829438)","EVERIST ST"
"BONNER","Rigid column","9 metres",,"4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.16123175799494, 149.13983328690387)","MABO BOULEVARD"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145843376216874, 149.11459658877533)","WINSOME STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1496692202958, 149.12273557441236)","EVERIST ST"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.188690061641104, 149.1342927529352)","GUNGAHLIN PLACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228803803934795, 148.9972099848169)","FAIRBROTHER ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.311477930681406, 149.1462186642259)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148395581061955, 149.1222970684754)","YALI ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31289454239193, 149.14703923145044)","KINGSTON FORESHORE"
"GREENWAY","Rigid column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41553204332367, 149.06768026754187)","ANKETELL STREET"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18926309439122, 149.13619694761715)","CAMILLERI WAY"
"AMAROO","VICPOLE","10.5 metres",,"4.5 M SINGLE","GERRARD ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.169677426689944, 149.13827963467523)","KATHERINE AVE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.27741644730663, 149.13156343193157)","MURULLA LANE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27812390281847, 149.1357849648542)","BATMAN ST"
"GUNGAHLIN","Rigid column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.182525794599194, 149.1506016784903)","HORSEPARK DR"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.341053430984275, 149.2147261896054)","RAILWAY ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17351071806594, 149.14417005007004)",
"GUNGAHLIN (RURAL DIST.)","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.21334333721812, 149.18058473189052)","HORSE PARK DRIVE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.19052160159011, 149.14284983547117)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18754798821974, 149.13453357492267)","THE VALLEY WAY"
"ACTON","BRICK WALL",,,,,,,"
,  
(-35.29029437921492, 149.12626687522808)","HENRY ROLLAND PARK"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.147031765773875, 149.12049307467043)","KARL LANGER CRES"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.19018812174682, 149.14257163725333)","CAMILLERI WAY"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32045605581126, 149.19890325494717)","GENORA DRIVE AND PIALLIGO AVENUE"
"STRATHNAIRN","FORDE COLUMN","4.5 metres",,"4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22862843249767, 148.99691640812352)","BOXALL LANE"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.380305792129235, 149.0583096680455)","PRIMMER COURT"
"CITY","Energy Absorbing column","5 metres","STEEL ORDINARY","3.5 M TWIN","SPECIAL","METAL HALIDE","2","
,  
(-35.27887208859332, 149.12835996395586)","ODGERS LANE BTWN WEST ROW & NTHBOURNE AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14599256847115, 149.11813324661983)","BEA HUTTON CLOSE"
"KAMBAH","Rigid column","5 metres","STEEL SPECIAL","0.3 M SINGLE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.38016707948675, 149.05797705974234)","KAMBAH VILLAGE, REST AREA"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.17069206435088, 149.1465451768241)","FRANCIS FORDE BLVD"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.188916891063236, 149.13440058040078)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14384521541652, 149.11534338691754)","PROUDFOOT RISE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M FOUR WAY","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.150207349411424, 149.12072302221745)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145918294679355, 149.11601422202455)","ARNEY CLOSE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.185735302205345, 149.11994634169662)","GUNDAROO DR"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17632946339175, 149.14023069800996)","HORSE PARK DRIVE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17459747575526, 149.1397746384967)","HORSE PARK DRIVE"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31283883298604, 149.14663960224115)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14829718478348, 149.11559799288105)","ROMBERG WAY"
"AINSLIE","CONCRETE WITH HV/LV DIST","6.5 metres","CONCRETE COLUMN","0.6 M SINGLE","SYLVANIA SUBURBAN ECO","COMPACT FLUORESCENT","1","
,  
(-35.25878166049505, 149.14069339418495)","COWPER ST NR BONNEY ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31216181318653, 149.146614796201)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146552610868945, 149.11668330794836)","PROUDFOOT RISE"
"LYNEHAM","Rigid column","6.5 metres","STEEL ORDINARY","0.15 M SINGLE","SYLVANIA URBAN AEROSCREENED","COMPACT FLUORESCENT","1","
,  
(-35.25362215286321, 149.13258298849846)",
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M TWIN","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.206312392683316, 149.03461475171693)","LHOTSKY ST INT TILLYARD DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.17593515756758, 149.14623338021232)","DAVID WALSHE AVE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.174959045462195, 149.13946067620145)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14734965886517, 149.12038169300388)","KARL LANGER CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146843511472625, 149.12294479287584)","YALI ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.142498198723324, 149.1147836861457)","PROUDFOOT RISE"
"AMAROO","VICPOLE","10.5 metres",,"4.5 M SINGLE","GERRARD ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.169490808573094, 149.13820316624745)","KATHERINE AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1455372733823, 149.1167838536482)","IWANOFF STREET"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17260891236675, 149.13913235828215)","HORSE PARK DRIVE"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.37987411600485, 149.05781343772068)","PRIMMER COURT"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31037586254506, 149.14505276007534)","PARK OFF EASTLAKE PARADE"
"TAYLOR","FORDE COLUMN","6 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14925896414847, 149.10100948732685)","VAHLAND STREET"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18957488703128, 149.13951240457303)","CAMILLERI WAY"
"SCULLIN","Rigid column",,,,,,,"
,  
(-35.2360321104037, 149.03974473894536)",
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.189583586862035, 149.13799147954288)","CAMILLERI WAY"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16706988962178, 149.1379031128471)","HORSE PARK DRIVE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18912016085197, 149.13580094523928)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14615645617432, 149.1147282300962)","WINSOME STREET"
"NGUNNAWAL","Tapered octagonal column","4.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18283785022723, 149.12612534956244)","GUNDAROO DR NR NARI ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.147069918416236, 149.1192764873945)","ROMBERG WAY"
"WRIGHT","FORDE COLUMN","9 metres",,"3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.31340864156386, 149.03224700889666)","JOHN GORTON DRIVE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17683211986625, 149.14046690555148)","HORSE PARK DRIVE"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28125485110242, 149.1339955940136)","AKUNA STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14269706351654, 149.11509704365974)","PROUDFOOT RISE"
"KAMBAH","Rigid column","5 metres","STEEL SPECIAL","0.3 M SINGLE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.38006283314367, 149.05797654577827)","KAMBAH VILLAGE REST AREA"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.167257732848746, 149.13839583479503)","HOSRE PARK DRIVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31177102364628, 149.14638843376184)","KINGSTON FORESHORE"
"GUNGAHLIN","Tapered octagonal column","12 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18204839569537, 149.12862882711596)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"NGUNNAWAL","MULTIFUNCTION","12 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.181830420974045, 149.12837616265284)","GUNDAROO DR INT MIRRABEI DR"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.37978882296351, 149.05778983737204)","PRIMMER COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14762053659413, 149.12291098092297)","YALI ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.2279393964035, 148.9959039039844)","QUINTAL COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14973433544011, 149.11791937621163)","WHITMAN CRESCENT"
"GREENWAY","Rigid column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41579606750283, 149.0678824239304)","ANKETELL STREET"
"CITY","No column hard surface mounted",,,,"SPECIAL","LIGHT EMITTING DIODE","1","
,  
(-35.27900537100182, 149.1283377265485)","ODGERS LANE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18347881422973, 149.1248810419393)","GUNDAROO DR NR NARI ST"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.281650030932624, 149.1346683316163)","BUNDA STREET"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17436828756485, 149.14690727438767)",
"BELCONNEN","STRUCTURE",,,"NONE","CONLUX 2065","PHOTOLUMINESCENCE","7","
,  
(-35.424525253344385, 149.07107273483356)","PATH BTWN SWANSON CT & CHANDLER ST"
"AMAROO","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.178117687452804, 149.12504535741485)","MIRRABEI DR"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27815188129775, 149.1351494871335)","COOYONG ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17242393578788, 149.14835691605236)",
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.31384012474903, 149.147492960893)","KINGSTON FORESHORE"
"CALWELL","Energy Absorbing column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.4357983845238, 149.1130745179576)","WERE STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.181992216752484, 149.12794605609383)","GUNDAROO DR"
"BRADDON","Slip base column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPEC AEROSCREEN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.278700138828185, 149.1353827203514)","BALLUMBIR ST NR PETRIE ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14766259570333, 149.1171756539313)","SODERSTEN STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14839961598607, 149.1173293766006)","HOLGAR CRESCENT"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18912461374582, 149.13679803502916)","CAMILLERI WAY"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.276863877209166, 149.13166523680752)","MURULLA LANE"
"THARWA","Rigid column",,,,,,,"
,  
(-35.51006034718589, 149.06856138507507)",
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14726097895157, 149.11788925170333)","SODERSTEN STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.17978584768794, 149.126650589021)","MIRRABEI DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17208167279161, 149.14836738013227)",
"KINGSTON","In Ground",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.313516700391446, 149.14731628979604)","KINGSTON FORESHORE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.22760794916943, 148.99544192201014)","PRO HART AVE"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.38009698863175, 149.05838448292909)","PRIMMER COURT"
