"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"194","POINT (-35.18573760986328 149.1366424560547)","259237225.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","2","16738671","None","-35.18573760986328","149.1366424560547","281.4201354980469","IN_TRANSIT_TO","8104"
"58","POINT (-35.19773483276367 149.1499481201172)","238369430.0","2022-08-30T10:00:15.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","12","16738123","None","-35.19773483276367","149.1499481201172","190.85250854492188","IN_TRANSIT_TO","8107"
"193","POINT (-35.22185516357422 149.14474487304688)","255091610.0","2022-08-30T10:00:15.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16738122","None","-35.22185516357422","149.14474487304688","11.917840003967285","IN_TRANSIT_TO","8114"
"62","POINT (-35.25593566894531 149.13287353515625)","217615617.0","2022-08-30T10:00:15.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16738121","None","-35.25593566894531","149.13287353515625","187.03433227539062","IN_TRANSIT_TO","8121"
"61","POINT (-35.239253997802734 149.138916015625)","217858208.0","2022-08-30T10:00:15.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16738119","None","-35.239253997802734","149.138916015625","228.8157958984375","IN_TRANSIT_TO","8117"
"192","POINT (-35.26143264770508 149.13201904296875)","210532824.0","2022-08-30T10:00:15.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","12","16738120","None","-35.26143264770508","149.13201904296875","6.822659492492676","IN_TRANSIT_TO","8124"
"193","POINT (-35.22174835205078 149.144775390625)","255091593.0","2022-08-30T10:00:00.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","6","16737844","None","-35.22174835205078","149.144775390625","11.917840003967285","STOPPED_AT","8112"
"62","POINT (-35.258419036865234 149.13246154785156)","217615339.0","2022-08-30T10:00:00.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16737848","None","-35.258419036865234","149.13246154785156","187.123291015625","IN_TRANSIT_TO","8121"
"192","POINT (-35.26015090942383 149.13221740722656)","210532678.0","2022-08-30T10:00:00.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","12","16737847","None","-35.26015090942383","149.13221740722656","7.183138847351074","IN_TRANSIT_TO","8124"
"58","POINT (-35.19949722290039 149.14950561523438)","238369228.0","2022-08-30T10:00:00.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","12","16737845","None","-35.19949722290039","149.14950561523438","190.5368194580078","IN_TRANSIT_TO","8107"
