"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Firearm shooting (Activity 47)","0690","Current","ACT Smallbore Rifle Club Incorporated","2009-11-16T00:00:00.000",,"Majura","YES"
"Firewood (Activity 44)","0372","Ceased","Dave Clapson","2002-05-08T00:00:00.000","2003-07-31T00:00:00.000","Bodalla","NO"
"Outdoor concerts (Activity 23)","0584","Ceased","Powderchair Pty Ltd","2007-09-10T00:00:00.000","2007-12-10T00:00:00.000","Fortitude Valley","YES"
"Commercial use of chemicals (Activity 29)","0948","Current","J & J French Agriculture Pty Ltd","2013-06-19T00:00:00.000",,"COOMA","YES"
"Commercial use of chemicals (Activity 29)","0906","Current","Dysus Pty Ltd - T/A 3 Rivers Pest Control","2012-06-14T00:00:00.000",,"QUEANBEYAN","YES"
"Commercial use of chemicals (Activity 29)","0583","Ceased","Barker's Business Services Pty Ltd","2007-08-10T00:00:00.000","2008-10-31T00:00:00.000","Charleville","YES"
"Placement of soil on land (Activity 7)","0554","Ceased","ACT Procurement Solutions","2006-09-18T00:00:00.000","2006-08-11T00:00:00.000","Dickson","YES"
"Transport of Controlled Waste (Activity 8)","0706","Ceased","Nowaste Tyre Recycling Pty Ltd","2009-11-25T00:00:00.000","2011-01-18T00:00:00.000","Macgregor","YES"
"Placement of soil on land (Activity 7)","0862","Expired","M & A Forestry Services","2011-10-21T00:00:00.000","2012-10-21T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0247","Ceased","Preci-Spray","2000-03-24T00:00:00.000","2002-03-20T00:00:00.000","Goulburn","NO"
"Commercial use of chemicals (Activity 29)","0390","Ceased","Barrie Toepfer Earthmoving & Land Management Pty Ltd","2002-11-05T00:00:00.000","2004-11-24T00:00:00.000","Wyee","NO"
"Placement of soil on land (Activity 7)","0846","Expired","Territory and Municipal Services Directorate, Parks and Conservation Service","2011-07-21T00:00:00.000","2012-07-21T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0530","Expired","ACT Department of Disability, Housing & Community Services","2005-11-29T00:00:00.000",,"Gungahlin","YES"
"Placement of soil on land (Activity 7)","0466","Ceased","Fairbairn Park Control Council Inc","2004-08-11T00:00:00.000","2005-02-10T00:00:00.000","Manuka","NO"
"Commercial use of chemicals (Activity 29)","0420","Ceased","ACT Tree Felling","2003-09-02T00:00:00.000","2007-11-12T00:00:00.000","CURTIN","YES"
"Placement of soil on land (Activity 7)","0598","Expired","Corkhill Bros. Sales Pty Ltd","2007-12-21T00:00:00.000","2008-12-21T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0831","Expired","Canberra Christian Radio Ltd trading as 1wayFM","2011-03-21T00:00:00.000","2011-03-27T00:00:00.000","Fyshwick","YES"
"Placement of soil on land (Activity 7)","0487","Expired","Billabong Aboriginal Corporation","2004-11-18T00:00:00.000","2005-12-18T00:00:00.000","HOLT","YES"
"Petroleum storage (Activity 30)","0766","Current","United Petroleum Pty Ltd - Amaroo","2010-03-04T00:00:00.000",,"Amaroo","YES"
"Petroleum storage (Activity 30)","0730","Current","Eureka Operations Pty Ltd t/as Coles Express - FYSHWICK","2010-02-19T00:00:00.000",,"FYSHWICK","YES"
"Firewood (Activity 44)","0312","Ceased","Stonehenge (ACT) Pty Ltd","2001-04-30T00:00:00.000","2003-07-31T00:00:00.000","Pialligo","NO"
"Composting (Activity 37)","0318","Current","Corkhill Bros. Sales Pty Ltd","2001-04-30T00:00:00.000",,,"YES"
"Composting (Activity 37)","0318","Current","Corkhill Bros. Sales Pty Ltd","2001-04-30T00:00:00.000",,,"YES"
"Burning off (Activity 28)","0125","Expired","Department of Defence","1998-11-20T00:00:00.000","1998-12-20T00:00:00.000","Duntroon","NO"
"Firewood (Activity 44)","0573","Ceased","Wadjadoin","2007-05-31T00:00:00.000","2009-07-16T00:00:00.000","CURTIN","YES"
"Commercial use of chemicals (Activity 29)","0486","Current","Royal Canberra Golf Club Ltd","2004-09-16T00:00:00.000",,"Yarralumla","YES"
"Firewood (Activity 44)","0896","Ceased","Tinderry Firewood","2012-03-27T00:00:00.000","2017-08-31T00:00:00.000","Tinderry","YES"
"Commercial use of chemicals (Activity 29)","0841","Ceased","A1 Pest Safe","2011-05-04T00:00:00.000","2012-06-05T00:00:00.000","GORDON","YES"
"Commercial use of chemicals (Activity 29)","0515","Cancelled","Professional Garden Care","2005-05-05T00:00:00.000","2017-10-31T00:00:00.000","Hall","YES"
"Commercial Landfill (Activity 6)","0375","Current","Remondis Australia Pty Ltd","2002-05-21T00:00:00.000",,"various","YES"
"Placement of soil on land (Activity 7)","0551","Expired","Flamen Nominees Pty Ltd","2006-08-29T00:00:00.000","2007-08-28T00:00:00.000","Pialligo","YES"
"Sewage Treatment (Activity 10)","0009","Current","Icon Water Limited","2000-08-07T00:00:00.000",,"Holt","YES"
"Commercial use of chemicals (Activity 29)","0017","Current","Pest Management Capital to Coast","1998-06-12T00:00:00.000",,,"YES"
"Outdoor concerts (Activity 23)","0866","Expired","Servants of Sound Pty Ltd","2011-09-28T00:00:00.000","2011-10-03T00:00:00.000","Weetangera","YES"
"Petroleum storage (Activity 30)","0774","Current","BP Australia Pty Ltd - WATSON","2010-03-25T00:00:00.000",,"Watson","YES"
"Placement of soil on land (Activity 7)","0814","Expired","Dale & Hitchcock Civil Engineering and Landscaping","2011-03-01T00:00:00.000",,,"YES"
"Outdoor concerts (Activity 23)","0528","Expired","Norwood Park Limited","2005-11-24T00:00:00.000","2005-12-18T00:00:00.000","Mitchell","YES"
"Commercial use of chemicals (Activity 29)","0823","Cancelled","Bowman De Vegetation & Civil Pty Ltd","2011-01-05T00:00:00.000","2016-03-08T00:00:00.000","CARGO","YES"
"Petroleum storage (Activity 30)","0300","Current","DIB Group trading as Hill and Co.","2001-04-05T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0237","Ceased","Bauer Property Servcies","1999-11-16T00:00:00.000","2000-10-13T00:00:00.000","Monash","NO"
"Commercial Landfill (Activity 6)","0374","Current","ACT NOWaste","2002-05-23T00:00:00.000",,"Belconnen","YES"
"Commercial production of alcohlic beverages (Activity 35)","0614","Ceased","Cooper Coffman Wine Company Pty Ltd","2008-06-04T00:00:00.000","2011-08-04T00:00:00.000","Lyneham","YES"
"Burning off (Activity 28)","0133","Expired","ACT Parks and Conservation Service","1998-12-04T00:00:00.000","1999-02-07T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0235","Ceased","Yarrowlumla Council","1999-11-02T00:00:00.000","2002-01-07T00:00:00.000","Queanbeyan","NO"
"Outdoor concerts (Activity 23)","0964","Expired","National Australia Day Council","2014-01-17T00:00:00.000","2014-01-25T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","0612","Expired","Chief Ministers, Treasury & Economic Development Directorate","2008-06-27T00:00:00.000","2008-03-10T00:00:00.000","PARKES","YES"
"Firewood (Activity 44)","0323","Ceased","Capital Landscape Group Pty Ltd","2001-04-30T00:00:00.000","2012-06-04T00:00:00.000","Fyshwick","YES"
"Motor racing event (Activity 26)","0812","Expired","Canberra Stadium","2010-10-18T00:00:00.000","2010-10-23T00:00:00.000","Bruce","YES"
"Placement of soil on land (Activity 7)","0967","Expired","Lend Lease Communities (Casey 2) P/L and MRPC No. 601 P/L","2014-02-28T00:00:00.000","2015-02-27T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0472","Ceased","Brumbies Rugby","2004-08-19T00:00:00.000","2014-04-29T00:00:00.000","Griffith","YES"
"Commercial use of chemicals (Activity 29)","0957","Current","Canberra Cemeteries","2013-09-24T00:00:00.000",,"MITCHELL","YES"
"Placement of soil on land (Activity 7)","0958","Expired","ACT Parks and Conservation","2013-11-21T00:00:00.000","2014-11-21T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0016","Ceased","Brett Holden Pest Management and Carpet Cleaning","1998-06-12T00:00:00.000","2000-10-13T00:00:00.000","Queanbeyan","NO"
"Outdoor concerts (Activity 23)","0803","Expired","Servants Of Sound","2010-09-29T00:00:00.000","2010-10-06T00:00:00.000","Kowen Forest","YES"
"Placement of soil on land (Activity 7)","0633","Ceased","Hewatt Earthworks Pty Ltd","2008-10-17T00:00:00.000","2010-10-17T00:00:00.000","Majura","YES"
"Commercial use of chemicals (Activity 29)","0109","Ceased","Capital Pest Control","1998-09-30T00:00:00.000","2006-11-16T00:00:00.000","Hume","NO"
"Petroleum storage (Activity 30)","0703","Ceased","Abigroup Contractors Pty Ltd","2010-01-22T00:00:00.000","2013-06-27T00:00:00.000","Mt Stromlo","YES"
"Firewood (Activity 44)","0434","Ceased","Top Grade Firewood","2003-11-18T00:00:00.000","2007-02-28T00:00:00.000","Mongarlowe","YES"
"Outdoor concerts (Activity 23)","0617","Expired","Chief Ministers Department","2008-04-22T00:00:00.000","2008-04-24T00:00:00.000","Canberra","YES"
"Outdoor concerts (Activity 23)","0698","Expired","UCU LTD","2009-10-30T00:00:00.000","2009-10-31T00:00:00.000","Bruce","YES"
"Firewood (Activity 44)","0382","Ceased","Norman Larden","2002-08-05T00:00:00.000","2003-10-08T00:00:00.000","Tomakin","NO"
"Firewood (Activity 44)","0576","Ceased","Andrew Haydon","2007-06-22T00:00:00.000","2017-08-31T00:00:00.000","Cobargo","YES"
"Placement of soil on land (Activity 7)","0840","Expired","Property Branch - Asset Management and Parliamentary Services,Department of Finance and Deregulation","2011-08-26T00:00:00.000","2013-08-26T00:00:00.000","Parkes","YES"
"Composting (Activity 37)","0642","Current","Canberra Sand & Gravel Pty Ltd","2008-09-30T00:00:00.000",,"Macgregor","YES"
"Placement of soil on land (Activity 7)","0777","Ceased","ACTEW Corporation","2010-03-05T00:00:00.000","2010-05-07T00:00:00.000","Williamsdale","YES"
"Commercial use of chemicals (Activity 29)","0546","Current","Forest Air Helicopters (Aust.) Pty Ltd","2006-06-26T00:00:00.000",,"Table Top","YES"
"Commercial use of chemicals (Activity 29)","0391","Ceased","Ace Pest Reports","2002-11-07T00:00:00.000","2005-02-03T00:00:00.000","Chisholm","YES"
"Outdoor concerts (Activity 23)","0559","Ceased","Two Shoes Pty Ltd (Mothership Music)","2006-11-10T00:00:00.000","2007-12-10T00:00:00.000","Parkes","YES"
"Placement of soil on land (Activity 7)","0458","Expired","C.M Morrison","2004-06-22T00:00:00.000",,"Royalla","YES"
"Petroleum storage (Activity 30)","0737","Current","Eureka Operations Pty Ltd t/as Coles Express - DICKSON","2010-02-19T00:00:00.000",,"DICKSON","YES"
"Outdoor concerts (Activity 23)","0825","Expired","Outthere Productions Pty Ltd","2011-01-14T00:00:00.000","2011-01-26T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0577","Ceased","Brodrick, Garry & Donna","2008-01-07T00:00:00.000","2008-01-07T00:00:00.000","Pialligo","YES"
"Operation of crushing, grinding and separation (Activity 43)","0425","Current","Canberra Sand & Gravel Pty Ltd","2006-12-19T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0982","Cancelled","Regional Earth & Acres Rural Contractors Pty Ltd","2014-05-09T00:00:00.000","2016-08-17T00:00:00.000","Queanbeyan","YES"
"Outdoor concerts (Activity 23)","0910","Expired","Kicks Entertainment","2012-09-07T00:00:00.000","2012-11-25T00:00:00.000","city","YES"
"Outdoor concerts (Activity 23)","0833","Ceased","Canberra FM Radio Pty Ltd","2011-04-06T00:00:00.000","2011-04-06T00:00:00.000","City","YES"
"Outdoor concerts (Activity 23)","0769","Expired","National Australia Day Council","2010-04-08T00:00:00.000","2011-04-08T00:00:00.000","Parkes","YES"
"Burning off (Activity 28)","0386","Expired","ACT Workcover","2002-08-21T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","0897","Ceased","Julian Upton","2012-03-29T00:00:00.000","2014-07-30T00:00:00.000","TURNER","YES"
"Sterilisation of clinical waste (Activity 4)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,"Mitchell","YES"
"Outdoor concerts (Activity 23)","0903","Expired","Economic Development Directorate - ACT Government","2012-06-22T00:00:00.000","2013-06-21T00:00:00.000","Braddon","YES"
"Placement of soil on land (Activity 7)","0820","Ceased","ACTEWAGL","2011-06-16T00:00:00.000","2012-06-16T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0500","Expired","Chief Minister's Department","2005-01-12T00:00:00.000",,"City","YES"
"Firewood (Activity 44)","0334","Expired","Aulikki Koskinen & Jari Alarautalahti Partnership","2001-06-25T00:00:00.000","2011-08-18T00:00:00.000","Bunyan","YES"
"Commercial use of chemicals (Activity 29)","0253","Ceased","J & V Jauncey","2000-03-24T00:00:00.000","2010-03-29T00:00:00.000","Carwoola","YES"
"Outdoor concerts (Activity 23)","0566","Expired","Outthere Productions Pty Ltd","2007-03-08T00:00:00.000","2007-03-12T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0910","Expired","Kicks Entertainment","2012-09-07T00:00:00.000","2012-11-25T00:00:00.000","Parkes","YES"
"Commercial use of chemicals (Activity 29)","0485","Cancelled","West Deakin Hellenic Bowling Club","2004-09-16T00:00:00.000",,"Deakin","YES"
"Commercial use of chemicals (Activity 29)","0944","Cancelled","Jims Pest Control ACT & Canberra Pest & Termite  - Asset First Pty Ltd","2013-04-19T00:00:00.000","2015-07-21T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0943","Cancelled","Martin Campbell","2013-04-19T00:00:00.000","2017-01-17T00:00:00.000","DUNTROON","YES"
"Commercial use of chemicals (Activity 29)","0899","Cancelled","Darwin Espinosa","2012-04-03T00:00:00.000","2016-09-05T00:00:00.000","Batehaven","YES"
"Outdoor concerts (Activity 23)","0956","Expired","Chief Minister & Treasury Directorate","2013-10-15T00:00:00.000","2013-10-19T00:00:00.000","Canberra","YES"
"Outdoor concerts (Activity 23)","0768","Expired","UCU LTD","2010-03-03T00:00:00.000","2010-05-10T00:00:00.000","Bruce","YES"
"Placement of soil on land (Activity 7)","0949","Cancelled","CMTEDD - National Arboretum Canberra","2013-08-28T00:00:00.000","2016-08-11T00:00:00.000","Weston Creek","YES"
"Outdoor concerts (Activity 23)","0649","Ceased","ACT Chief Minister's Department","2008-11-24T00:00:00.000","2008-12-06T00:00:00.000","Canberra City","YES"
"Commercial use of chemicals (Activity 29)","0619","Current","A1 Professional Pest Control","2008-04-30T00:00:00.000",,"Macgregor","YES"
"Commercial use of chemicals (Activity 29)","0014","Current","Canberra Pest Control","1998-06-17T00:00:00.000",,"Nicholls","YES"
"Petroleum storage (Activity 30)","0733","Current","Eureka Operations Pty Ltd t/as Coles Express - WANNIASSA","2010-02-19T00:00:00.000",,"WANNIASSA","YES"
"Placement of soil on land (Activity 7)","0258","Expired","Canberra Rifle Club","2000-05-17T00:00:00.000","2001-05-31T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0776","Cancelled","McLachlan & Sons","2010-02-01T00:00:00.000","2017-02-13T00:00:00.000","GRAFTON","YES"
"Petroleum storage (Activity 30)","0745","Cancelled","Caltex Petroleum Pty Ltd  - KAMBAH","2011-10-19T00:00:00.000",,"KAMBAH","YES"
"Outdoor concerts (Activity 23)","0647","Expired","Landspeed Pty Ltd","2009-11-21T00:00:00.000","2008-11-23T00:00:00.000","Downer","YES"
"Placement of soil on land (Activity 7)","0993","Expired","ACT Nudist Club Inc","2014-09-09T00:00:00.000","2017-09-08T00:00:00.000","Kowen","YES"
"Commercial use of chemicals (Activity 29)","0394","Ceased","H.S. Thompson","2002-12-20T00:00:00.000","2008-04-09T00:00:00.000","Laggan","YES"
"Placement of soil on land (Activity 7)","0596","Expired","Sporting Shooters Association Australia (ACT) Incorporated","2007-11-23T00:00:00.000","2008-11-23T00:00:00.000","Majura","NO"
"Motor racing event (Activity 26)","0003","Current","Fairbairn Park Control Council","1998-06-12T00:00:00.000",,"Majura","YES"
"Commercial use of chemicals (Activity 29)","0624","Ceased","SD & JL Pty Ltd","2008-05-09T00:00:00.000","2011-06-27T00:00:00.000","Gordon","NO"
"Firewood (Activity 44)","0454","Ceased","John Perrin","2004-04-16T00:00:00.000","2005-07-25T00:00:00.000","Carwoola","NO"
"Firewood (Activity 44)","0308","Ceased","ACT Fast Glass Pty Ltd","2001-04-30T00:00:00.000","2003-07-31T00:00:00.000","Queanbeyan","NO"
"Commercial use of chemicals (Activity 29)","0492","Ceased","Resorts CM Pty Ltd","2004-10-11T00:00:00.000","2007-11-23T00:00:00.000","Lyneham","YES"
"Conduct of a crematorium (Activity 5)","0001","Current","Norwood Park Limited","1998-06-10T00:00:00.000",,"Mitchell","YES"
"Timber (Activity 38)","0567","Cancelled","Nowaste Woodbusters Pty Ltd","2007-06-04T00:00:00.000","2018-08-22T00:00:00.000",,"YES"
"Motor racing event (Activity 26)","0254","Expired","Canberra Tourism & Events Corporation","2000-04-18T00:00:00.000","2000-05-31T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0242","Ceased","Aussie Quality Gardens","2000-03-24T00:00:00.000","2004-02-04T00:00:00.000","Torrens","YES"
"Operation of crushing, grinding and separation (Activity 43)","0695","Ceased","Skippy Bins","2009-10-30T00:00:00.000","2014-10-31T00:00:00.000","Macgregor","YES"
"Placement of soil on land (Activity 7)","0784","Expired","Trevaskis, Greame","2010-06-28T00:00:00.000","2013-06-28T00:00:00.000","MacGregor","NO"
"Commercial use of chemicals (Activity 29)","0267","Ceased","Leaves Away","2000-08-21T00:00:00.000","2002-12-09T00:00:00.000","Queanbeyan","NO"
"Petroleum storage (Activity 30)","0752","Ceased","Caltex Petroleum Pty Ltd - LYNEHAM","2011-10-03T00:00:00.000","2012-06-13T00:00:00.000","LYNEHAM","NO"
"Firewood (Activity 44)","0637","Ceased","SCTS Pty Ltd/ T/A Saphire Coast Firewood Supplies","2008-10-20T00:00:00.000","2017-08-31T00:00:00.000","Queanbeyan","YES"
"Commercial use of chemicals (Activity 29)","0021","Ceased","Fumapest Monaro Pty Ltd","1998-06-22T00:00:00.000","2001-06-18T00:00:00.000","Queanbeyan","NO"
"Commercial use of chemicals (Activity 29)","0204","Ceased","A Target Pest Control","1999-05-14T00:00:00.000","2000-08-18T00:00:00.000","Macquarie","NO"
"Preservation of wood designed to process 10 000m3 or more of wood per year (Activity 40)","0385","Ceased","Koppers Timber Preservation","2002-07-25T00:00:00.000","2005-12-14T00:00:00.000","Hume","YES"
"Commercial use of chemicals (Activity 29)","0561","Current","Dan Grant","2006-12-08T00:00:00.000",,"Queanbeyan","YES"
"Burning off (Activity 28)","0199","Expired","ACT Parks and Conservation Service","1999-03-26T00:00:00.000","1999-06-25T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0369","Ceased","Green Edge Pty Ltd","2002-04-09T00:00:00.000","2004-06-18T00:00:00.000","Weston","NO"
"Commercial use of chemicals (Activity 29)","0145","Ceased","John McRae Pest Control","1999-01-09T00:00:00.000","2002-04-10T00:00:00.000","Torrens","NO"
"Treatement of Contaminated Soil  of more than 1000m (Activity 11)","0860","Ceased","Mcgilvray Projects Pty Ltd","2011-10-18T00:00:00.000","2012-10-18T00:00:00.000","Hume","YES"
"Placement of soil on land (Activity 7)","0432","Ceased","Roads ACT","2003-11-11T00:00:00.000","2005-02-08T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0585","Current","Environmental and Agricultural Services Pty Ltd","2007-08-15T00:00:00.000",,"Bungendore","YES"
"Commercial Landfill (Activity 6)","0141","Expired","ACT Waste","1998-11-30T00:00:00.000","2001-11-30T00:00:00.000",,"NO"
"Petroleum storage (Activity 30)","0804","Ceased","D Group Plant & Equipment Pty Ltd","2010-10-13T00:00:00.000","2013-05-30T00:00:00.000","Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0520","Ceased","ACT Earthmoving","2005-07-07T00:00:00.000","2007-11-01T00:00:00.000",,"YES"
"Firewood (Activity 44)","0331","Ceased","Jugiong Firewood Supplies","2001-05-31T00:00:00.000","2005-10-19T00:00:00.000","Jugiong","NO"
"Sewage Treatment (Activity 10)","0417","Current","Queanbeyan Palerang City Council","1999-12-24T00:00:00.000",,"Oaks Estate","YES"
"Outdoor concerts (Activity 23)","0939","Expired","University Of Canberra Union","2012-04-24T00:00:00.000","2013-04-30T00:00:00.000","Bruce","YES"
"Firewood (Activity 44)","0371","Ceased","Michael Warner","2002-05-08T00:00:00.000","2003-08-12T00:00:00.000","Queanbeyan","NO"
"Production of concrete (Activity 41)","0325","Ceased","Rocla Pavers and Masonary","2001-05-14T00:00:00.000","2003-09-09T00:00:00.000","fyshwick","YES"
"Firewood (Activity 44)","0787","Ceased","Wayne Michael Parnell and David John Waplington","2010-05-24T00:00:00.000","2013-11-18T00:00:00.000","Mt Pritchard","YES"
"Outdoor concerts (Activity 23)","0560","Ceased","Chief Minister's Department","2006-12-12T00:00:00.000","2007-01-02T00:00:00.000","Canberra City","YES"
"Outdoor concerts (Activity 23)","0926","Expired","Canberra Racing Club","2013-03-05T00:00:00.000","2013-03-11T00:00:00.000","Lyneham","YES"
"Placement of soil on land (Activity 7)","0586","Expired","Hewatt Earthworks Pty Ltd","2007-09-25T00:00:00.000","2009-09-25T00:00:00.000","Majura","YES"
"Commercial use of chemicals (Activity 29)","0022","Current","Wilkil Weed and Pest Control","1998-06-24T00:00:00.000",,"Via Sutton","YES"
"Commercial use of chemicals (Activity 29)","0368","Ceased","Fumapest Services ACT Pty Ltd","2002-03-27T00:00:00.000","2006-11-28T00:00:00.000","Dunlop","NO"
"Outdoor concerts (Activity 23)","1230","Expired","Zaccaria Concerts & Touring","2020-01-16T00:00:00.000","2020-02-01T00:00:00.000",,
"Petroleum storage (Activity 30)","0767","Current","Director-General, Transport Canberra and City Services (Transport Operations)","2010-03-04T00:00:00.000",,"Greenway","YES"
"Placement of soil on land (Activity 7)","1094","soil","Canberra Metro Construction - Joint Venture - John Holland Group CPB","2016-08-03T00:00:00.000","2019-08-03T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","1094","soil","Canberra Metro Construction - Joint Venture - John Holland Group CPB","2016-08-03T00:00:00.000","2019-08-03T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1094","soil","Canberra Metro Construction - Joint Venture - John Holland Group CPB","2016-08-03T00:00:00.000","2019-08-03T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1094","soil","Canberra Metro Construction - Joint Venture - John Holland Group CPB","2016-08-03T00:00:00.000","2019-08-03T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1152","Expired","Construction Control Australia Pty Limited","2018-03-15T00:00:00.000","2021-03-14T00:00:00.000",,"YES"
"Petroleum storage (Activity 30)","0753","Current","Ampol Australia Petroleum Pty Ltd - KAMBAH","2011-10-03T00:00:00.000",,"KAMBAH","YES"
"Petroleum storage (Activity 30)","0750","Current","Ampol Australia Petroleum Pty Ltd - NICHOLLS","2011-10-03T00:00:00.000",,"NICHOLLS","YES"
"Petroleum storage (Activity 30)","0744","Current","Ampol Australia Petroleum Pty Ltd - WESTON","2011-10-19T00:00:00.000",,"WESTON","NO"
"Petroleum storage (Activity 30)","0748","Current","Ampol Australia Petroleum Pty Ltd - CALWELL","2011-10-19T00:00:00.000",,"CALWELL","YES"
"Petroleum storage (Activity 30)","0749","Current","Ampol Australia Petroleum Pty Ltd - HOLT","2011-10-19T00:00:00.000",,"HOLT","YES"
"Petroleum storage (Activity 30)","0747","Current","Ampol Australia Petroleum Pty Ltd - BRADDON","2011-10-19T00:00:00.000",,"BRADDON","YES"
"Petroleum storage (Activity 30)","0751","Current","Ampol Australia Petroleum Pty Ltd - KALEEN","2011-10-19T00:00:00.000",,"KALEEN","YES"
"Petroleum storage (Activity 30)","0772","Current","Ampol Australia Petroleum Pty Ltd - MAJURA","2010-04-14T00:00:00.000",,"Canberra Airport","YES"
"Regulated Waste (Activity 9)","1264","Current","Lo Pilato Bros Landscaping Supplies (ACT) Pty Ltd","2021-03-04T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1265","Current","Tom's Pest Control Pty Ltd","2021-03-05T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1266","Current","Canberra Metro Operations Pty Ltd","2021-03-19T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1180","Ceased","Profumigation Pty Ltd","2018-12-04T00:00:00.000","2021-04-19T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1268","Current","Regional Pest Services","2021-04-11T00:00:00.000",,,
"Production of concrete (Activity 41)","0297","Current","Holcim (Australia) Pty Ltd - Fyshwick","2001-04-03T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","1269","Current","Revolution Ag Pty Ltd","2021-04-28T00:00:00.000",,,
"Operation of waste transfer (Activity 48)","1218","Current","Re.Cycle Operations (Canberra) Pty Ltd","2019-11-06T00:00:00.000",,"Hume",
"Composting (Activity 37)","1181","Cancelled","Weilwun Pty Ltd T/As -  The Gungahlin Landscape Supplies","2019-02-14T00:00:00.000","2021-05-25T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1271","Current","Custom Vermin Control","2021-05-27T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1108","Ceased","Capital Pest Control","2016-11-29T00:00:00.000","2021-03-04T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1245","Ceased","Capital Region Environmental Consulting Pty Ltd - T/as Molonglo Consulting","2020-09-07T00:00:00.000","2021-01-29T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1200","Ceased","Andrew Keeley","2019-05-16T00:00:00.000","2020-07-30T00:00:00.000",,
"Placement of soil on land (Activity 7)","1263","Ceased","Glenns Bulk Haulage Pty Ltd","2021-04-12T00:00:00.000","2021-06-15T00:00:00.000","Majura",
"Commercial use of chemicals (Activity 29)","1000","Ceased","Zerobugs","2014-09-16T00:00:00.000","2020-09-14T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0532","Ceased","Stadium Turf Management Pty Ltd","2005-10-19T00:00:00.000","2020-10-08T00:00:00.000","Ainslie","YES"
"Commercial use of chemicals (Activity 29)","1108","Ceased","Capital Pest Control","2016-11-29T00:00:00.000","2021-03-04T00:00:00.000","Duffy","YES"
"Petroleum storage (Activity 30)","0791","Ceased","TransACT Capital Communications Pty Ltd","2010-07-29T00:00:00.000","2020-07-31T00:00:00.000","Dickson","YES"
"Commercial use of chemicals (Activity 29)","1117","Ceased","Warren Rossiter","2017-02-14T00:00:00.000","2021-05-11T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","1227","Ceased","Scott Keogh","2020-01-09T00:00:00.000","2021-02-11T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0241","Ceased","Capital Landscape Contractors Pty Ltd","1999-11-25T00:00:00.000","2021-02-05T00:00:00.000","Lyneham","YES"
"Commercial use of chemicals (Activity 29)","1168","Ceased","Summiitt Earthworks Pty Ltd","2018-08-01T00:00:00.000","2020-09-14T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0384","Current","Burgess Horticultural Services","2002-07-19T00:00:00.000",,"Queanbeyan","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1201","Ceased","Group One Pty Ltd","2019-06-18T00:00:00.000","2020-07-14T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0532","Ceased","Stadium Turf Management Pty Ltd","2005-10-19T00:00:00.000","2020-10-08T00:00:00.000","Acton","YES"
"Commercial use of chemicals (Activity 29)","1078","Ceased","PESTECO Canberra","2016-03-18T00:00:00.000","2021-06-03T00:00:00.000",,"YES"
