"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-08183","2016-03-03T16:33:01.000","March","Thursday","VANDALISM NP","2907 E BUICK CADILLAC BLVD","LB305","BPD","REPORT","POINT (-86.496089 39.158341)"
"B16-08228","2016-03-03T22:30:39.000","March","Thursday","DISTURBANCE IP","221 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.53361 39.167751)"
"B16-08236","2016-03-03T23:14:36.000","March","Thursday","DISTURBANCE IP","245 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534866 39.168297)"
"B16-08237","2016-03-03T23:18:00.000","March","Thursday","DISTURBANCE IP","S GRANT ST & E 4TH ST","LB104","BPD","NO REPORT","POINT (-86.529818 39.165558)"
"B16-08241","2016-03-03T23:44:39.000","March","Thursday","DISTURBANCE IP","245 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534866 39.168297)"
"B16-08243","2016-03-03T23:54:53.000","March","Thursday","NOISE","559 S JUNYA ST","LB406","BPD","NO REPORT","POINT (-86.553084 39.161789)"
"B16-08258","2016-03-04T03:07:40.000","March","Friday","NOISE","601 W KIRKWOOD AVE","LB408","BPD","NO REPORT","POINT (-86.540051 39.16662)"
"B16-08259","2016-03-04T03:25:50.000","March","Friday","DISTURBANCE IP","203 E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.532268 39.169476)"
"B16-08260","2016-03-04T03:55:14.000","March","Friday","DISTURBANCE IP","1705 S HUNTINGTON DR","LB316","BPD","REPORT","POINT (-86.520831 39.147654)"
"B16-08265","2016-03-04T03:58:13.000","March","Friday","NOISE","701 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173592)"
"B16-08279","2016-03-04T09:18:15.000","March","Friday","VANDALISM NP","619 N WASHINGTON ST","LB213","BPD","REPORT","POINT (-86.532339 39.172389)"
"B16-08287","2016-03-04T10:00:48.000","March","Friday","DISTURBANCE IP","N COLLEGE AVE & W 17TH ST","LB519","BPD","NO REPORT","POINT (-86.534699 39.179002)"
"B16-08307","2016-03-04T13:00:31.000","March","Friday","DISTURBANCE IP","1116 N LINDBERGH DR","LB517","BPD","NO REPORT","POINT (-86.552597 39.177452)"
"B16-08358","2016-03-04T19:26:29.000","March","Friday","DISTURBANCE IP","1100 W RAPPEL AVE","LB510","BPD","NO REPORT","POINT (-86.546192 39.187462)"
"B16-08369","2016-03-04T20:14:04.000","March","Friday","NOISE","318 N JEFFERSON ST","LB222","BPD","NO REPORT","POINT (-86.50715 39.168945)"
"B16-08380","2016-03-04T21:40:50.000","March","Friday","NOISE","3239 S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.527805 39.12706)"
"B16-08394","2016-03-04T23:06:01.000","March","Friday","DISTURBANCE IP","105 W 7TH ST","LB101","BPD","NO REPORT","POINT (-86.533976 39.168541)"
"B16-08413","2016-03-05T00:02:46.000","March","Saturday","NOISE","720 S COLLEGE MALL RD","LB305","BPD","NO REPORT","POINT (-86.497893 39.158965)"
"B16-08406","2016-03-05T00:17:43.000","March","Saturday","NOISE","N WALNUT ST & E 10TH ST","LB102","BPD","NO REPORT","POINT (-86.533578 39.171653)"
"B16-08412","2016-03-05T00:18:28.000","March","Saturday","NOISE","1762 N WASHINGTON ST","LB212","BPD","NO REPORT","POINT (-86.532427 39.182018)"
"B16-08410","2016-03-05T00:30:47.000","March","Saturday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-08423","2016-03-05T02:24:23.000","March","Saturday","NOISE","2609 S KENDALL DR","LB422","BPD","NO REPORT","POINT (-86.535638 39.13749)"
"B16-08422","2016-03-05T02:42:21.000","March","Saturday","DISTURBANCE IP","215 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533611 39.16769)"
"B16-08426","2016-03-05T02:48:18.000","March","Saturday","NOISE","103 E 16TH ST","LB213","BPD","NO REPORT","POINT (-86.533485 39.177768)"
"B16-08424","2016-03-05T02:54:44.000","March","Saturday","DISTURBANCE IP","215 N WALNUT ST","LB101","BPD","REPORT","POINT (-86.533611 39.16769)"
"B16-08428","2016-03-05T03:51:04.000","March","Saturday","NOISE","1496 N KINSER PIKE","LB512","BPD","NO REPORT","POINT (-86.537732 39.182277)"
"B16-08443","2016-03-05T09:06:34.000","March","Saturday","DISTURBANCE IP","408 E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.529259 39.167532)"
"B16-08447","2016-03-05T09:38:40.000","March","Saturday","DISTURBANCE IP","1712 S WALNUT ST","LB421","BPD","NO REPORT","POINT (-86.533084 39.148223)"
"B16-08463","2016-03-05T11:36:54.000","March","Saturday","DISTURBANCE IP","1722 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534048 39.182809)"
"B16-08475","2016-03-05T13:24:05.000","March","Saturday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-08478","2016-03-05T13:51:06.000","March","Saturday","NOISE","211 E STATE ROAD 45 46 BYPASS","LB209","BPD","NO REPORT","POINT (-86.532636 39.186296)"
"B16-08481","2016-03-05T14:18:23.000","March","Saturday","ALCOHOL RELATED","528 S COLLEGE AVE","LB410","BPD","NO REPORT","POINT (-86.534959 39.160262)"
"B16-08487","2016-03-05T15:17:25.000","March","Saturday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","REPORT","POINT (-86.531071 39.167544)"
"B16-08492","2016-03-05T16:28:02.000","March","Saturday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-08524","2016-03-05T20:47:15.000","March","Saturday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-08526","2016-03-05T21:21:26.000","March","Saturday","VANDALISM NP","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-08527","2016-03-05T21:42:28.000","March","Saturday","DISTURBANCE IP","423 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52873 39.166533)"
"B16-08528","2016-03-05T21:49:29.000","March","Saturday","DISTURBANCE IP","S WALNUT ST & E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.533629 39.166582)"
"B16-08538","2016-03-05T23:03:51.000","March","Saturday","DISTURBANCE IP","275 E WINSLOW RD","LB327","BPD","NO REPORT","POINT (-86.527295 39.135994)"
"B16-08541","2016-03-05T23:25:45.000","March","Saturday","DISTURBANCE IP","275 E WINSLOW RD","LB327","BPD","NO REPORT","POINT (-86.527295 39.135994)"
"B16-08548","2016-03-05T23:53:55.000","March","Saturday","NOISE","401 W DODDS ST","LB412","BPD","NO REPORT","POINT (-86.537679 39.157455)"
"B16-08551","2016-03-05T23:57:20.000","March","Saturday","NOISE","700 S PARK AVE","LB302","BPD","NO REPORT","POINT (-86.523999 39.160254)"
"B16-08549","2016-03-06T00:01:27.000","March","Sunday","NOISE","600 E 1ST ST","LB302","BPD","NO REPORT",
"B16-08552","2016-03-06T00:09:27.000","March","Sunday","NOISE","946 S MAXWELL TER","LB312","BPD","NO REPORT","POINT (-86.511848 39.156226)"
"B16-08555","2016-03-06T00:49:04.000","March","Sunday","NOISE","209 E 12TH ST","LB213","BPD","NO REPORT","POINT (-86.531698 39.174367)"
"B16-08559","2016-03-06T01:23:07.000","March","Sunday","NOISE","1004 W COUNTRY CLUB DR","LB423","BPD","NO REPORT","POINT (-86.545466 39.13624)"
"B16-08563","2016-03-06T01:53:41.000","March","Sunday","NOISE","600 E 1ST ST","LB302","BPD","NO REPORT",
"B16-08561","2016-03-06T02:05:24.000","March","Sunday","DISTURBANCE IP","507 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.567713 39.160901)"
"B16-08564","2016-03-06T02:26:00.000","March","Sunday","NOISE","700 S WASHINGTON ST","LB301","BPD","NO REPORT","POINT (-86.532415 39.158355)"
"B16-08566","2016-03-06T03:18:06.000","March","Sunday","DISTURBANCE IP","319 N WALNUT ST","LB101","BPD","REPORT","POINT (-86.533592 39.169156)"
"B16-08571","2016-03-06T05:28:30.000","March","Sunday","NOISE","406 E 11TH ST","LB213","BPD","NO REPORT","POINT (-86.529577 39.173436)"
"B16-08578","2016-03-06T07:55:21.000","March","Sunday","VANDALISM NP","110 S WESTPLEX AVE","LB521","BPD","REPORT","POINT (-86.555083 39.166145)"
"B16-08590","2016-03-06T10:52:57.000","March","Sunday","DISTURBANCE NP","425 N HAY ST","LB521","BPD","NO REPORT","POINT (-86.553481 39.17034)"
"B16-08598","2016-03-06T11:45:59.000","March","Sunday","VANDALISM NP","118 N WALNUT ST","LB102","BPD","REPORT","POINT (-86.533618 39.167252)"
"B16-08607","2016-03-06T12:55:51.000","March","Sunday","DISTURBANCE IP","N GRANT ST & E 7TH ST","LB102","BPD","REPORT","POINT (-86.52979 39.168519)"
"B16-08614","2016-03-06T14:49:28.000","March","Sunday","DISTURBANCE IP","111 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529806 39.16604)"
"B16-08634","2016-03-06T17:48:19.000","March","Sunday","DISTURBANCE IP","2440 S HENDERSON ST","LB327","BPD","NO REPORT","POINT (-86.526917 39.137488)"
"B16-08641","2016-03-06T19:20:58.000","March","Sunday","VANDALISM NP","2315 S ROCKPORT RD","LB423","BPD","NO REPORT","POINT (-86.541702 39.143494)"
"B16-08661","2016-03-06T22:25:19.000","March","Sunday","DISTURBANCE IP","919 S ROGERS ST","LB412","BPD","NO REPORT","POINT (-86.538685 39.1573)"
"B16-08674","2016-03-07T01:17:21.000","March","Monday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-08678","2016-03-07T03:02:19.000","March","Monday","NOISE","913 E EMINENCE WAY","LB316","BPD","NO REPORT","POINT (-86.522558 39.145154)"
"B16-08701","2016-03-07T09:05:38.000","March","Monday","VANDALISM NP","714 N WASHINGTON ST","LB213","BPD","REPORT","POINT (-86.532318 39.173344)"
"B16-08717","2016-03-07T09:52:19.000","March","Monday","VANDALISM NP","4101 E MORNINGSIDE DR","LB219","BPD","REPORT","POINT (-86.478576 39.167355)"
"B16-08715","2016-03-07T09:56:37.000","March","Monday","DISTURBANCE IP","515 S WALNUT ST","LB301","BPD","REPORT","POINT (-86.533652 39.160757)"
"B16-08730","2016-03-07T11:43:42.000","March","Monday","DISTURBANCE IP","205 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533636 39.165203)"
"B16-08761","2016-03-07T14:59:52.000","March","Monday","PANHANDLING","4021 W 3RD ST","LB402","BPD","NO REPORT","POINT (-86.58326 39.164654)"
"B16-08792","2016-03-07T19:32:57.000","March","Monday","NOISE","541 W TERRY LN","LB513","BPD","NO REPORT","POINT (-86.539094 39.180072)"
"B16-08796","2016-03-07T20:13:15.000","March","Monday","DISTURBANCE NP","541 W TERRY LN","LB513","BPD","REPORT","POINT (-86.539094 39.180072)"
"B16-08797","2016-03-07T20:38:13.000","March","Monday","DISTURBANCE IP","N ILLINOIS ST & W 12TH ST","LB517","BPD","NO REPORT","POINT (-86.550473 39.174238)"
"B16-08799","2016-03-07T20:57:39.000","March","Monday","DISTURBANCE IP","1112 N LINDBERGH DR","LB517","BPD","REPORT","POINT (-86.552597 39.177436)"
"B16-08814","2016-03-07T22:04:56.000","March","Monday","NOISE","600 E 1ST ST","LB302","BPD","NO REPORT",
"B16-08821","2016-03-07T22:55:05.000","March","Monday","NOISE","400 E MELROSE AVE","LB315","BPD","NO REPORT","POINT (-86.529204 39.149266)"
"B16-08850","2016-03-08T05:45:02.000","March","Tuesday","DISTURBANCE IP","822 W 3RD ST","LB408","BPD","NO REPORT","POINT (-86.543185 39.164298)"
"B16-08865","2016-03-08T08:56:35.000","March","Tuesday","VANDALISM NP","311 E COTTAGE GROVE AVE","LB213","BPD","REPORT","POINT (-86.530471 39.172552)"
"B16-08870","2016-03-08T09:32:58.000","March","Tuesday","VANDALISM NP","308 E COTTAGE GROVE AVE","LB213","BPD","REPORT","POINT (-86.530706 39.172537)"
"B16-08886","2016-03-08T12:23:55.000","March","Tuesday","DISTURBANCE IP","N JACKSON ST & W 17TH ST","LB518","BPD","NO REPORT","POINT (-86.539656 39.179009)"
"B16-08896","2016-03-08T13:01:33.000","March","Tuesday","DISTURBANCE IP","349 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533637 39.163071)"
"B16-08899","2016-03-08T13:32:04.000","March","Tuesday","DISTURBANCE IP","S MORTON ST & W 1ST ST","LB409","BPD","NO REPORT","POINT (-86.536317 39.159379)"
"B16-08913","2016-03-08T14:38:07.000","March","Tuesday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-08916","2016-03-08T15:09:43.000","March","Tuesday","NOISE","512 S MITCHELL ST","LB303","BPD","NO REPORT","POINT (-86.514182 39.161612)"
"B16-08920","2016-03-08T15:26:54.000","March","Tuesday","DISTURBANCE IP","405 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.529728 39.166538)"
"B16-08937","2016-03-08T17:38:43.000","March","Tuesday","NOISE","1427 W ALLEN ST","LB413","BPD","NO REPORT","POINT (-86.549298 39.155797)"
"B16-08959","2016-03-08T21:21:30.000","March","Tuesday","DISTURBANCE IP","2420 E 3RD ST","LB304","BPD","NO REPORT","POINT (-86.504049 39.164249)"
"B16-08972","2016-03-08T22:51:18.000","March","Tuesday","NOISE","120 S BRYAN AVE","LB222","BPD","NO REPORT","POINT (-86.508268 39.165737)"
"B16-08975","2016-03-08T23:13:11.000","March","Tuesday","DISTURBANCE IP","S DUNN ST & E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52825 39.166534)"
"B16-08981","2016-03-08T23:16:07.000","March","Tuesday","NOISE","3113 S ACADIA CT","LB329","BPD","NO REPORT",
"B16-08978","2016-03-08T23:32:32.000","March","Tuesday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-08985","2016-03-08T23:58:10.000","March","Tuesday","NOISE","219 E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.531581 39.168525)"
"B16-08986","2016-03-09T00:06:10.000","March","Wednesday","NOISE","N WALNUT ST & E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.533599 39.168539)"
"B16-08989","2016-03-09T00:17:16.000","March","Wednesday","NOISE","315 W KIRKWOOD AVE","LB103","BPD","NO REPORT","POINT (-86.53629 39.166587)"
"B16-08998","2016-03-09T01:35:56.000","March","Wednesday","DISTURBANCE IP","417 S FESS AVE","LB302","BPD","NO REPORT","POINT (-86.525918 39.162617)"
"B16-09006","2016-03-09T02:20:05.000","March","Wednesday","NOISE","245 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534866 39.168297)"
"B16-09003","2016-03-09T02:24:09.000","March","Wednesday","DISTURBANCE NP","430 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528512 39.166533)"
"B16-09032","2016-03-09T08:34:16.000","March","Wednesday","DISTURBANCE IP","417 W 6TH ST","LB101","BPD","NO REPORT","POINT (-86.538182 39.16758)"
"B16-09052","2016-03-09T10:11:02.000","March","Wednesday","DISTURBANCE IP","1525 S ROGERS ST","LB420","BPD","NO REPORT","POINT (-86.538814 39.1491)"
"B16-09067","2016-03-09T11:10:29.000","March","Wednesday","DISTURBANCE IP","2510 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.545515 39.13956)"
"B16-09107","2016-03-09T15:32:24.000","March","Wednesday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-09131","2016-03-09T20:00:34.000","March","Wednesday","NOISE","1025 W 6TH ST","LB520","BPD","NO REPORT","POINT (-86.546279 39.167627)"
"B16-09133","2016-03-09T20:09:12.000","March","Wednesday","NOISE","581 E HILLSIDE DR","LB314","BPD","NO REPORT","POINT (-86.527283 39.15054)"
"B16-09138","2016-03-09T20:43:31.000","March","Wednesday","NOISE","524 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534833 39.171256)"
"B16-09172","2016-03-10T01:51:46.000","March","Thursday","NOISE","508 S FESS AVE","LB302","BPD","NO REPORT","POINT (-86.525929 39.161951)"
"B16-09217","2016-03-10T11:26:32.000","March","Thursday","VANDALISM NP","2813 E 3RD ST","LB221","BPD","REPORT","POINT (-86.495746 39.164284)"
"B16-09224","2016-03-10T12:34:31.000","March","Thursday","DISTURBANCE IP","3175 W 3RD ST","LB403","BPD","NO REPORT","POINT (-86.574878 39.16452)"
"B16-09309","2016-03-10T23:23:49.000","March","Thursday","NOISE","2222 E 5TH ST","LB222","BPD","NO REPORT","POINT (-86.506363 39.166814)"
"B16-09313","2016-03-11T00:13:18.000","March","Friday","NOISE","425 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533587 39.170322)"
"B16-09318","2016-03-11T00:43:27.000","March","Friday","NOISE","1109 S WASHINGTON ST","LB314","BPD","NO REPORT","POINT (-86.532477 39.153706)"
"B16-09316","2016-03-11T01:12:24.000","March","Friday","DISTURBANCE IP","236 E BROWNSTONE DR","LB213","BPD","NO REPORT",
"B16-09319","2016-03-11T01:14:43.000","March","Friday","NOISE","3421 E LONGVIEW AVE","LB220","BPD","NO REPORT","POINT (-86.490399 39.167676)"
"B16-09321","2016-03-11T01:19:51.000","March","Friday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-09320","2016-03-11T01:22:42.000","March","Friday","NOISE","506 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568145 39.160733)"
"B16-09331","2016-03-11T05:49:00.000","March","Friday","VANDALISM NP","1111 S WASHINGTON ST","LB314","BPD","NO REPORT","POINT (-86.53248 39.153595)"
"B16-09333","2016-03-11T06:11:39.000","March","Friday","DISTURBANCE IP","935 S COPPER BEECH WAY","LB415","BPD","REPORT","POINT (-86.57004 39.15577)"
"B16-09340","2016-03-11T08:00:35.000","March","Friday","VANDALISM NP","312 S SWAIN AVE","LB303","BPD","REPORT","POINT (-86.515269 39.163696)"
"B16-09354","2016-03-11T10:35:49.000","March","Friday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-09366","2016-03-11T12:21:47.000","March","Friday","ALCOHOL RELATED","100 W KIRKWOOD AVE","LMNC","BPD","NO REPORT","POINT (-86.534243 39.166584)"
"B16-09371","2016-03-11T12:40:06.000","March","Friday","DISTURBANCE IP","2200 S ROGERS ST","LB423","BPD","NO REPORT","POINT (-86.538921 39.143101)"
"B16-09407","2016-03-11T16:03:51.000","March","Friday","VANDALISM IP","W 10TH ST & W COTTAGE GROVE AVE","LB518","BPD","REPORT","POINT (-86.544914 39.172594)"
"B16-09408","2016-03-11T16:03:56.000","March","Friday","PANHANDLING","423 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52873 39.166533)"
"B16-09415","2016-03-11T16:23:37.000","March","Friday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-09417","2016-03-11T16:41:38.000","March","Friday","VANDALISM NP","556 S DOLIMAH AVE","LB406","BPD","REPORT","POINT (-86.552142 39.16192)"
"B16-09428","2016-03-11T17:42:20.000","March","Friday","DISTURBANCE IP","E HILLSIDE DR & S PALMER AVE","LB314","BPD","NO REPORT","POINT (-86.529257 39.150492)"
"B16-09429","2016-03-11T18:13:06.000","March","Friday","NOISE","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-09435","2016-03-11T19:20:00.000","March","Friday","NOISE","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-09439","2016-03-11T20:15:22.000","March","Friday","VANDALISM IP","S ROCKPORT RD & W COUNTRYSIDE LN","LB420","BPD","NO REPORT","POINT (-86.54182 39.143378)"
"B16-09443","2016-03-11T21:09:42.000","March","Friday","DISTURBANCE IP","423 E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.52873 39.166533)"
"B16-09445","2016-03-11T21:13:42.000","March","Friday","DISTURBANCE IP","2910 W 3RD ST","LB523","BPD","NO REPORT","POINT (-86.571686 39.16463)"
"B16-09452","2016-03-11T21:54:46.000","March","Friday","NOISE","722 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.524831 39.160364)"
"B16-09473","2016-03-12T00:41:43.000","March","Saturday","NOISE","108 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.533081 39.166573)"
"B16-09484","2016-03-12T02:22:54.000","March","Saturday","NOISE","615 N LINCOLN ST","LB213","BPD","NO REPORT","POINT (-86.531039 39.172302)"
"B16-09483","2016-03-12T02:27:51.000","March","Saturday","DISTURBANCE IP","N COLLEGE AVE & W 7TH ST","LB101","BPD","NO REPORT","POINT (-86.534862 39.168546)"
"B16-09486","2016-03-12T03:16:20.000","March","Saturday","DISTURBANCE IP","2901 W JULIES WAY","LB415","BPD","REPORT","POINT (-86.57107 39.15411)"
"B16-09491","2016-03-12T04:22:16.000","March","Saturday","VANDALISM NP","1004 W COUNTRY CLUB DR","LB423","BPD","REPORT","POINT (-86.545466 39.13624)"
"B16-09505","2016-03-12T07:54:57.000","March","Saturday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-09522","2016-03-12T10:26:54.000","March","Saturday","VANDALISM NP","612 E UNIVERSITY ST","LB302","BPD","REPORT","POINT (-86.526618 39.160372)"
"B16-09523","2016-03-12T10:33:44.000","March","Saturday","VANDALISM NP","S GRANT ST & E 1ST ST","LB301","BPD","REPORT",
"B16-09524","2016-03-12T10:49:45.000","March","Saturday","VANDALISM NP","611 E 1ST ST","LB302","BPD","NO REPORT",
"B16-09529","2016-03-12T11:04:09.000","March","Saturday","VANDALISM NP","412 E UNIVERSITY ST","LB301","BPD","REPORT","POINT (-86.529313 39.16039)"
"B16-09544","2016-03-12T13:48:02.000","March","Saturday","DISTURBANCE IP","310 S COLLEGE AVE","LB103","BPD","NO REPORT","POINT (-86.53491 39.163784)"
"B16-09564","2016-03-12T16:49:53.000","March","Saturday","VANDALISM NP","405 E 1ST ST","LB301","BPD","REPORT",
"B16-09562","2016-03-12T16:50:51.000","March","Saturday","DISTURBANCE IP","501 E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.528013 39.166533)"
"B16-09572","2016-03-12T17:54:11.000","March","Saturday","NOISE","417 N GRANT ST","LB102","BPD","NO REPORT","POINT (-86.529776 39.169915)"
"B16-09600","2016-03-12T21:55:40.000","March","Saturday","DISTURBANCE IP","BS S LIBERTY DR AT KROGER WEST","LB403","BPD","REPORT",
"B16-09636","2016-03-13T08:53:28.000","March","Sunday","DISTURBANCE IP","100 N LINCOLN ST","LB102","BPD","NO REPORT","POINT (-86.53109 39.166547)"
"B16-09641","2016-03-13T10:19:22.000","March","Sunday","NOISE","N JACKSON ST & W 6TH ST","LB520","BPD","NO REPORT","POINT (-86.539853 39.167591)"
"B16-09644","2016-03-13T10:47:47.000","March","Sunday","VANDALISM IP","1200 W 7TH ST","LB521","BPD","NO REPORT","POINT (-86.548441 39.168641)"
"B16-09652","2016-03-13T12:30:39.000","March","Sunday","DISTURBANCE IP","423 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52873 39.166533)"
"B16-09669","2016-03-13T13:23:04.000","March","Sunday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-09675","2016-03-13T15:37:52.000","March","Sunday","DISTURBANCE IP","930 W 17TH ST","LB513","BPD","NO REPORT","POINT (-86.544865 39.179022)"
"B16-09705","2016-03-13T19:45:45.000","March","Sunday","VANDALISM NP","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-09707","2016-03-13T20:14:55.000","March","Sunday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-09722","2016-03-13T22:04:05.000","March","Sunday","NOISE","600 E 1ST ST","LB302","BPD","NO REPORT",
"B16-09744","2016-03-14T04:27:12.000","March","Monday","NOISE","302 N WALNUT ST","LB102","BPD","NO REPORT","POINT (-86.533596 39.168771)"
"B16-09747","2016-03-14T06:28:12.000","March","Monday","DISTURBANCE IP","S WASHINGTON ST & E 3RD ST","LB104","BPD","NO REPORT","POINT (-86.532368 39.164585)"
"B16-09770","2016-03-14T12:06:22.000","March","Monday","VANDALISM NP","715 S HENDERSON ST","LB302","BPD","NO REPORT","POINT (-86.527156 39.159869)"
"B16-09771","2016-03-14T12:13:03.000","March","Monday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-09776","2016-03-14T12:47:46.000","March","Monday","NOISE","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-09782","2016-03-14T14:26:57.000","March","Monday","DISTURBANCE NP","1709 W 8TH ST","LB521","BPD","NO REPORT","POINT (-86.555543 39.169622)"
"B16-09795","2016-03-14T16:12:42.000","March","Monday","DISTURBANCE IP","1709 W 8TH ST","LB521","BPD","NO REPORT","POINT (-86.555543 39.169622)"
"B16-09811","2016-03-14T18:15:48.000","March","Monday","VANDALISM NP","1216 W 11TH ST","LB517","BPD","NO REPORT","POINT (-86.549313 39.173247)"
"B16-09827","2016-03-14T20:51:03.000","March","Monday","DISTURBANCE IP","2373 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.524166 39.137057)"
"B16-09829","2016-03-14T20:59:19.000","March","Monday","DISTURBANCE IP","S WASHINGTON ST & E 4TH ST","LB104","BPD","NO REPORT","POINT (-86.532348 39.165587)"
"B16-09830","2016-03-14T21:17:21.000","March","Monday","DISTURBANCE IP","301 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533637 39.164394)"
"B16-09841","2016-03-14T22:25:42.000","March","Monday","NOISE","E 10TH ST & N INDIANA AVE","LB102","BPD","NO REPORT","POINT (-86.526979 39.171653)"
"B16-09849","2016-03-14T23:47:37.000","March","Monday","VANDALISM IP","1001 S HENDERSON ST","LB313","BPD","REPORT","POINT (-86.527023 39.155548)"
"B16-09851","2016-03-15T00:08:07.000","March","Tuesday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-09861","2016-03-15T01:48:45.000","March","Tuesday","NOISE","104 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.533279 39.166576)"
"B16-09886","2016-03-15T11:19:36.000","March","Tuesday","DISTURBANCE IP","409 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52932 39.166532)"
"B16-09890","2016-03-15T12:08:35.000","March","Tuesday","PANHANDLING","W STATE ROAD 45 & S LIBERTY DR","LB416","BPD","NO REPORT","POINT (-86.577828 39.145091)"
"B16-09905","2016-03-15T13:39:36.000","March","Tuesday","DISTURBANCE IP","S DUNN ST & E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52825 39.166534)"
"B16-09921","2016-03-15T15:13:58.000","March","Tuesday","DISTURBANCE IP","1004 W COUNTRY CLUB DR","LB423","BPD","NO REPORT","POINT (-86.545466 39.13624)"
"B16-09949","2016-03-15T17:43:38.000","March","Tuesday","VANDALISM NP","3552 E JOHN HINKLE PL","LB221","BPD","REPORT","POINT (-86.493443 39.170079)"
